,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,licnese
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-08 21:13:43.000,2021-01-08 21:13:36.000,2.0,2021-01-08 01:07:00.000,2021.01.08,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-01-08 23:56:41.000,2021-01-08 12:08:47.000,6889.0,2020-12-15 15:38:30.000,6.2.1,144.0,conda-forge/pytest,['pytest'],pytest,1606.0,606.0,3750.0,13308.0,401915.0,271331.0,689.0,https://pypi.org/project/pytest,2020-12-15 15:37:57.000,130584.0,12385597.0,12498529.0,https://anaconda.org/conda-forge/pytest,2020-12-15 18:03:38.863,6098362.0,1.0,,,,,,,,
3,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-01-07 18:41:16.000,2021-01-07 14:04:05.000,6789.0,2020-12-15 15:44:25.000,20.3.3,99.0,conda-forge/pip,,pip,2134.0,893.0,4499.0,11221.0,59265.0,40599.0,576.0,https://pypi.org/project/pip,2020-12-15 15:44:25.000,18666.0,58144548.0,58439383.0,https://anaconda.org/conda-forge/pip,2020-12-15 16:43:45.488,15921109.0,1.0,,,,,,,,
4,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-01-08 15:28:21.000,2021-01-07 16:18:53.000,3732.0,2021-01-07 16:17:19.000,3.4.3,141.0,conda-forge/sphinx,['sphinx'],sphinx,1397.0,788.0,4381.0,16642.0,228531.0,123995.0,606.0,https://pypi.org/project/sphinx,2021-01-07 16:17:19.000,104536.0,2229686.0,2277143.0,https://anaconda.org/conda-forge/sphinx,2021-01-07 17:29:49.988,2515264.0,1.0,,,,,,,,
5,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2020-12-22 05:34:03.000,2020-12-22 05:34:02.000,21404.0,2020-11-15 04:19:27.000,2020.11.15,297.0,conda-forge/pipenv,,pipenv,1559.0,445.0,2841.0,7005.0,17925.0,15651.0,370.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1596741.0,1599093.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,35292.0,1.0,,,,,,,,
6,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-01-08 20:33:32.000,2021-01-08 18:10:08.000,6948.0,2020-12-19 01:19:27.000,5.8.0,83.0,conda-forge/psutil,,psutil,1068.0,211.0,1265.0,5672.0,94491.0,69825.0,156.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,12571192.0,12664984.0,https://anaconda.org/conda-forge/psutil,2021-01-08 20:13:22.692,5346180.0,1.0,,,,,,,,
7,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-09 02:20:30.000,2021-01-03 00:13:17.000,4713.0,2020-12-25 10:34:25.000,0.18.0,30.0,conda-forge/jedi,,jedi,424.0,16.0,1182.0,8184.0,124750.0,108844.0,139.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,10048390.0,10120762.0,https://anaconda.org/conda-forge/jedi,2021-01-08 23:12:08.511,3691007.0,1.0,,,,,,,,
8,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-01-03 00:41:38.000,2021-01-03 00:41:37.000,3650.0,2020-12-31 01:16:34.000,5.7.0,125.0,conda-forge/isort,,isort,375.0,24.0,867.0,3449.0,171156.0,146938.0,220.0,https://pypi.org/project/isort,2020-10-13 06:36:52.000,24218.0,5981557.0,6008404.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1449791.0,1.0,,,,,,,,
9,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-01-08 22:30:55.000,2021-01-08 16:46:53.000,9688.0,,,77.0,conda-forge/mypy,,mypy,1565.0,1511.0,4463.0,9314.0,31834.0,25750.0,438.0,https://pypi.org/project/mypy,2020-10-09 16:54:29.000,6084.0,2250668.0,2266719.0,https://anaconda.org/conda-forge/mypy,2020-10-09 19:05:45.293,609941.0,1.0,,,,,,,,
