,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,conda_id,labels,pypi_id,fork_count,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-14 14:46:45.000,2021-01-13 00:08:02.000,3.0,2021-01-13 00:08:15.000,2021.01.12,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-01-14 01:02:28.000,2021-01-14 01:02:26.000,6915.0,2020-12-15 15:38:30.000,6.2.1,144.0,conda-forge/pytest,['pytest'],pytest,1606.0,606.0,3751.0,13313.0,403590.0,273006.0,689.0,https://pypi.org/project/pytest,2020-12-15 15:37:57.000,130584.0,11756002.0,11870116.0,https://anaconda.org/conda-forge/pytest,2021-01-10 20:05:32.223,6162160.0,1.0,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-01-13 22:33:13.000,2021-01-13 15:03:43.000,6813.0,2020-12-15 15:44:25.000,20.3.3,99.0,conda-forge/pip,,pip,2134.0,893.0,4508.0,11243.0,59574.0,40908.0,576.0,https://pypi.org/project/pip,2020-12-15 15:44:25.000,18666.0,55687517.0,55984985.0,https://anaconda.org/conda-forge/pip,2020-12-15 16:43:45.488,16063273.0,1.0,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-01-13 16:11:26.000,2021-01-13 16:11:24.000,3741.0,2021-01-07 16:17:19.000,3.4.3,141.0,conda-forge/sphinx,['sphinx'],sphinx,1399.0,786.0,4395.0,16642.0,229107.0,124571.0,607.0,https://pypi.org/project/sphinx,2021-01-07 16:17:19.000,104536.0,2128895.0,2176768.0,https://anaconda.org/conda-forge/sphinx,2021-01-07 17:29:49.988,2537292.0,1.0,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2020-12-22 05:34:03.000,2020-12-22 05:34:02.000,21430.0,2020-11-15 04:19:27.000,2020.11.15,297.0,conda-forge/pipenv,,pipenv,1559.0,449.0,2842.0,7005.0,18042.0,15768.0,370.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1500292.0,1502652.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,35402.0,1.0,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-01-12 14:01:46.000,2021-01-11 00:53:22.000,17059.0,2021-01-11 01:27:55.000,4.56.0,111.0,conda-forge/tqdm,,tqdm,879.0,272.0,491.0,1733.0,166212.0,139974.0,94.0,https://pypi.org/project/tqdm,2021-01-11 00:58:53.000,26238.0,9607760.0,9694105.0,https://anaconda.org/conda-forge/tqdm,2021-01-12 02:41:41.554,4742504.0,1.0,7343.0,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-01-12 14:13:09.300,2021-01-08 18:10:08.000,6961.0,2020-12-19 01:19:27.000,5.8.0,83.0,conda-forge/psutil,,psutil,1074.0,161.0,1269.0,5672.0,95054.0,70388.0,156.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,12626022.0,12720854.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5405453.0,1.0,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-14 01:02:29.000,2021-01-14 01:00:14.000,4720.0,2020-12-25 10:34:25.000,0.18.0,30.0,conda-forge/jedi,,jedi,424.0,16.0,1185.0,8194.0,125573.0,109667.0,140.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,10032245.0,10105476.0,https://anaconda.org/conda-forge/jedi,2021-01-08 23:12:08.511,3734820.0,1.0,,,,,,,,,
10,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-01-14 07:20:15.000,2021-01-14 07:20:10.000,3653.0,2020-12-31 01:16:34.000,5.7.0,125.0,conda-forge/isort,,isort,375.0,22.0,869.0,3449.0,172273.0,148055.0,220.0,https://pypi.org/project/isort,2020-10-13 06:36:52.000,24218.0,5724856.0,5751956.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1463447.0,1.0,,,,,,,,,
11,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-01-13 23:55:06.000,2021-01-12 06:51:44.000,9720.0,,,77.0,conda-forge/mypy,,mypy,1567.0,1503.0,4466.0,9318.0,32138.0,26054.0,438.0,https://pypi.org/project/mypy,2020-10-09 16:54:29.000,6084.0,2144683.0,2160952.0,https://anaconda.org/conda-forge/mypy,2020-10-09 19:05:45.293,618236.0,1.0,,,,,,,,,
12,pylint,https://github.com/PyCQA/pylint,,It's not just a linter that annoys you!.,linters,35,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2021-01-09 09:48:27.000,2021-01-09 09:48:25.000,3164.0,2020-08-21 09:15:44.000,2.6.0,88.0,conda-forge/pylint,,pylint,651.0,661.0,2523.0,5017.0,209296.0,171562.0,356.0,https://pypi.org/project/pylint,2020-08-21 09:15:44.000,37734.0,3363561.0,3390069.0,https://anaconda.org/conda-forge/pylint,2020-10-13 14:32:00.323,1404930.0,1.0,,,,,,,,,
13,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2021-01-13 23:17:35.000,2021-01-13 23:17:30.000,19140.0,2020-08-26 15:56:21.000,20.8b1,23.0,conda-forge/black,,black,1177.0,363.0,955.0,865.0,48529.0,42301.0,217.0,https://pypi.org/project/black,2020-08-26 15:52:03.000,6228.0,2467386.0,2497500.0,https://anaconda.org/conda-forge/black,2020-09-07 11:42:46.809,948175.0,2.0,10650.0,,,,,,,,
14,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,34,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-01-14 09:41:37.000,2021-01-13 08:35:46.000,2019.0,2021-01-13 07:36:36.000,3.21.1,106.0,conda-forge/tox,['pytest'],tox,331.0,147.0,935.0,1943.0,76407.0,40007.0,234.0,https://pypi.org/project/tox,2021-01-13 07:36:36.000,36400.0,1648174.0,1653272.0,https://anaconda.org/conda-forge/tox,2021-01-14 04:30:22.833,203946.0,1.0,,,,,,,,,
