,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,closed_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-01-17 16:36:35.000,2021-01-17 16:36:34.000,32.0,695.0,2021-01-17 11:09:06.000,2021.01.16,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-01-19 14:45:47.000,2021-01-19 14:45:45.000,1611.0,6941.0,2020-12-15 15:38:30.000,6.2.1,144.0,689.0,conda-forge/pytest,['pytest'],pytest,615.0,3752.0,13321.0,405352.0,274768.0,https://pypi.org/project/pytest,2020-12-15 15:37:57.000,130584.0,11095571.0,11210640.0,https://anaconda.org/conda-forge/pytest,2021-01-10 20:05:32.223,6213747.0,1.0,,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-01-19 10:07:18.000,2021-01-19 10:07:17.000,2134.0,6849.0,2020-12-15 15:44:25.000,20.3.3,99.0,576.0,conda-forge/pip,,pip,893.0,4518.0,11259.0,59849.0,41183.0,https://pypi.org/project/pip,2020-12-15 15:44:25.000,18666.0,48321932.0,48622048.0,https://anaconda.org/conda-forge/pip,2020-12-15 16:43:45.488,16206280.0,1.0,,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-01-19 18:04:14.000,2021-01-19 18:04:13.000,1399.0,3747.0,2021-01-07 16:17:19.000,3.4.3,141.0,608.0,conda-forge/sphinx,['sphinx'],sphinx,786.0,4418.0,16680.0,229736.0,125200.0,https://pypi.org/project/sphinx,2021-01-07 16:17:19.000,104536.0,1994288.0,2042564.0,https://anaconda.org/conda-forge/sphinx,2021-01-07 17:29:49.988,2558653.0,1.0,,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2020-12-22 05:34:03.000,2020-12-22 05:34:02.000,1559.0,21451.0,2020-11-15 04:19:27.000,2020.11.15,297.0,370.0,conda-forge/pipenv,,pipenv,451.0,2842.0,7005.0,18185.0,15911.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1425804.0,1428170.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,35494.0,1.0,,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-01-18 17:23:27.000,2021-01-11 00:53:22.000,879.0,17120.0,2021-01-11 01:27:55.000,4.56.0,111.0,94.0,conda-forge/tqdm,,tqdm,272.0,491.0,1733.0,167502.0,141264.0,https://pypi.org/project/tqdm,2021-01-11 00:58:53.000,26238.0,9361036.0,9448307.0,https://anaconda.org/conda-forge/tqdm,2021-01-12 02:41:41.554,4793404.0,1.0,7396.0,,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-01-15 17:44:38.000,2021-01-08 18:10:08.000,1074.0,6984.0,2020-12-19 01:19:27.000,5.8.0,83.0,156.0,conda-forge/psutil,,psutil,158.0,1269.0,5672.0,95653.0,70987.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,13449931.0,13545549.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5450263.0,1.0,,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-17 12:50:57.000,2021-01-17 12:48:22.000,424.0,4727.0,2020-12-25 10:34:25.000,0.18.0,30.0,140.0,conda-forge/jedi,,jedi,16.0,1186.0,8195.0,126376.0,110470.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,9673915.0,9747938.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,3775214.0,1.0,,,,,,,,,,,
10,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-01-14 07:20:15.000,2021-01-14 07:20:10.000,375.0,3661.0,2020-12-31 01:16:34.000,5.7.0,125.0,220.0,conda-forge/isort,,isort,23.0,870.0,3449.0,173359.0,149141.0,https://pypi.org/project/isort,2020-10-13 06:36:52.000,24218.0,5506029.0,5533343.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1474965.0,1.0,,,,,,,,,,,
11,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-01-19 19:01:35.000,2021-01-19 19:01:34.000,1577.0,9752.0,,,77.0,438.0,conda-forge/mypy,,mypy,1524.0,4472.0,9322.0,32406.0,26322.0,https://pypi.org/project/mypy,2020-10-09 16:54:29.000,6084.0,2020876.0,2037336.0,https://anaconda.org/conda-forge/mypy,2020-10-09 19:05:45.293,625511.0,1.0,,,,,,,,,,,
12,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2021-01-18 06:02:59.000,2021-01-18 00:59:06.000,1180.0,19202.0,2020-08-26 15:56:21.000,20.8b1,23.0,218.0,conda-forge/black,,black,368.0,957.0,869.0,49017.0,42789.0,https://pypi.org/project/black,2020-08-26 15:52:03.000,6228.0,2282818.0,2313545.0,https://anaconda.org/conda-forge/black,2020-09-07 11:42:46.809,967732.0,2.0,10695.0,,,,,,,,,,
13,pylint,https://github.com/PyCQA/pylint,,It's not just a linter that annoys you!.,linters,34,True,PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2021-01-18 17:04:22.000,2021-01-09 09:48:25.000,667.0,3173.0,2020-08-21 09:15:44.000,2.6.0,88.0,356.0,conda-forge/pylint,,pylint,654.0,2533.0,5017.0,210446.0,172712.0,https://pypi.org/project/pylint,2020-08-21 09:15:44.000,37734.0,3168949.0,3195791.0,https://anaconda.org/conda-forge/pylint,2020-10-13 14:32:00.323,1422649.0,1.0,,-1.0,,,,,,,,,
14,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,34,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2021-01-19 11:41:47.000,2021-01-19 11:41:30.000,342.0,2030.0,2021-01-13 07:36:36.000,3.21.2,109.0,234.0,conda-forge/tox,['pytest'],tox,164.0,942.0,1948.0,76580.0,40180.0,https://pypi.org/project/tox,2021-01-19 10:59:21.000,36400.0,1552098.0,1557224.0,https://anaconda.org/conda-forge/tox,2021-01-14 04:30:22.833,205066.0,1.0,,,,,,,,,,,
15,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2021-01-18 17:18:47.000,2021-01-18 17:18:26.000,683.0,1284.0,2021-01-17 22:44:44.000,51.3.3,417.0,411.0,conda-forge/setuptools,,setuptools,524.0,1182.0,,144829.0,86899.0,https://pypi.org/project/setuptools,2021-01-17 22:44:39.000,57930.0,55478684.0,55810556.0,https://anaconda.org/conda-forge/setuptools,2021-01-08 05:42:17.824,17921037.0,1.0,101.0,,,,,,,,,,
16,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,34,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2021-01-07 23:32:13.000,2021-01-07 23:32:08.000,183.0,1062.0,2020-10-02 23:34:01.000,3.8.4,76.0,148.0,conda-forge/flake8,,flake8,7.0,,1876.0,214578.0,143288.0,https://pypi.org/project/flake8,2020-10-02 23:34:01.000,71290.0,4046008.0,4079924.0,https://anaconda.org/conda-forge/flake8,2020-10-05 05:07:54.333,1865406.0,1.0,,,,,,,,,,,
17,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,33,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2021-01-13 14:46:32.000,2021-01-13 14:46:31.000,1598.0,11400.0,2020-05-14 15:18:01.000,1.1.2,44.0,181.0,conda-forge/mkdocs,['mkdocs'],mkdocs,133.0,1331.0,1492.0,16118.0,10176.0,https://pypi.org/project/mkdocs,2020-05-14 15:18:01.000,5942.0,207672.0,209669.0,https://anaconda.org/conda-forge/mkdocs,2020-06-01 13:16:37.068,113853.0,1.0,,,,,,,,,,,
18,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,33,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2021-01-18 13:27:57.000,2021-01-18 12:37:04.000,1551.0,5458.0,2020-09-01 18:21:46.000,3.2.2,51.0,132.0,conda-forge/robotframework,,robotframework,188.0,3241.0,12702.0,4712.0,3304.0,https://pypi.org/project/robotframework,2020-11-30 19:27:10.000,1408.0,395001.0,395989.0,https://anaconda.org/conda-forge/robotframework,2020-09-03 11:47:40.885,35382.0,1.0,493.0,,,,,,,,,,
19,hypothesis,https://github.com/HypothesisWorks/hypothesis,,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",testing,33,True,HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2021-01-19 07:11:21.000,2021-01-14 22:07:21.000,448.0,4890.0,2021-01-14 22:07:45.000,hypothesis-python-6.0.2,796.0,241.0,conda-forge/hypothesis,,hypothesis,54.0,983.0,10425.0,10069.0,7453.0,https://pypi.org/project/hypothesis,2021-01-14 22:07:30.000,2616.0,652575.0,714663.0,https://anaconda.org/conda-forge/hypothesis,2021-01-14 23:48:55.769,3352792.0,1.0,,,,,,,,,,,
20,pycodestyle,https://github.com/PyCQA/pycodestyle,,Simple Python style checker in one Python file.,linters,33,True,PyCQA/pycodestyle,https://github.com/PyCQA/pycodestyle,Saxpath,2009-10-02 00:43:37.000,2021-01-08 01:29:21.000,2021-01-07 18:35:38.000,592.0,4224.0,2020-05-11 20:02:52.000,2.6.0,11.0,124.0,conda-forge/pycodestyle,,pycodestyle,112.0,522.0,1199.0,136752.0,115522.0,https://pypi.org/project/pycodestyle,2020-05-11 20:02:52.000,21230.0,5945834.0,5982077.0,https://anaconda.org/conda-forge/pycodestyle,2020-05-12 17:42:46.576,1993415.0,1.0,,,,,,,,,,,
21,autopep8,https://github.com/hhatto/autopep8,,A tool that automatically formats Python code to conform to the PEP 8 style guide.,formatters,33,True,hhatto/autopep8,https://github.com/hhatto/autopep8,MIT,2010-12-29 20:08:51.000,2020-12-28 06:47:45.000,2020-12-28 06:47:37.000,228.0,3668.0,2020-08-02 04:28:37.000,1.5.4,64.0,47.0,conda-forge/autopep8,,autopep8,85.0,329.0,2672.0,72572.0,62388.0,https://pypi.org/project/autopep8,2020-08-02 04:28:37.000,10184.0,856560.0,863490.0,https://anaconda.org/conda-forge/autopep8,2020-08-02 05:22:52.912,381193.0,2.0,,,,,,,,,,,
22,sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,,Sphinx theme for readthedocs.org.,documentation,33,True,readthedocs/sphinx_rtd_theme,https://github.com/readthedocs/sphinx_rtd_theme,MIT,2013-10-17 17:10:49.000,2021-01-18 19:15:25.000,2021-01-12 02:01:54.000,1477.0,3580.0,2018-10-05 13:20:49.000,0.4.2,23.0,103.0,conda-forge/sphinx_rtd_theme,['sphinx'],sphinx_rtd_theme,158.0,448.0,1187.0,23490.0,16.0,https://pypi.org/project/sphinx_rtd_theme,2018-10-05 13:20:49.000,23474.0,835111.0,852533.0,https://anaconda.org/conda-forge/sphinx_rtd_theme,2021-01-05 13:49:54.682,923382.0,1.0,,,,,,,,,,,
23,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,32,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000,2021-01-19 15:54:59.000,2021-01-19 10:36:12.000,592.0,20464.0,2021-01-15 10:12:26.000,9.8.2,110.0,70.0,conda-forge/rich,,rich,10.0,334.0,1590.0,2007.0,2007.0,https://pypi.org/project/rich,2021-01-15 10:08:20.000,0.0,471260.0,481810.0,https://anaconda.org/conda-forge/rich,2021-01-15 13:18:34.835,63305.0,1.0,,,True,,,,,,,,
24,numpydoc,https://github.com/numpy/numpydoc,,Numpy's Sphinx extensions.,documentation,32,True,numpy/numpydoc,https://github.com/numpy/numpydoc,BSD-3-Clause,2013-07-24 16:23:39.000,2021-01-09 19:44:01.000,2021-01-09 19:43:59.000,5183.0,15969.0,2020-07-01 21:59:00.000,1.1.0,13.0,64.0,conda-forge/numpydoc,['sphinx'],numpydoc,50.0,90.0,431.0,30423.0,23075.0,https://pypi.org/project/numpydoc,2020-07-01 21:59:00.000,7348.0,117495.0,132079.0,https://anaconda.org/conda-forge/numpydoc,2020-10-01 19:37:54.384,700061.0,2.0,,,,,,,,,,,
25,yapf,https://github.com/google/yapf,,A formatter for Python files.,formatters,32,True,google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2020-12-21 02:00:08.000,2020-12-21 02:00:07.000,779.0,11386.0,2020-04-23 19:07:36.000,0.30.0,67.0,123.0,conda-forge/yapf,,yapf,298.0,364.0,1113.0,19596.0,16190.0,https://pypi.org/project/yapf,2020-04-23 19:07:36.000,3406.0,405049.0,413956.0,https://anaconda.org/conda-forge/yapf,2020-07-28 15:36:35.387,489936.0,3.0,,-1.0,,,,,,,,,
