,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,labels,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-02-11 14:22:23.000,2021-02-05 15:40:55.000,59.0,2.0,1006.0,2021-02-05 15:41:05.000,2021.02.04,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,39,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-02-11 10:53:02.000,2021-02-11 10:53:02.000,1615.0,3772.0,7007.0,2021-01-25 14:52:06.000,6.2.2,145.0,696.0,conda-forge/pytest,['pytest'],pytest,615.0,13414.0,413522.0,282938.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,9845183.0,9963772.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,6522429.0,1.0,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-02-11 13:06:43.000,2021-02-07 15:23:44.000,2172.0,4562.0,6909.0,2021-01-30 12:54:11.000,21.0.1,102.0,581.0,conda-forge/pip,,pip,970.0,11321.0,61264.0,42598.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,40309688.0,40622655.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,17213194.0,1.0,,,,,,,,,,
5,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-02-11 14:20:11.000,2021-02-11 13:28:38.000,1410.0,4467.0,3785.0,2021-01-07 16:17:19.000,3.4.3,141.0,616.0,conda-forge/sphinx,['sphinx'],sphinx,738.0,17002.0,232656.0,128120.0,https://pypi.org/project/sphinx,2021-01-07 16:17:19.000,104536.0,1681534.0,1731288.0,https://anaconda.org/conda-forge/sphinx,2021-01-07 17:29:49.988,2686728.0,1.0,,,,,,,,,,
6,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-02-07 07:10:39.000,2021-02-04 14:18:14.000,1583.0,2855.0,21535.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,,pipenv,484.0,7035.0,18733.0,16459.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1241424.0,1243679.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,36082.0,1.0,,,,,,,,,,
7,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-02-10 21:31:29.247,2021-02-10 17:35:37.000,896.0,496.0,17397.0,2021-02-10 19:12:39.000,4.56.2,113.0,94.0,conda-forge/tqdm,,tqdm,275.0,1747.0,173345.0,147107.0,https://pypi.org/project/tqdm,2021-02-10 17:42:27.000,26238.0,7232549.0,7323281.0,https://anaconda.org/conda-forge/tqdm,2021-02-10 21:31:29.247,5074394.0,1.0,7359.0,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-02-04 23:29:29.000,2021-01-08 18:10:08.000,1082.0,1269.0,7051.0,2020-12-19 01:19:27.000,5.8.0,83.0,156.0,conda-forge/psutil,,psutil,164.0,5672.0,98289.0,73623.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,12904604.0,13002890.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5700620.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-01-31 23:41:41.000,2021-01-31 23:41:40.000,424.0,1191.0,4758.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,,jedi,18.0,8198.0,129989.0,114083.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,6687107.0,6764073.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4002273.0,1.0,,,,,,,,,,
