,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-03-11 14:22:14.000,2021-03-07 12:30:22.000,65.0,2.0,1091.0,2021-03-07 12:30:35.000,2021.03.04,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,38,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2021-03-10 09:26:31.000,2021-03-07 19:17:25.000,2198.0,4613.0,6967.0,2021-01-30 12:54:11.000,21.0.1,102.0,595.0,conda-forge/pip,pip,930.0,11509.0,63127.0,44461.0,https://pypi.org/project/pip,2021-01-30 12:54:11.000,18666.0,42386692.0,42709277.0,https://anaconda.org/conda-forge/pip,2021-01-30 14:15:41.706,18064765.0,1.0,,,,,,,,,,,
4,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-03-10 16:56:54.000,2021-03-06 12:04:03.000,1423.0,4509.0,3826.0,2021-02-16 14:36:04.000,3.5.1,144.0,618.0,conda-forge/sphinx,sphinx,752.0,17167.0,235813.0,131277.0,https://pypi.org/project/sphinx,2021-03-06 12:00:18.000,104536.0,1774664.0,1826526.0,https://anaconda.org/conda-forge/sphinx,2021-03-06 14:29:01.473,2852454.0,1.0,['sphinx'],,,,,,,,,,
5,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-03-08 16:00:32.000,2021-02-04 14:18:14.000,1601.0,2864.0,21628.0,2020-11-15 04:19:27.000,2020.11.15,297.0,376.0,conda-forge/pipenv,pipenv,506.0,7035.0,19356.0,17082.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1271608.0,1273785.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,37014.0,1.0,,,,,,,,,,,
6,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-03-11 11:02:34.000,2021-03-05 18:18:06.000,912.0,502.0,17693.0,2021-03-05 20:26:38.000,4.59.0,116.0,95.0,conda-forge/tqdm,tqdm,272.0,1794.0,180138.0,153900.0,https://pypi.org/project/tqdm,2021-03-05 20:14:29.000,26238.0,7681782.0,7777025.0,https://anaconda.org/conda-forge/tqdm,2021-03-05 22:22:18.205,5421831.0,1.0,,7724.0,,,,,,,,,
7,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-02-24 00:23:50.000,2021-02-21 10:25:07.000,1091.0,1271.0,7147.0,2020-12-19 01:19:27.000,5.8.0,83.0,157.0,conda-forge/psutil,psutil,169.0,5674.0,101281.0,76615.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,14402872.0,14504400.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,5990205.0,1.0,,,,,,,,,,,
8,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-02-26 22:09:30.000,2021-02-26 22:09:22.000,441.0,1197.0,4785.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,conda-forge/jedi,jedi,20.0,8201.0,134375.0,118469.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,8009094.0,8089609.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4267299.0,1.0,,,,,,,,,,,
9,isort,https://github.com/PyCQA/isort,,A Python utility / library to sort imports.,formatters,36,True,PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2021-03-11 06:31:47.000,2021-03-11 06:31:47.000,387.0,896.0,3733.0,2020-12-31 01:16:34.000,5.7.0,126.0,226.0,conda-forge/isort,isort,32.0,3449.0,183283.0,159065.0,https://pypi.org/project/isort,2020-12-31 01:15:41.000,24218.0,5293616.0,5323340.0,https://anaconda.org/conda-forge/isort,2020-12-31 02:59:49.605,1664588.0,1.0,,,,,,,,,,,
