,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-04-01 14:06:47.000,2021-03-13 18:19:34.000,68.0,2.0,1138.0,2021-03-13 18:15:12.000,2021.03.11,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-03-30 14:45:16.000,2021-03-27 08:30:50.000,1436.0,4533.0,3859.0,2021-03-20 14:03:48.000,3.5.3,145.0,618.0,['sphinx'],conda-forge/sphinx,sphinx,769.0,17241.0,238681.0,134145.0,https://pypi.org/project/sphinx,2021-03-20 14:03:48.000,104536.0,1393977.0,1447245.0,https://anaconda.org/conda-forge/sphinx,2021-03-20 16:09:48.473,2983010.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-04-01 12:34:07.000,2021-03-16 06:35:25.000,1601.0,2871.0,21705.0,2020-11-15 04:19:27.000,2020.11.15,297.0,378.0,,conda-forge/pipenv,pipenv,506.0,7041.0,19796.0,17522.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,1083717.0,1085814.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,37759.0,1.0,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-03-28 02:20:06.000,2021-03-05 18:18:06.000,914.0,504.0,17915.0,2021-03-05 20:26:38.000,4.59.0,116.0,95.0,,conda-forge/tqdm,tqdm,280.0,1794.0,185740.0,159502.0,https://pypi.org/project/tqdm,2021-03-05 20:14:29.000,26238.0,6344199.0,6442465.0,https://anaconda.org/conda-forge/tqdm,2021-03-05 22:22:18.205,5692338.0,1.0,7791.0,,,,,,,,,
6,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-03-24 09:55:03.000,2021-02-21 10:25:07.000,1091.0,1271.0,7211.0,2020-12-19 01:19:27.000,5.8.0,83.0,157.0,,conda-forge/psutil,psutil,169.0,5674.0,103792.0,79126.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,7306985.0,7410701.0,https://anaconda.org/conda-forge/psutil,2021-01-12 14:13:09.300,6222980.0,1.0,,,,,,,,,,
7,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-02-26 22:09:30.000,2021-02-26 22:09:22.000,441.0,1202.0,4805.0,2020-12-25 10:34:25.000,0.18.0,30.0,142.0,,conda-forge/jedi,jedi,21.0,8201.0,137910.0,122004.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,7327537.0,7410330.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4470853.0,1.0,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,35,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-04-01 12:40:58.000,2021-03-31 17:16:24.000,1663.0,4553.0,10430.0,,,79.0,453.0,,conda-forge/mypy,mypy,1638.0,9432.0,37040.0,30956.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,1811862.0,1831498.0,https://anaconda.org/conda-forge/mypy,2021-02-19 18:45:03.122,805095.0,1.0,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,35,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-04-01 13:13:12.000,2021-04-01 13:13:12.000,1661.0,3817.0,7153.0,2021-01-25 14:52:06.000,6.2.2,145.0,703.0,['pytest'],conda-forge/pytest,pytest,639.0,,430672.0,300088.0,https://pypi.org/project/pytest,2021-01-25 14:51:38.000,130584.0,8056886.0,8182604.0,https://anaconda.org/conda-forge/pytest,2021-01-27 13:05:54.016,7165981.0,1.0,,,,,,,,,,
