,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2021-05-13 14:23:19.000,2021-04-29 16:28:53.000,78.0,2.0,1203.0,2021-04-29 16:29:15.000,2021.04.29,15.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2021-05-13 13:36:42.000,2021-05-12 16:51:57.000,1465.0,4603.0,3933.0,2021-05-10 17:33:39.000,4.0.1,150.0,642.0,['sphinx'],conda-forge/sphinx,sphinx,768.0,17546.0,245151.0,140615.0,https://pypi.org/project/sphinx,2021-05-10 17:33:39.000,104536.0,4397930.0,4454109.0,https://anaconda.org/conda-forge/sphinx,2021-05-11 18:31:17.525,3202219.0,1.0,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,36,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2021-05-10 00:37:04.000,2021-05-10 00:37:04.000,1601.0,2881.0,21870.0,2020-11-15 04:19:27.000,2020.11.15,297.0,383.0,,conda-forge/pipenv,pipenv,506.0,7056.0,20805.0,18531.0,https://pypi.org/project/pipenv,2020-11-15 04:19:27.000,2274.0,3296780.0,3298834.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831,39036.0,1.0,-1.0,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MIT,2015-06-03 13:13:14.000,2021-05-09 02:23:54.000,2021-04-23 12:48:09.000,938.0,508.0,18282.0,2021-04-06 01:40:26.000,4.60.0,117.0,98.0,,conda-forge/tqdm,tqdm,280.0,1823.0,198107.0,171869.0,https://pypi.org/project/tqdm,2021-04-06 01:23:21.000,26238.0,20012499.0,20117124.0,https://anaconda.org/conda-forge/tqdm,2021-04-06 03:39:45.818,6165631.0,1.0,,7926.0,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2021-05-13 01:21:20.000,2021-05-12 04:18:03.000,1730.0,4617.0,10660.0,,,79.0,463.0,,conda-forge/mypy,mypy,1715.0,9503.0,39893.0,33809.0,https://pypi.org/project/mypy,2021-02-19 17:28:31.000,6084.0,6660447.0,6681957.0,https://anaconda.org/conda-forge/mypy,2021-04-02 00:00:44.993,903446.0,1.0,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2021-05-13 14:27:43.000,2021-05-13 14:27:43.000,1699.0,3851.0,7317.0,2021-05-04 16:22:25.000,6.2.4,147.0,718.0,['pytest'],conda-forge/pytest,pytest,659.0,,446855.0,316271.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000,130584.0,28169330.0,28302119.0,https://anaconda.org/conda-forge/pytest,2021-05-04 20:43:33.278,7701798.0,1.0,,,,,,,,,,
8,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2021-05-12 08:33:22.000,2021-05-03 11:33:26.000,1094.0,1287.0,7307.0,2020-12-19 01:19:27.000,5.8.0,83.0,159.0,,conda-forge/psutil,psutil,176.0,5682.0,109773.0,85107.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000,24666.0,22838519.0,22947485.0,https://anaconda.org/conda-forge/psutil,2021-04-19 20:30:13.823,6646971.0,1.0,,,,,,,,,,
9,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,36,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2021-05-05 22:38:20.000,2021-05-05 22:38:19.000,441.0,1209.0,4852.0,2020-12-25 10:34:25.000,0.18.0,30.0,144.0,,conda-forge/jedi,jedi,25.0,8204.0,145558.0,129652.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000,15906.0,14144371.0,14232717.0,https://anaconda.org/conda-forge/jedi,2021-01-14 15:48:43.942,4859052.0,1.0,,,,,,,,,,
