,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,labels,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-09-16 14:19:37.000000,2021-09-01 14:02:18.000000,88.0,2.0,1324.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-08-31 00:56:37.000000,2021-08-31 00:56:36.000000,1645.0,2899.0,22273.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,387.0,560.0,conda-forge/pipenv,pipenv,7109.0,23758.0,21484.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3458821.0,3460689.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,42973.0,1.0,,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-09-13 16:10:22.000000,2021-08-22 21:32:48.000000,1015.0,529.0,19434.0,2021-08-23 15:04:14.000000,4.62.2,123.0,107.0,310.0,conda-forge/tqdm,tqdm,1872.0,231854.0,205616.0,https://pypi.org/project/tqdm,2021-08-23 12:32:48.000000,26238.0,28489392.0,28610439.0,https://anaconda.org/conda-forge/tqdm,2021-08-23 18:18:14.554000,7615104.0,1.0,tqdm/tqdm,7832.0,https://hub.docker.com/r/tqdm/tqdm,2021-09-11 14:52:31.109930,1.0,3842.0,,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-09-12 15:03:10.000000,2021-08-20 07:55:56.000000,1149.0,1292.0,7654.0,2020-12-19 01:19:27.000000,5.8.0,83.0,163.0,203.0,conda-forge/psutil,psutil,5691.0,132204.0,107538.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,31841349.0,31964094.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,7978447.0,1.0,,,,,,,,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-09-16 01:53:36.000000,2021-09-16 01:53:35.000000,1867.0,4807.0,11286.0,,,83.0,488.0,1895.0,conda-forge/mypy,mypy,9719.0,50290.0,44206.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6847542.0,6874177.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1225221.0,1.0,,,,,,,,,,,,,,,,
7,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,36,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-09-16 07:07:53.000000,2021-09-12 07:55:46.000000,1550.0,4745.0,4133.0,2021-09-12 07:53:38.000000,4.2.0,156.0,674.0,851.0,conda-forge/sphinx,sphinx,18141.0,262433.0,157897.0,https://pypi.org/project/sphinx,2021-09-12 07:53:38.000000,104536.0,,63896.0,https://anaconda.org/conda-forge/sphinx,2021-09-12 10:18:31.683000,3897699.0,1.0,,,,,,,['sphinx'],,,,,,,,,
8,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-09-02 09:22:08.000000,2021-09-02 09:22:08.000000,441.0,1222.0,4970.0,2020-12-25 10:34:25.000000,0.18.0,30.0,145.0,30.0,conda-forge/jedi,jedi,8224.0,166744.0,150838.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,16174134.0,16276897.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,6063036.0,1.0,,,,,,,,,,,,,,,,
9,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,35,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-09-13 20:29:49.000000,2021-09-13 20:29:48.000000,183.0,1260.0,1482.0,2021-03-14 23:32:11.000000,3.9.0,79.0,156.0,38.0,conda-forge/flake8,flake8,1999.0,264122.0,192832.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000000,71290.0,11450955.0,11497792.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968000,2950734.0,1.0,,,,,,,,,,,,,,,,
