,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-09-23 14:18:34.000000,2021-09-01 14:02:18.000000,88.0,2.0,1324.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-09-23 07:53:02.000000,2021-09-20 08:02:49.000000,1557.0,4752.0,4150.0,2021-09-12 07:53:38.000000,4.2.0,156.0,675.0,866.0,['sphinx'],conda-forge/sphinx,sphinx,18141.0,263335.0,158799.0,https://pypi.org/project/sphinx,2021-09-12 07:53:38.000000,104536.0,3904617.0,3969186.0,https://anaconda.org/conda-forge/sphinx,2021-09-12 10:18:31.683000,3938725.0,1.0,,,,,,,,,,,,,,,
4,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-09-12 15:03:10.000000,2021-08-20 07:55:56.000000,1149.0,1293.0,7676.0,2020-12-19 01:19:27.000000,5.8.0,83.0,163.0,203.0,,conda-forge/psutil,psutil,5691.0,133463.0,108797.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,33236392.0,33360582.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,8072406.0,1.0,,,,,,,,,,,,,,,
5,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-09-10 16:08:02.000000,2021-09-10 16:08:02.000000,1835.0,1469.0,12824.0,2021-07-18 19:32:00.000000,1.2.2,47.0,198.0,111.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1576.0,20875.0,14933.0,https://pypi.org/project/mkdocs,2021-07-18 19:20:49.000000,5942.0,684079.0,686393.0,https://anaconda.org/conda-forge/mkdocs,2021-07-18 21:27:59.884000,150416.0,1.0,,,,,,,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-09-23 12:52:03.000000,2021-09-23 10:20:50.000000,1867.0,4828.0,11331.0,,,83.0,491.0,1895.0,,conda-forge/mypy,mypy,9747.0,50899.0,44815.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,6925400.0,6952527.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1247874.0,1.0,,,,,,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-09-23 09:12:31.000000,2021-09-22 14:00:07.000000,1800.0,3949.0,7767.0,2021-08-30 17:39:28.000000,6.2.5,148.0,742.0,714.0,['pytest'],conda-forge/pytest,pytest,,505414.0,374830.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,31832620.0,31984792.0,https://anaconda.org/conda-forge/pytest,2021-08-31 02:25:39.479000,9434712.0,1.0,,,,,,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-09-20 17:30:16.000000,2021-09-20 17:30:15.000000,385.0,1121.0,2424.0,2021-09-16 09:44:58.000000,3.24.4,124.0,251.0,133.0,['pytest'],conda-forge/tox,tox,2048.0,84969.0,48569.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,3859245.0,3866640.0,https://anaconda.org/conda-forge/tox,2021-09-17 16:40:15.484000,354980.0,1.0,,,,,,,,,,,,,,,
9,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-09-23 13:35:21.000000,2021-09-22 04:26:25.000000,2394.0,5019.0,7425.0,2021-08-12 14:54:57.000000,21.2.4,111.0,633.0,985.0,,conda-forge/pip,pip,,78450.0,59784.0,https://pypi.org/project/pip,2021-08-12 14:54:57.000000,18666.0,90960296.0,91358640.0,https://anaconda.org/conda-forge/pip,2021-08-12 18:29:31.614000,24697364.0,1.0,,,,,,,,,,,,,,,
