,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,dockerhub_id,commit_count,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-14 14:19:10.000000,2021-09-01 14:02:18.000000,91.0,2.0,1342.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-10-12 09:59:56.000000,2021-09-20 16:15:31.000000,1021.0,531.0,19723.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,314.0,tqdm,conda-forge/tqdm,tqdm/tqdm,1889.0,7889.0,25533127.0,239798.0,213560.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,25406858.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8070256.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-09 01:40:20.665436,2.0,3915.0,1.0,,,,,,,,,,
4,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-10-13 19:23:48.000000,2021-10-13 19:23:48.000000,1835.0,1478.0,12960.0,2021-10-12 21:59:03.000000,1.2.3,48.0,201.0,111.0,mkdocs,conda-forge/mkdocs,,1596.0,,741880.0,21413.0,15471.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,739559.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,153213.0,,,,,1.0,['mkdocs'],,,,,,,,,
5,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-10-12 15:31:48.000000,2021-10-12 13:12:15.000000,1804.0,3972.0,7838.0,2021-08-30 17:39:28.000000,6.2.5,148.0,749.0,714.0,pytest,conda-forge/pytest,,,,31600564.0,515157.0,384573.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,31445732.0,https://anaconda.org/conda-forge/pytest,2021-08-31 02:25:39.479000,9754437.0,,,,,1.0,['pytest'],,,,,,,,,
6,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,36,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-10-13 08:04:41.000000,2021-10-10 10:46:07.000000,1571.0,4774.0,4183.0,2021-09-12 07:53:38.000000,4.2.0,156.0,682.0,877.0,sphinx,conda-forge/sphinx,,18272.0,,65935.0,266476.0,161940.0,https://pypi.org/project/sphinx,2021-09-12 07:53:38.000000,104536.0,,https://anaconda.org/conda-forge/sphinx,2021-09-12 10:18:31.683000,4088019.0,,,,,1.0,['sphinx'],,,,,,,,,
7,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-10-14 09:05:42.000000,2021-10-13 22:28:18.000000,2432.0,5073.0,7477.0,2021-08-12 14:54:57.000000,21.2.4,112.0,637.0,924.0,pip,conda-forge/pip,,,,85514545.0,80042.0,61376.0,https://pypi.org/project/pip,2021-10-11 19:42:14.000000,18666.0,85107482.0,https://anaconda.org/conda-forge/pip,2021-10-11 23:27:06.405000,25644984.0,,,,,1.0,,,,,,,,,,
8,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-10-09 13:20:59.000000,2021-10-09 13:20:59.000000,441.0,1223.0,4989.0,2020-12-25 10:34:25.000000,0.18.0,30.0,146.0,31.0,jedi,conda-forge/jedi,,8227.0,,21586810.0,171142.0,155236.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,21480111.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,6401947.0,,,,,1.0,,,,,,,,,,
9,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-10-14 07:28:24.000000,2021-10-11 16:52:26.000000,385.0,1128.0,2445.0,2021-10-07 07:28:06.000000,4.0.0a9,124.0,251.0,133.0,tox,conda-forge/tox,,2052.0,,3847722.0,85762.0,49362.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,3840289.0,https://anaconda.org/conda-forge/tox,2021-09-17 16:40:15.484000,364237.0,,,,,1.0,['pytest'],,,,,,,,,
10,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,34,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2021-10-14 12:05:47.000000,2021-10-12 04:45:58.000000,1442.0,1357.0,22861.0,2021-09-14 02:24:50.000000,21.9b0,33.0,273.0,324.0,black,conda-forge/black,,,17370.0,8889892.0,93814.0,87586.0,https://pypi.org/project/black,2021-09-14 02:25:24.000000,6228.0,8835219.0,https://anaconda.org/conda-forge/black,2021-09-14 05:32:53.068000,2218633.0,,,,,1.0,,,,,,,,,,
11,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,34,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-10-12 15:08:30.000000,2021-10-12 15:08:27.000000,1149.0,1302.0,7736.0,2020-12-19 01:19:27.000000,5.8.0,83.0,169.0,203.0,psutil,conda-forge/psutil,,5713.0,,126763.0,137263.0,112597.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,8366409.0,,,,,1.0,,,,,,,,,,
12,robotframework,https://github.com/robotframework/robotframework,,Generic automation framework for acceptance testing and RPA.,testing,34,True,robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000000,2021-10-14 14:29:42.000000,2021-10-13 20:40:45.000000,1786.0,3454.0,6356.0,2021-09-08 10:04:10.000000,4.1.1,68.0,147.0,223.0,robotframework,conda-forge/robotframework,,13043.0,514.0,885705.0,5705.0,4297.0,https://pypi.org/project/robotframework,2021-10-10 17:37:13.000000,1408.0,884277.0,https://anaconda.org/conda-forge/robotframework,2021-09-08 13:23:20.938000,63992.0,,,,,1.0,,,,,,,,,,
13,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-10-11 21:43:01.000000,2021-10-05 16:23:26.000000,768.0,1280.0,1454.0,2021-10-02 03:11:48.000000,58.2.0,442.0,464.0,552.0,setuptools,conda-forge/setuptools,,,110.0,154011133.0,177649.0,119719.0,https://pypi.org/project/setuptools,2021-10-02 03:11:40.000000,57930.0,153581525.0,https://anaconda.org/conda-forge/setuptools,2021-10-06 01:02:10.329000,27065251.0,,,,,1.0,,,,,,,,,,
14,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,34,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2021-10-11 19:43:39.000000,2021-10-10 09:31:18.000000,155.0,199.0,1121.0,2021-10-04 01:48:57.000000,3.0.0,43.0,72.0,106.0,pytest-cov,conda-forge/pytest-cov,,860.0,,10344768.0,144524.0,101130.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,43394.0,10288889.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,3743900.0,,,,,1.0,['pytest'],2.0,,,,,,,,
15,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-10-14 00:45:39.000000,2021-10-12 08:50:37.000000,937.0,530.0,30072.0,2021-10-06 13:09:30.000000,10.12.0,136.0,118.0,25.0,rich,conda-forge/rich,,2302.0,,2257741.0,7481.0,7481.0,https://pypi.org/project/rich,2021-10-06 13:08:03.000000,0.0,2231147.0,https://anaconda.org/conda-forge/rich,2021-10-06 20:41:59.786000,398910.0,,,,,1.0,,,,,,,,,,
16,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,33,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-10-05 03:41:53.000000,2021-08-31 00:56:36.000000,1650.0,2901.0,22351.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,387.0,583.0,pipenv,conda-forge/pipenv,,7109.0,,1822.0,24469.0,22195.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,43736.0,,,,,1.0,,,,,,,,,,
17,poetry,https://github.com/python-poetry/poetry,,Python dependency management and packaging made easy.,dependency-managers,33,True,python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000000,2021-10-14 06:55:44.000000,2021-10-10 18:21:04.000000,1378.0,2111.0,16708.0,2021-10-04 18:05:17.000000,1.1.11,141.0,292.0,1281.0,poetry,conda-forge/poetry,,1885.0,8683144.0,3814193.0,64.0,,https://pypi.org/project/poetry,2021-10-04 18:05:17.000000,64.0,3604541.0,https://anaconda.org/conda-forge/poetry,2021-10-05 20:05:28.270000,270178.0,,,,,2.0,,,,,,,,,,
18,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,33,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-10-14 12:33:34.000000,2021-10-14 12:33:34.000000,1904.0,4882.0,11480.0,,,83.0,495.0,1956.0,mypy,conda-forge/mypy,,9801.0,,28117.0,52998.0,46914.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1321539.0,,,,,1.0,,,,,,,,,,
19,mkdocs-material,https://github.com/squidfunk/mkdocs-material,,Technical documentation that just works.,documentation,33,True,squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000000,2021-10-14 10:10:25.000000,2021-10-14 10:09:26.000000,1830.0,1126.0,7687.0,2021-10-11 14:27:14.000000,7.3.3,218.0,131.0,13.0,mkdocs-material,conda-forge/mkdocs-material,,3668.0,,646663.0,10539.0,9037.0,https://pypi.org/project/mkdocs-material,2021-10-11 14:27:14.000000,1502.0,644339.0,https://anaconda.org/conda-forge/mkdocs-material,2021-10-12 01:10:08.350000,67412.0,,,,,1.0,['mkdocs'],,,,,,,,,
