,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,labels,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-10-21 14:18:58.000000,2021-09-01 14:02:18.000000,91.0,2.0,1350.0,2021-09-01 14:02:45.000000,2021.08.26,22.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-10-05 03:41:53.000000,2021-08-31 00:56:36.000000,1650.0,2902.0,22368.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,387.0,583.0,conda-forge/pipenv,pipenv,7109.0,24619.0,22345.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3861737.0,3863567.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,43922.0,1.0,,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-10-21 09:00:10.000000,2021-09-20 16:15:31.000000,1021.0,531.0,19798.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,314.0,conda-forge/tqdm,tqdm,1889.0,241860.0,215622.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,26119436.0,26247554.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8188567.0,1.0,tqdm/tqdm,7907.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-16 01:42:34.021874,2.0,3921.0,,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-10-19 13:06:17.000000,2021-10-18 18:53:32.000000,1149.0,1304.0,7754.0,2020-12-19 01:19:27.000000,5.8.0,83.0,170.0,203.0,conda-forge/psutil,psutil,5720.0,138572.0,113906.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,38754985.0,38883404.0,https://anaconda.org/conda-forge/psutil,2021-06-29 02:45:06.508000,8475658.0,1.0,,,,,,,,,,,,,,,,
6,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-10-15 08:20:57.000000,2021-10-13 19:23:48.000000,1835.0,1480.0,13013.0,2021-10-12 21:59:03.000000,1.2.3,48.0,201.0,111.0,conda-forge/mkdocs,mkdocs,1596.0,21607.0,15665.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,774091.0,776427.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,154187.0,1.0,,,,,,,['mkdocs'],,,,,,,,,
7,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,36,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-10-21 09:41:52.000000,2021-10-20 16:29:30.000000,1571.0,4776.0,4191.0,2021-09-12 07:53:38.000000,4.2.0,156.0,683.0,877.0,conda-forge/sphinx,sphinx,18272.0,267445.0,162909.0,https://pypi.org/project/sphinx,2021-09-12 07:53:38.000000,104536.0,,66782.0,https://anaconda.org/conda-forge/sphinx,2021-09-12 10:18:31.683000,4140499.0,1.0,,,,,,,['sphinx'],,,,,,,,,
8,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,35,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-10-09 13:20:59.000000,2021-10-09 13:20:59.000000,441.0,1224.0,4991.0,2020-12-25 10:34:25.000000,0.18.0,30.0,146.0,33.0,conda-forge/jedi,jedi,8227.0,172502.0,156596.0,https://pypi.org/project/jedi,2020-12-25 10:34:25.000000,15906.0,23505707.0,23613958.0,https://anaconda.org/conda-forge/jedi,2021-06-29 02:44:18.629000,6495080.0,1.0,,,,,,,,,,,,,,,,
9,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,35,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-10-18 13:58:26.000000,2021-10-11 16:52:26.000000,385.0,1132.0,2450.0,2021-10-07 07:28:06.000000,4.0.0a9,124.0,251.0,133.0,conda-forge/tox,tox,2052.0,86082.0,49682.0,https://pypi.org/project/tox,2021-09-16 09:44:58.000000,36400.0,3923472.0,3930969.0,https://anaconda.org/conda-forge/tox,2021-09-17 16:40:15.484000,367369.0,1.0,,,,,,,['pytest'],,,,,,,,,
10,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,34,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2021-10-20 20:40:18.000000,2021-10-20 17:43:13.000000,768.0,1283.0,1458.0,2021-10-02 03:11:48.000000,58.2.0,442.0,465.0,552.0,conda-forge/setuptools,setuptools,,178520.0,120590.0,https://pypi.org/project/setuptools,2021-10-02 03:11:40.000000,57930.0,148108563.0,148543716.0,https://anaconda.org/conda-forge/setuptools,2021-10-06 01:02:10.329000,27414613.0,1.0,,110.0,,,,,,,,,,,,,,
11,pytest-cov,https://github.com/pytest-dev/pytest-cov,,Coverage plugin for pytest.,testing,34,True,pytest-dev/pytest-cov,https://github.com/pytest-dev/pytest-cov,MIT,2014-04-17 20:01:12.000000,2021-10-11 19:43:39.000000,2021-10-10 09:31:18.000000,155.0,199.0,1124.0,2021-10-04 01:48:57.000000,3.0.0,43.0,72.0,106.0,conda-forge/pytest-cov,pytest-cov,860.0,145360.0,101966.0,https://pypi.org/project/pytest-cov,2021-10-04 01:48:57.000000,43394.0,10444583.0,10501429.0,https://anaconda.org/conda-forge/pytest-cov,2021-10-04 14:17:04.977000,3808722.0,1.0,,,,,,,['pytest'],2.0,,,,,,,,
12,rich,https://github.com/willmcgugan/rich,,Rich is a Python library for rich text and beautiful formatting in the terminal.,logging,33,True,willmcgugan/rich,https://github.com/willmcgugan/rich,MIT,2019-11-10 15:28:09.000000,2021-10-20 21:15:05.000000,2021-10-16 16:44:12.000000,939.0,533.0,30305.0,2021-10-06 13:09:30.000000,10.12.0,136.0,127.0,25.0,conda-forge/rich,rich,2350.0,7705.0,7705.0,https://pypi.org/project/rich,2021-10-06 13:08:03.000000,0.0,2307131.0,2334313.0,https://anaconda.org/conda-forge/rich,2021-10-06 20:41:59.786000,407731.0,1.0,,,,,,,,,,,,,,,,
