,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-11-18 16:34:20.000000,2021-11-17 18:43:57.000000,92.0,2.0,1370.0,2021-11-17 18:45:05.000000,2021.11.17,23.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-11-23 09:39:25.000000,2021-11-23 09:17:13.000000,1592.0,4828.0,4261.0,2021-11-10 17:23:23.000000,4.3.0,159.0,693.0,924.0,['sphinx'],conda-forge/sphinx,sphinx,18456.0,272891.0,168355.0,https://pypi.org/project/sphinx,2021-11-10 17:23:23.000000,104536.0,4033837.0,4103566.0,https://anaconda.org/conda-forge/sphinx,2021-11-10 20:31:12.931000,4392979.0,1.0,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-11-21 02:22:30.000000,2021-09-20 16:15:31.000000,1034.0,538.0,20137.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,329.0,,conda-forge/tqdm,tqdm,1889.0,252037.0,225799.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,28053328.0,28189164.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8818216.0,1.0,tqdm/tqdm,8035.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3948.0,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-11-25 10:33:39.000000,2021-11-25 10:33:35.000000,1163.0,1314.0,7870.0,2020-12-19 01:19:27.000000,5.8.0,83.0,173.0,199.0,,conda-forge/psutil,psutil,5727.0,144882.0,120216.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,34083965.0,34219884.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,9106628.0,1.0,,,,,,,,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-11-17 19:12:02.897000,2021-11-17 12:44:08.000000,460.0,1241.0,5015.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,,conda-forge/jedi,jedi,8256.0,179383.0,163477.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,17975183.0,18089795.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,6991368.0,1.0,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-11-20 17:33:06.000000,2021-11-20 17:33:06.000000,1835.0,1504.0,13207.0,2021-10-12 21:59:03.000000,1.2.3,48.0,207.0,111.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1610.0,22426.0,16484.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,742816.0,745175.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,158077.0,1.0,,,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-11-25 11:14:08.000000,2021-11-25 11:14:08.000000,1916.0,5011.0,11876.0,,,83.0,512.0,1956.0,,conda-forge/mypy,mypy,9902.0,56982.0,50898.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,7988095.0,8018812.0,https://anaconda.org/conda-forge/mypy,2021-11-09 21:16:30.936000,1474459.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-11-25 08:43:24.000000,2021-11-25 08:43:23.000000,1862.0,4019.0,7969.0,2021-08-30 17:39:28.000000,6.2.5,148.0,754.0,726.0,['pytest'],conda-forge/pytest,pytest,,535011.0,404427.0,https://pypi.org/project/pytest,2021-08-30 17:39:00.000000,130584.0,33337414.0,33500856.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10460298.0,1.0,,,,,,,,,,,,,,,
