,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-02 23:58:23.000000,2021-12-02 23:58:22.000000,93.0,2.0,1384.0,2021-12-02 23:58:56.000000,2021.12.02,24.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-11-17 19:12:02.897000,2021-11-17 12:44:08.000000,460.0,1241.0,5030.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,conda-forge/jedi,jedi,8256.0,182159.0,166253.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,9491261.0,9606299.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7132359.0,1.0,,,,,,,,,,,,,,,,
4,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,37,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-12-09 09:06:52.000000,2021-12-08 20:57:38.000000,1600.0,4841.0,4289.0,2021-11-27 16:11:51.000000,4.3.1,160.0,697.0,930.0,conda-forge/sphinx,sphinx,18475.0,274965.0,170429.0,https://pypi.org/project/sphinx,2021-11-27 16:05:06.000000,104536.0,2201295.0,2270808.0,https://anaconda.org/conda-forge/sphinx,2021-11-27 20:15:54.293000,4448850.0,1.0,['sphinx'],,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,36,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-12-05 02:24:29.000000,2021-09-20 16:15:31.000000,1034.0,538.0,20263.0,2021-09-20 15:24:06.000000,4.62.3,124.0,107.0,329.0,conda-forge/tqdm,tqdm,1889.0,256263.0,230025.0,https://pypi.org/project/tqdm,2021-09-20 15:11:15.000000,26238.0,15040447.0,15176854.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,8991665.0,1.0,,tqdm/tqdm,8061.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3952.0,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-12-08 19:41:12.000000,2021-12-08 19:41:12.000000,1932.0,5045.0,11955.0,,,83.0,520.0,1956.0,conda-forge/mypy,mypy,9930.0,58560.0,52476.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,4479438.0,4509969.0,https://anaconda.org/conda-forge/mypy,2021-11-09 21:16:30.936000,1496049.0,1.0,,,,,,,,,,,,,,,,
7,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,36,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-12-07 22:46:26.000000,2021-11-30 08:48:40.000000,1163.0,1314.0,7917.0,2020-12-19 01:19:27.000000,5.8.0,83.0,173.0,199.0,conda-forge/psutil,psutil,5729.0,147568.0,122902.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,17604941.0,17741288.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,9271656.0,1.0,,,,,,,,-1.0,,,,,,,,
8,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,35,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-12-07 19:56:06.000000,2021-11-28 16:34:17.000000,1835.0,1507.0,13292.0,2021-10-12 21:59:03.000000,1.2.3,48.0,207.0,111.0,conda-forge/mkdocs,mkdocs,1611.0,22741.0,16799.0,https://pypi.org/project/mkdocs,2021-10-12 21:46:30.000000,5942.0,397881.0,400223.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,159263.0,1.0,['mkdocs'],,,,,,,-1.0,,,,,,,,
9,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,35,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2021-12-08 19:39:30.000000,2021-12-05 11:55:12.000000,2436.0,5128.0,7591.0,2021-10-22 15:57:09.000000,21.3.1,113.0,648.0,911.0,conda-forge/pip,pip,,85208.0,66542.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000000,18666.0,44756978.0,45189397.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098000,28107235.0,1.0,,,,,,,,,,,,,,,,
