,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,labels,conda_id,pypi_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-09 17:23:26.000000,2021-12-09 17:23:25.000000,92.0,2.0,1383.0,2021-12-09 17:23:42.000000,2021.12.09,25.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-12-15 17:03:12.000000,2021-12-15 16:49:04.000000,1600.0,4850.0,4305.0,2021-11-27 16:11:51.000000,4.3.1,160.0,701.0,930.0,['sphinx'],conda-forge/sphinx,sphinx,18561.0,276079.0,171543.0,https://pypi.org/project/sphinx,2021-11-27 16:05:06.000000,104536.0,4312309.0,4382302.0,https://anaconda.org/conda-forge/sphinx,2021-11-27 20:15:54.293000,4479612.0,1.0,,,,,,,,,,,,,,,
4,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-12-15 16:50:56.695000,2021-09-20 16:15:31.000000,1054.0,539.0,20325.0,2021-09-20 15:24:06.000000,4.62.3,125.0,107.0,327.0,,conda-forge/tqdm,tqdm,1889.0,258368.0,232130.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695000,26238.0,28890456.0,29028241.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,9082602.0,1.0,tqdm/tqdm,8078.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3952.0,,,,,,,,,
5,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,37,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-12-14 22:54:59.000000,2021-12-14 22:54:58.000000,1163.0,1314.0,7943.0,2020-12-19 01:19:27.000000,5.8.0,83.0,173.0,199.0,,conda-forge/psutil,psutil,5730.0,148875.0,124209.0,https://pypi.org/project/psutil,2020-12-19 01:19:27.000000,24666.0,33461806.0,33599460.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,9360495.0,1.0,,,,,,,,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-12-13 01:05:55.000000,2021-12-13 01:05:55.000000,460.0,1245.0,5035.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,,conda-forge/jedi,jedi,8259.0,183520.0,167614.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,18233975.0,18350288.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7211428.0,1.0,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-12-16 13:45:30.000000,2021-12-13 21:49:46.000000,1835.0,1510.0,13337.0,2021-10-12 21:59:03.000000,1.2.3,49.0,208.0,111.0,['mkdocs'],conda-forge/mkdocs,mkdocs,1615.0,22885.0,16943.0,https://pypi.org/project/mkdocs,2021-12-15 14:53:23.599000,5942.0,757973.0,760323.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,159801.0,1.0,,,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-12-16 13:07:47.000000,2021-12-16 12:56:20.000000,1943.0,5070.0,11986.0,,,84.0,521.0,1956.0,,conda-forge/mypy,mypy,9954.0,59257.0,53173.0,https://pypi.org/project/mypy,2021-12-15 23:34:30.000000,6084.0,8524068.0,8554859.0,https://anaconda.org/conda-forge/mypy,2021-12-10 22:57:58.208000,1508780.0,1.0,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,35,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-12-16 13:57:49.000000,2021-12-16 13:37:52.000000,1896.0,4061.0,8045.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,760.0,711.0,['pytest'],conda-forge/pytest,pytest,,544904.0,414320.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,130584.0,33174652.0,33339831.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10736664.0,1.0,,,,,,,,,,,,,,,
