,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-23 20:17:25.000000,2021-12-23 20:17:24.000000,92.0,2.0,1392.0,2021-12-23 20:17:35.000000,2021.12.23,27.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,38,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2021-12-29 21:32:57.000000,2021-12-29 21:32:54.000000,1187.0,1317.0,7967.0,2021-12-29 21:26:19.000000,5.9.0,84.0,173.0,211.0,psutil,conda-forge/psutil,5736.0,151107.0,126441.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000000,24666.0,33008380.0,33147360.0,https://anaconda.org/conda-forge/psutil,2021-11-02 05:28:15.453000,9450684.0,1.0,1.0,,,,,,,,,,,,,,,
4,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-12-29 11:33:35.000000,2021-12-28 17:09:35.000000,1613.0,4879.0,4331.0,2021-12-19 08:38:40.000000,4.3.2,161.0,702.0,958.0,sphinx,conda-forge/sphinx,18621.0,277748.0,173212.0,https://pypi.org/project/sphinx,2021-12-19 08:38:40.000000,104536.0,4072168.0,4142737.0,https://anaconda.org/conda-forge/sphinx,2021-12-19 10:43:41.256000,4516452.0,1.0,,['sphinx'],,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-12-26 02:31:50.000000,2021-09-20 16:15:31.000000,1054.0,540.0,20746.0,2021-09-20 15:24:06.000000,4.62.3,125.0,107.0,327.0,tqdm,conda-forge/tqdm,1889.0,261528.0,235290.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695000,26238.0,27815435.0,27954608.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,9174195.0,1.0,,,tqdm/tqdm,8107.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3954.0,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-12-26 08:38:29.000000,2021-12-25 13:08:44.000000,460.0,1245.0,5039.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,jedi,conda-forge/jedi,8262.0,185607.0,169701.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,16784179.0,16901633.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7282205.0,1.0,,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2021-12-29 16:04:30.000000,2021-12-13 21:49:46.000000,1835.0,1518.0,13403.0,2021-10-12 21:59:03.000000,1.2.3,49.0,208.0,111.0,mkdocs,conda-forge/mkdocs,1615.0,23133.0,17191.0,https://pypi.org/project/mkdocs,2021-12-15 14:53:23.599000,5942.0,689885.0,692244.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,160416.0,1.0,,['mkdocs'],,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-12-30 09:56:56.000000,2021-12-30 05:31:38.000000,2016.0,5107.0,12069.0,,,86.0,522.0,2054.0,mypy,conda-forge/mypy,9971.0,60349.0,54265.0,https://pypi.org/project/mypy,2021-12-22 17:38:37.000000,6084.0,7868134.0,7899295.0,https://anaconda.org/conda-forge/mypy,2021-12-25 21:21:30.666000,1526925.0,1.0,,,,,,,,,,,,,,,,
9,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-12-29 15:02:18.880000,2021-12-29 01:16:22.000000,392.0,1144.0,2536.0,2021-12-29 01:16:07.000000,3.24.5,125.0,253.0,138.0,tox,conda-forge/tox,2057.0,88558.0,52158.0,https://pypi.org/project/tox,2021-12-29 01:16:07.000000,36400.0,3497922.0,3505659.0,https://anaconda.org/conda-forge/tox,2021-12-29 15:02:18.880000,394619.0,1.0,1.0,['pytest'],,,,,,,,,,,,,,
