,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,pypi_id,conda_id,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-12-30 16:46:11.000000,2021-12-30 16:46:11.000000,93.0,2.0,1400.0,2021-12-30 16:46:19.000000,2021.12.30,28.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,psutil,https://github.com/giampaolo/psutil,,Cross-platform lib for process and system monitoring in Python.,profiling,38,True,giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000000,2022-01-05 16:12:26.000000,2021-12-29 21:32:54.000000,1188.0,1317.0,7986.0,2021-12-29 21:26:19.000000,5.9.0,84.0,173.0,210.0,psutil,conda-forge/psutil,5736.0,152299.0,127633.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000000,24666.0,32760144.0,32897810.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024000,9499017.0,1.0,,,,,,,,,,,,,,,,
4,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2022-01-05 14:22:04.000000,2022-01-03 03:16:28.000000,1613.0,4884.0,4352.0,2021-12-19 08:38:40.000000,4.3.2,161.0,702.0,958.0,sphinx,conda-forge/sphinx,18693.0,278682.0,174146.0,https://pypi.org/project/sphinx,2021-12-19 08:38:40.000000,104536.0,3818942.0,3888761.0,https://anaconda.org/conda-forge/sphinx,2021-12-19 10:43:41.256000,4538296.0,1.0,['sphinx'],,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2022-01-02 02:26:45.000000,2021-09-20 16:15:31.000000,1054.0,541.0,20802.0,2021-09-20 15:24:06.000000,4.62.3,125.0,107.0,327.0,tqdm,conda-forge/tqdm,1889.0,263205.0,236967.0,https://pypi.org/project/tqdm,2021-12-15 16:50:56.695000,26238.0,26903015.0,27040793.0,https://anaconda.org/conda-forge/tqdm,2021-09-20 17:51:38.361000,9219869.0,1.0,,tqdm/tqdm,8109.0,https://hub.docker.com/r/tqdm/tqdm,2021-10-30 01:39:15.438974,2.0,3954.0,,,,,,,,,
6,jedi,https://github.com/davidhalter/jedi,,"Awesome autocompletion, static analysis and refactoring library for python.",refactoring,37,True,davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000000,2021-12-26 08:38:29.000000,2021-12-25 13:08:44.000000,460.0,1246.0,5043.0,2021-11-17 00:47:47.000000,0.18.1,31.0,149.0,27.0,jedi,conda-forge/jedi,8262.0,186665.0,170759.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000000,15906.0,15981349.0,16097502.0,https://anaconda.org/conda-forge/jedi,2021-11-17 19:12:02.897000,7317684.0,1.0,,,,,,,,,,,,,,,,
7,mkdocs,https://github.com/mkdocs/mkdocs,,Project documentation with Markdown.,documentation,36,True,mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000000,2022-01-04 16:41:31.000000,2021-12-30 21:18:35.000000,1838.0,1520.0,13424.0,2021-10-12 21:59:03.000000,1.2.3,49.0,208.0,111.0,mkdocs,conda-forge/mkdocs,1620.0,23270.0,17328.0,https://pypi.org/project/mkdocs,2021-12-15 14:53:23.599000,5942.0,647030.0,649363.0,https://anaconda.org/conda-forge/mkdocs,2021-10-13 01:18:18.279000,161015.0,1.0,['mkdocs'],,,,,,,,,,,,,,,
8,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2022-01-06 09:45:26.000000,2022-01-06 09:44:10.000000,2016.0,5124.0,12107.0,,,86.0,525.0,2054.0,mypy,conda-forge/mypy,9990.0,60952.0,54868.0,https://pypi.org/project/mypy,2021-12-22 17:38:37.000000,6084.0,6988389.0,7019103.0,https://anaconda.org/conda-forge/mypy,2021-12-25 21:21:30.666000,1535742.0,1.0,,,,,,,,,,,,,,,,
9,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2022-01-05 20:01:30.000000,2022-01-04 13:55:01.000000,1915.0,4074.0,8110.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,763.0,722.0,pytest,conda-forge/pytest,,552273.0,421689.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,130584.0,28802568.0,28967710.0,https://anaconda.org/conda-forge/pytest,2021-11-02 14:19:16.940000,10899437.0,1.0,['pytest'],,,,,,,1.0,,,,,,,,
