,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,conda_id,labels,pypi_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2022-01-11 04:16:58.000000,2022-01-11 04:16:58.000000,100.0,18.0,91.0,49.0,65.0,2.0,1406.0,2022-01-06 18:53:44.000000,2022.01.06,29.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,47,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2022-01-12 17:43:46.000000,2022-01-12 08:38:14.000000,14234.0,231.0,1930.0,193.0,4378.0,4080.0,8139.0,2021-12-07 08:35:24.000000,7.0.0rc1,149.0,763.0,726.0,conda-forge/pytest,['pytest'],pytest,504956.0,424716.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000000,80240.0,28612613.0,28778979.0,https://anaconda.org/conda-forge/pytest,2022-01-07 13:25:59.784000,10980178.0,1.0,11.0,,,,,,,,,,,,,,,,,,
4,pip,https://github.com/pypa/pip,,The Python package installer.,dependency-managers,45,True,pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000000,2022-01-13 14:07:03.000000,2021-12-21 23:56:51.000000,12604.0,162.0,2436.0,291.0,4715.0,5159.0,7659.0,2021-10-22 15:57:09.000000,21.3.1,113.0,649.0,911.0,conda-forge/pip,,pip,79689.0,69214.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000000,10475.0,74197682.0,74638356.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098000,29084495.0,1.0,10.0,,,,,,,,,,,,,,,,,,
5,setuptools,https://github.com/pypa/setuptools,,Official project repository for the Setuptools build system.,build-tools,45,True,pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000000,2022-01-13 10:24:54.000000,2022-01-11 22:27:39.000000,11564.0,430.0,813.0,79.0,1018.0,1453.0,1515.0,2022-01-08 21:36:54.000000,60.5.0,471.0,477.0,480.0,conda-forge/setuptools,,setuptools,169526.0,133971.0,https://pypi.org/project/setuptools,2022-01-08 21:36:47.000000,35555.0,182799501.0,183275120.0,https://anaconda.org/conda-forge/setuptools,2022-01-09 04:16:26.090000,31390820.0,1.0,10.0,113.0,,,,,,,,,,,,,,,,,
6,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,44,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2022-01-13 13:58:18.000000,2022-01-13 09:45:34.000000,18630.0,369.0,1613.0,130.0,4302.0,4894.0,4362.0,2021-12-19 08:38:40.000000,4.3.2,161.0,705.0,958.0,conda-forge/sphinx,['sphinx'],sphinx,234104.0,175354.0,https://pypi.org/project/sphinx,2021-12-19 08:38:40.000000,58750.0,3837745.0,3907988.0,https://anaconda.org/conda-forge/sphinx,2021-12-19 10:43:41.256000,4565811.0,1.0,,,,,,,,,,,,,,,,,,,
7,black,https://github.com/psf/black,,The uncompromising Python code formatter.,formatters,43,True,psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000000,2022-01-13 03:40:02.000000,2022-01-11 22:37:07.000000,1210.0,99.0,1537.0,203.0,962.0,1447.0,24280.0,2021-12-05 22:41:43.000000,21.12b0,37.0,294.0,350.0,conda-forge/black,,black,113857.0,107346.0,https://pypi.org/project/black,2021-12-05 22:42:08.000000,6511.0,8717557.0,8780104.0,https://anaconda.org/conda-forge/black,2021-12-13 14:19:25.118000,2726638.0,1.0,9.0,19675.0,,,,,,,,,,,,,,,,,
8,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,43,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2022-01-13 12:03:09.000000,2022-01-13 08:54:09.000000,7256.0,140.0,1700.0,365.0,1353.0,3033.0,22573.0,2022-01-08 15:34:11.000000,2022.1.8,304.0,400.0,559.0,conda-forge/pipenv,,pipenv,25450.0,24213.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000000,1237.0,3644399.0,3646105.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377000,46078.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,https://github.com/python/mypy,,Optional static typing for Python.,linters,43,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2022-01-13 12:11:53.000000,2022-01-13 07:02:29.000000,10010.0,207.0,2023.0,208.0,4812.0,5145.0,12129.0,,,87.0,528.0,2082.0,conda-forge/mypy,,mypy,60964.0,55548.0,https://pypi.org/project/mypy,2022-01-07 17:03:15.000000,5416.0,6908349.0,6939304.0,https://anaconda.org/conda-forge/mypy,2022-01-11 06:15:23.330000,1547773.0,1.0,,,,,,,,,,,,,,,,,,,
