,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-01-20 18:53:33.000,2022-01-20 18:53:32,108.0,26.0,91.0,49.0,68.0,2.0,1416.0,2022-01-20 18:53:39.000,2022.01.20,31.0,7.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-01-27 14:18:55.000,2022-01-27 12:39:32,14280.0,233.0,1930.0,192.0,4414.0,4093.0,8207.0,2021-12-07 08:35:24.000,7.0.0rc1,149.0,766.0,726.0,47,True,pytest,conda-forge/pytest,['pytest'],511657.0,431166.0,https://pypi.org/project/pytest,2021-12-07 08:34:56.000,80491.0,31245603.0,31414777.0,https://anaconda.org/conda-forge/pytest,2022-01-07 13:25:59.784,11165492.0,1.0,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-01-27 07:09:19.000,2022-01-27 07:09:18,12663.0,165.0,2436.0,293.0,4727.0,5175.0,7697.0,2021-10-22 15:57:09.000,21.3.1,113.0,653.0,911.0,45,True,pip,conda-forge/pip,,80923.0,70439.0,https://pypi.org/project/pip,2021-10-22 15:57:09.000,10484.0,76450147.0,76901406.0,https://anaconda.org/conda-forge/pip,2021-10-22 18:02:50.098,29783150.0,1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-01-26 10:32:49.000,2022-01-24 12:44:15,11610.0,458.0,813.0,79.0,1030.0,1467.0,1529.0,2022-01-08 21:36:54.000,60.5.0,471.0,478.0,480.0,45,True,setuptools,conda-forge/setuptools,,172884.0,137329.0,https://pypi.org/project/setuptools,2022-01-08 21:36:47.000,35555.0,178908174.0,179393837.0,https://anaconda.org/conda-forge/setuptools,2022-01-16 13:01:35.205,32053713.0,1.0,116.0,,,,,,,,,,,,,,,,,
6,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-01-26 20:55:52.000,2022-01-23 11:21:49,18692.0,388.0,1626.0,130.0,4326.0,4904.0,4382.0,2022-01-16 15:20:56.000,4.4.0,162.0,708.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],236430.0,177605.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,4310325.0,4381484.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4625354.0,1.0,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-01-27 10:52:39.000,2022-01-27 03:44:39,1241.0,122.0,1537.0,203.0,993.0,1471.0,24464.0,2021-12-05 22:41:43.000,21.12b0,37.0,300.0,350.0,43,True,black,conda-forge/black,,117952.0,111441.0,https://pypi.org/project/black,2021-12-05 22:42:08.000,6511.0,10994148.0,11059357.0,https://anaconda.org/conda-forge/black,2021-12-13 14:19:25.118,2843459.0,1.0,19901.0,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-01-24 19:35:25.000,2022-01-24 19:35:24,7268.0,149.0,1700.0,367.0,1355.0,3050.0,22621.0,2022-01-08 15:34:11.000,2022.1.8,304.0,401.0,559.0,43,True,pipenv,conda-forge/pipenv,,25704.0,24467.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000,1237.0,3986238.0,3987954.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,46340.0,1.0,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-01-27 09:40:44.000,2022-01-27 02:06:08,10031.0,217.0,2023.0,209.0,4851.0,5168.0,12221.0,,,87.0,533.0,2082.0,43,True,mypy,conda-forge/mypy,,62476.0,57060.0,https://pypi.org/project/mypy,2022-01-07 17:03:15.000,5416.0,7386617.0,7418041.0,https://anaconda.org/conda-forge/mypy,2022-01-11 06:15:23.330,1571244.0,1.0,,,,,,,,,,,,,,,,,,
