,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-05 08:24:00.000,2022-02-05 08:24:00,112.0,30.0,94.0,49.0,70.0,2.0,1428.0,2022-02-02 14:26:59.000,2022.01.27,32.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-02-10 07:58:22.000,2022-02-10 07:58:20,14324.0,238.0,1946.0,194.0,4458.0,4112.0,8361.0,2022-02-04 10:21:57.000,7.0.0,150.0,769.0,734.0,48,True,pytest,conda-forge/pytest,['pytest'],520800.0,440133.0,https://pypi.org/project/pytest,2022-02-04 10:21:26.000,80667.0,36009160.0,36178392.0,https://anaconda.org/conda-forge/pytest,2022-02-04 14:49:13.487,11338578.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-02-09 18:10:51.000,2022-02-03 12:37:38,12725.0,206.0,2518.0,297.0,4753.0,5203.0,7754.0,2022-02-03 08:44:11.000,22.0.3,117.0,656.0,988.0,46,True,pip,conda-forge/pip,,82248.0,71744.0,https://pypi.org/project/pip,2022-02-03 08:44:11.000,10504.0,97481812.0,97937882.0,https://anaconda.org/conda-forge/pip,2022-02-03 10:50:56.891,30556749.0,1.0,,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-02-10 11:59:47.000,2022-02-08 22:53:41,11710.0,458.0,822.0,79.0,1050.0,1490.0,1545.0,2022-02-09 17:01:56.000,60.8.2,476.0,483.0,474.0,45,True,setuptools,conda-forge/setuptools,,176887.0,141180.0,https://pypi.org/project/setuptools,2022-02-06 18:09:14.000,35707.0,190173717.0,190662552.0,https://anaconda.org/conda-forge/setuptools,2022-02-08 01:42:03.682,32751934.0,1.0,116.0,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-02-08 20:13:58.000,2022-02-08 20:13:58,1267.0,135.0,1574.0,210.0,1024.0,1542.0,25418.0,2022-01-29 20:39:31.000,22.1.0,38.0,305.0,306.0,44,True,black,conda-forge/black,,123338.0,116603.0,https://pypi.org/project/black,2022-01-29 20:39:31.000,6735.0,14057214.0,14124361.0,https://anaconda.org/conda-forge/black,2022-01-31 13:41:24.552,2995629.0,1.0,20252.0,,,,,,,,,,,,,,,,,,
7,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-02-08 16:01:49.000,2022-02-06 06:59:24,18726.0,358.0,1626.0,132.0,4343.0,4918.0,4415.0,2022-01-16 15:20:56.000,4.4.0,162.0,711.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],239592.0,180767.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,5035974.0,5107066.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4692104.0,1.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-02-10 10:17:48.000,2022-02-10 10:17:48,7289.0,82.0,1700.0,367.0,1360.0,3059.0,22663.0,2022-01-08 15:34:11.000,2022.1.8,304.0,408.0,559.0,43,True,pipenv,conda-forge/pipenv,,26003.0,24766.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000,1237.0,4395376.0,4397038.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,46536.0,1.0,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-02-02 23:13:40.000,2022-02-01 21:25:52,5757.0,33.0,1188.0,230.0,551.0,1324.0,8097.0,2021-12-29 21:26:19.000,5.9.0,84.0,173.0,210.0,43,True,psutil,conda-forge/psutil,,150847.0,135448.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,39991994.0,40133242.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,9887377.0,1.0,,,,,,,,,,,,,,,,,,,
