,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-02-19 17:48:45.000,2022-02-19 17:48:44,116.0,30.0,96.0,49.0,72.0,2.0,1439.0,2022-02-19 17:48:53.000,2022.02.17,34.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-02-24 13:16:36.000,2022-02-24 13:16:35,14356.0,258.0,1958.0,194.0,4484.0,4127.0,8438.0,2022-02-11 18:49:52.000,7.0.1,151.0,770.0,743.0,48,True,pytest,conda-forge/pytest,['pytest'],529923.0,449115.0,https://pypi.org/project/pytest,2022-02-11 18:47:56.000,80808.0,37879358.0,38051912.0,https://anaconda.org/conda-forge/pytest,2022-02-11 22:07:39.180,11561169.0,1.0,,,,,,,,,,,,,,,,,,,
4,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-02-24 01:36:44.000,2022-02-19 11:50:41,12743.0,185.0,2518.0,299.0,4762.0,5236.0,7784.0,2022-02-03 08:44:11.000,22.0.3,117.0,661.0,988.0,45,True,pip,conda-forge/pip,,83946.0,73442.0,https://pypi.org/project/pip,2022-02-03 08:44:11.000,10504.0,110118856.0,110585840.0,https://anaconda.org/conda-forge/pip,2022-02-03 10:50:56.891,31287957.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-02-24 12:53:53.000,2022-02-20 17:56:25,11806.0,468.0,825.0,80.0,1069.0,1500.0,1558.0,2022-02-18 02:10:21.000,60.9.3,479.0,485.0,476.0,45,True,setuptools,conda-forge/setuptools,,180871.0,145083.0,https://pypi.org/project/setuptools,2022-02-18 02:10:09.000,35788.0,206623325.0,207125425.0,https://anaconda.org/conda-forge/setuptools,2022-02-18 10:36:57.120,33640687.0,1.0,,116.0,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-02-24 09:42:38.000,2022-02-24 03:41:42,1276.0,122.0,1574.0,209.0,1032.0,1547.0,25773.0,2022-01-29 20:39:31.000,22.1.0,38.0,308.0,306.0,44,True,black,conda-forge/black,,128951.0,122216.0,https://pypi.org/project/black,2022-01-29 20:39:31.000,6735.0,14780019.0,14851733.0,https://anaconda.org/conda-forge/black,2022-01-31 13:41:24.552,3200806.0,1.0,,20508.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-02-23 22:57:44.000,2022-02-23 22:57:44,5758.0,31.0,1188.0,232.0,553.0,1326.0,8145.0,2021-12-29 21:26:19.000,5.9.0,84.0,174.0,210.0,44,True,psutil,conda-forge/psutil,,154236.0,138837.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,38954813.0,39098949.0,https://anaconda.org/conda-forge/psutil,2021-12-30 18:15:13.024,10089528.0,1.0,,,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-02-23 19:31:45.000,2022-02-15 09:31:29,18755.0,328.0,1626.0,133.0,4360.0,4933.0,4442.0,2022-01-16 15:20:56.000,4.4.0,162.0,712.0,960.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],242255.0,183430.0,https://pypi.org/project/sphinx,2022-01-16 15:18:30.000,58825.0,5154438.0,5226604.0,https://anaconda.org/conda-forge/sphinx,2022-01-20 19:43:31.997,4763006.0,1.0,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-02-23 18:47:26.000,2022-02-20 18:50:37,7301.0,71.0,1700.0,367.0,1366.0,3082.0,22716.0,2022-01-08 15:34:11.000,2022.1.8,304.0,411.0,559.0,43,True,pipenv,conda-forge/pipenv,,26334.0,25097.0,https://pypi.org/project/pipenv,2022-01-08 15:34:11.000,1237.0,4423614.0,4425288.0,https://anaconda.org/conda-forge/pipenv,2022-01-08 20:44:18.377,46886.0,1.0,,,,,,,,,,,,,,,,,,,
