,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge,new_addition
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-28 17:23:05.000,2022-04-28 17:23:04,122.0,13.0,115.0,47.0,82.0,2.0,1500.0,2022-04-28 17:23:08.000,2022.04.28,37.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-04-28 20:04:35.000,2022-04-28 20:04:34,55.0,55.0,,1.0,15.0,,12.0,2022-04-21 16:42:54.000,2022.04.21,7.0,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-04-28 20:34:50.000,2022-04-28 14:30:16,14452.0,169.0,2015.0,194.0,4570.0,4165.0,8685.0,2022-04-23 14:36:35.000,7.1.2,154.0,781.0,759.0,47,True,pytest,conda-forge/pytest,['pytest'],573412.0,491307.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,82105.0,39869217.0,40052434.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,12641974.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-04-29 16:18:47.000,2022-04-29 11:58:32,12911.0,209.0,2552.0,298.0,4819.0,5348.0,7935.0,2022-03-07 07:42:43.000,22.0.4,118.0,672.0,978.0,46,True,pip,conda-forge/pip,,90850.0,80313.0,https://pypi.org/project/pip,2022-03-07 07:42:43.000,10537.0,87353691.0,87881970.0,https://anaconda.org/conda-forge/pip,2022-03-07 10:47:21.063,36451305.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-04-29 12:52:01.000,2022-04-22 15:12:41,12292.0,645.0,851.0,82.0,1136.0,1561.0,1640.0,2022-04-10 21:28:52.000,62.1.0,488.0,496.0,484.0,45,True,setuptools,conda-forge/setuptools,,199165.0,163056.0,https://pypi.org/project/setuptools,2022-04-10 21:28:38.000,36109.0,197347520.0,197907665.0,https://anaconda.org/conda-forge/setuptools,2022-04-11 07:07:50.472,38649953.0,1.0,123.0,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-04-29 10:48:11.000,2022-04-28 16:27:16,1327.0,71.0,1722.0,218.0,1097.0,1615.0,27124.0,2022-03-28 19:10:42.000,22.3.0,39.0,317.0,333.0,44,True,black,conda-forge/black,,151708.0,144353.0,https://pypi.org/project/black,2022-03-28 19:10:42.000,7355.0,13651240.0,13731141.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,3727616.0,1.0,21888.0,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-04-25 11:33:08.000,2022-04-15 23:35:41,5769.0,13.0,1201.0,232.0,561.0,1329.0,8335.0,2021-12-29 21:26:19.000,5.9.0,84.0,178.0,210.0,44,True,psutil,conda-forge/psutil,,173540.0,158141.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,46413716.0,46570255.0,https://anaconda.org/conda-forge/psutil,2022-04-02 04:29:43.874,11270837.0,1.0,,,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-04-28 15:35:27.000,2022-04-24 09:34:30,19094.0,279.0,1662.0,137.0,4447.0,4984.0,4561.0,2022-03-27 16:00:39.000,4.5.0,163.0,725.0,1017.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],256960.0,197660.0,https://pypi.org/project/sphinx,2022-03-27 15:56:46.000,59300.0,5878416.0,5953332.0,https://anaconda.org/conda-forge/sphinx,2022-03-27 18:17:56.417,5094299.0,1.0,,,,,,,,,,,,,,,,,,,,
