,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-04-28 17:23:05.000,2022-04-28 17:23:04,122.0,12.0,115.0,48.0,82.0,2.0,1515.0,2022-04-28 17:23:08.000,2022.04.28,37.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-04-28 20:04:35.000,2022-04-28 20:04:34,55.0,55.0,,1.0,15.0,,13.0,2022-04-21 16:42:54.000,2022.04.21,7.0,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-05-03 16:36:15.000,2022-05-03 15:17:47,14457.0,160.0,2019.0,194.0,4578.0,4166.0,8699.0,2022-04-23 14:36:35.000,7.1.2,154.0,781.0,765.0,47,True,pytest,conda-forge/pytest,['pytest'],576491.0,494265.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,82226.0,39301834.0,39483934.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,12747041.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-05-04 17:07:41.000,2022-05-04 07:39:33,12931.0,187.0,2595.0,298.0,4828.0,5355.0,7950.0,2022-03-07 07:42:43.000,22.0.4,119.0,672.0,956.0,45,True,pip,conda-forge/pip,,91384.0,80793.0,https://pypi.org/project/pip,2022-04-30 13:43:20.000,10591.0,85213466.0,85740622.0,https://anaconda.org/conda-forge/pip,2022-03-07 10:47:21.063,36900939.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-05-04 09:34:31.000,2022-04-22 15:12:41,12292.0,606.0,870.0,82.0,1139.0,1562.0,1649.0,2022-04-10 21:28:52.000,62.1.0,488.0,496.0,507.0,45,True,setuptools,conda-forge/setuptools,,200373.0,164140.0,https://pypi.org/project/setuptools,2022-04-10 21:28:38.000,36233.0,187143335.0,187702688.0,https://anaconda.org/conda-forge/setuptools,2022-04-11 07:07:50.472,39154657.0,1.0,124.0,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-05-05 12:36:59.000,2022-05-03 13:08:33,1329.0,65.0,1722.0,218.0,1100.0,1617.0,27178.0,2022-03-28 19:10:42.000,22.3.0,39.0,318.0,333.0,44,True,black,conda-forge/black,,153073.0,145718.0,https://pypi.org/project/black,2022-03-28 19:10:42.000,7355.0,13336085.0,13415239.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,3771633.0,1.0,22024.0,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-05-01 10:07:38.000,2022-04-15 23:35:41,5769.0,12.0,1203.0,232.0,562.0,1329.0,8354.0,2021-12-29 21:26:19.000,5.9.0,84.0,178.0,210.0,44,True,psutil,conda-forge/psutil,,175072.0,159673.0,https://pypi.org/project/psutil,2021-12-29 21:26:19.000,15399.0,47712318.0,47868379.0,https://anaconda.org/conda-forge/psutil,2022-04-02 04:29:43.874,11392476.0,1.0,,,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-05-05 10:46:59.000,2022-05-05 10:46:58,19149.0,318.0,1662.0,137.0,4456.0,4988.0,4574.0,2022-03-27 16:00:39.000,4.5.0,163.0,728.0,1017.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],257899.0,198599.0,https://pypi.org/project/sphinx,2022-03-27 15:56:46.000,59300.0,5846274.0,5920623.0,https://anaconda.org/conda-forge/sphinx,2022-03-27 18:17:56.417,5130125.0,1.0,,,,,,,,,,,,,,,,,,,,
