,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,new_addition,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-19 19:29:00.000,2022-06-19 19:29:00,135.0,19.0,117.0,46.0,89.0,2.0,1564.0,2022-06-16 17:42:17.000,2022.06.16,43.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-06-16 18:28:00.000,2022-06-16 18:28:00,90.0,90.0,,1.0,26.0,,24.0,2022-06-16 18:28:07.000,2022.06.16,13.0,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-06-23 09:01:15.000,2022-06-22 15:38:36,14527.0,124.0,2034.0,195.0,4642.0,4213.0,8896.0,2022-04-23 14:36:35.000,7.1.2,154.0,796.0,773.0,47,True,pytest,conda-forge/pytest,['pytest'],603950.0,520927.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83023.0,43008610.0,43202493.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,13765696.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-06-23 11:22:26.000,2022-06-23 11:22:26,13009.0,204.0,2622.0,296.0,4875.0,5405.0,8054.0,2022-05-31 11:19:58.000,22.1.2,122.0,677.0,976.0,46,True,pip,conda-forge/pip,,96894.0,86258.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10636.0,133949006.0,134541382.0,https://anaconda.org/conda-forge/pip,2022-05-31 15:23:57.576,42058707.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-06-23 08:30:07.000,2022-06-23 08:30:07,12622.0,475.0,892.0,83.0,1185.0,1589.0,1709.0,2022-06-19 20:52:48.000,62.6.0,496.0,511.0,501.0,45,True,setuptools,conda-forge/setuptools,,211310.0,174834.0,https://pypi.org/project/setuptools,2022-06-17 21:44:07.000,36476.0,214881876.0,215506315.0,https://anaconda.org/conda-forge/setuptools,2022-06-20 09:38:38.153,44335164.0,1.0,128.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-06-23 11:00:54.000,2022-06-20 14:22:24,1351.0,56.0,1722.0,222.0,1131.0,1645.0,28300.0,2022-03-28 19:10:42.000,22.3.0,39.0,324.0,333.0,44,True,black,conda-forge/black,,166687.0,159332.0,https://pypi.org/project/black,2022-03-28 19:10:42.000,7355.0,15499631.0,15585631.0,https://anaconda.org/conda-forge/black,2022-03-28 20:31:18.022,4185287.0,1.0,22878.0,,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-06-04 23:17:54.000,2022-06-04 23:11:41,5781.0,20.0,1245.0,233.0,566.0,1331.0,8479.0,2022-05-20 20:09:47.000,5.9.1,85.0,178.0,246.0,44,True,psutil,conda-forge/psutil,,191871.0,176042.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15829.0,56211102.0,56381737.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,12627016.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-06-23 13:48:29.000,2022-06-20 08:37:44,19399.0,423.0,1700.0,138.0,4549.0,5094.0,4673.0,2022-06-16 18:11:01.000,5.0.0,165.0,736.0,997.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],266900.0,207056.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59844.0,9659975.0,9737750.0,https://anaconda.org/conda-forge/sphinx,2022-06-17 07:52:19.904,5444260.0,1.0,,,,,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-06-22 10:45:05.000,2022-06-21 09:55:51,3261.0,261.0,1241.0,529.0,740.0,788.0,38133.0,2022-05-24 06:41:38.000,12.4.4,165.0,171.0,61.0,43,True,rich,conda-forge/rich,,22293.0,20366.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,1927.0,9692893.0,9740495.0,https://anaconda.org/conda-forge/rich,2022-05-24 14:00:17.327,1094849.0,1.0,,,,,,,,,,,,,,,,,,,,,
11,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-06-21 18:22:01.000,2022-06-21 18:22:00,7454.0,97.0,1748.0,367.0,1431.0,3248.0,23058.0,2022-06-07 14:18:20.000,2022.6.7,314.0,421.0,449.0,43,True,pipenv,conda-forge/pipenv,,29198.0,27957.0,https://pypi.org/project/pipenv,2022-06-07 14:15:02.000,1241.0,5174994.0,5176641.0,https://anaconda.org/conda-forge/pipenv,2022-06-17 04:09:58.691,52707.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-06-23 14:00:18.000,2022-06-23 02:40:53,10305.0,157.0,2148.0,215.0,5164.0,5707.0,13283.0,,,93.0,571.0,2160.0,43,True,mypy,conda-forge/mypy,,84612.0,78492.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6120.0,15097456.0,15132188.0,https://anaconda.org/conda-forge/mypy,2022-06-07 00:24:49.112,1910262.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-06-23 13:21:41.000,2022-04-04 01:25:49,1924.0,13.0,1123.0,203.0,473.0,553.0,22265.0,2022-04-04 17:56:45.000,4.64.0,129.0,112.0,345.0,42,True,tqdm,conda-forge/tqdm,,319218.0,297236.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,21982.0,41556454.0,41726990.0,https://anaconda.org/conda-forge/tqdm,2022-04-04 05:55:15.707,12266123.0,1.0,9083.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-06-18 01:52:47.163030,2.0,4031.0,,,,,,,,,,,,,,,
