,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-21 17:00:41.000,2022-07-21 17:00:41,145.0,23.0,120.0,47.0,94.0,2.0,1598.0,2022-07-21 17:00:46.000,2022.07.21,48.0,8.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-07-22 08:07:39.000,2022-07-22 08:07:39,100.0,45.0,,2.0,31.0,,29.0,2022-07-22 08:07:55.000,2022.07.21,18.0,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-07-28 01:19:08.000,2022-07-25 23:15:38,14596.0,142.0,2048.0,194.0,4695.0,4249.0,9041.0,2022-04-23 14:36:35.000,7.1.2,154.0,806.0,773.0,47,True,pytest,conda-forge/pytest,['pytest'],624073.0,541050.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83023.0,42232514.0,42432806.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14421073.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-07-28 14:24:26.000,2022-07-27 17:27:20,13170.0,250.0,2671.0,300.0,4926.0,5461.0,8132.0,2022-07-27 17:30:11.390,22.2.1,124.0,683.0,987.0,47,True,pip,conda-forge/pip,,101194.0,90512.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,105971666.0,106604754.0,https://anaconda.org/conda-forge/pip,2022-07-27 21:38:25.594,45582396.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-07-27 09:15:02.000,2022-07-27 09:07:25,12680.0,369.0,904.0,85.0,1214.0,1603.0,1740.0,2022-07-14 00:40:20.154,63.2.0,500.0,515.0,510.0,45,True,setuptools,conda-forge/setuptools,,219442.0,182871.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,202450903.0,203120878.0,https://anaconda.org/conda-forge/setuptools,2022-07-14 14:55:28.423,48238264.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-07-28 10:49:56.000,2022-07-28 02:04:14,1375.0,48.0,1797.0,221.0,1162.0,1670.0,28641.0,2022-06-28 00:39:54.000,22.6.0,40.0,329.0,366.0,44,True,black,conda-forge/black,,177426.0,169574.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14657722.0,14747752.0,https://anaconda.org/conda-forge/black,2022-06-28 13:49:25.625,4472214.0,1.0,23452.0,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-07-26 20:45:40.000,2022-07-26 20:45:18,5794.0,24.0,1245.0,233.0,569.0,1333.0,8555.0,2022-05-20 20:09:47.000,5.9.1,85.0,180.0,246.0,44,True,psutil,conda-forge/psutil,,202563.0,186606.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,54532443.0,54712401.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,13496894.0,1.0,,,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-07-28 10:03:11.000,2022-07-28 00:23:45,19532.0,411.0,1717.0,138.0,4606.0,5126.0,4804.0,2022-07-26 21:26:02.000,5.1.1,167.0,743.0,1035.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],272570.0,212609.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,7499649.0,7579526.0,https://anaconda.org/conda-forge/sphinx,2022-07-26 21:54:46.860,5671329.0,1.0,,,,,,,,,,,,,,,,,,,,
