,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-04 16:48:40.000,2022-08-04 16:48:39,149.0,23.0,124.0,47.0,96.0,2.0,1616.0,2022-08-04 16:49:17.000,2022.08.04,50.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-08-04 20:48:32.000,2022-08-04 20:48:32,104.0,43.0,,2.0,33.0,,31.0,2022-08-04 20:48:42.000,2022.08.04,20.0,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-08-11 11:30:09.000,2022-08-08 09:14:49,14600.0,117.0,2116.0,194.0,4706.0,4254.0,9077.0,2022-04-23 14:36:35.000,7.1.2,154.0,807.0,47,True,pytest,conda-forge/pytest,['pytest'],785.0,633911.0,550320.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,44339732.0,44540929.0,https://anaconda.org/conda-forge/pytest,2022-04-23 18:57:49.689,14687390.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-08-10 17:09:05.000,2022-08-10 16:44:25,13253.0,296.0,2683.0,298.0,4948.0,5481.0,8164.0,2022-07-27 17:30:11.390,22.2.1,124.0,686.0,47,True,pip,conda-forge/pip,,1001.0,103764.0,93082.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,123756738.0,124404054.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,47254071.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-08-11 12:34:13.000,2022-08-11 12:28:49,13047.0,685.0,921.0,86.0,1236.0,1610.0,1756.0,2022-08-11 13:58:45.391,64.0.0,506.0,525.0,45,True,setuptools,conda-forge/setuptools,,507.0,223194.0,186623.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,208711247.0,209395052.0,https://anaconda.org/conda-forge/setuptools,2022-08-10 22:04:06.518,49917807.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-08-10 21:29:47.000,2022-08-10 21:29:47,1384.0,47.0,1828.0,220.0,1173.0,1681.0,28804.0,2022-06-28 00:39:54.000,22.6.0,40.0,331.0,44,True,black,conda-forge/black,,361.0,182121.0,174269.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14914136.0,15004539.0,https://anaconda.org/conda-forge/black,2022-08-06 13:34:19.041,4581079.0,1.0,23723.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-08-11 12:57:48.000,2022-08-11 12:41:02,10459.0,219.0,2266.0,219.0,5344.0,5846.0,13586.0,,,94.0,597.0,44,True,mypy,conda-forge/mypy,,2255.0,92652.0,86367.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,14025622.0,14061802.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2062308.0,1.0,,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-08-02 18:04:57.000,2022-07-31 05:21:07,5795.0,25.0,1255.0,233.0,572.0,1335.0,8594.0,2022-05-20 20:09:47.000,5.9.1,85.0,181.0,44,True,psutil,conda-forge/psutil,,257.0,206512.0,190555.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,56819417.0,57001703.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,13853777.0,1.0,,,,,,,,,,,,,,,,,,,,
