,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,open_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-08-30 07:12:05.000,2022-08-25 16:43:04,155.0,25.0,124.0,47.0,100.0,2.0,1647.0,2022-08-25 16:43:17.000,2022.08.25,53.0,8.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-08-25 20:26:23.000,2022-08-25 20:26:23,110.0,40.0,,3.0,36.0,,38.0,2022-08-26 07:44:22.000,2022.08.25,23.0,1.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-09-01 11:22:56.000,2022-09-01 10:55:41,14632.0,120.0,2129.0,193.0,4735.0,4263.0,9153.0,2022-04-23 14:36:35.000,7.1.2,154.0,816.0,47,True,pytest,conda-forge/pytest,['pytest'],778.0,647408.0,563817.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,45174266.0,45378273.0,https://anaconda.org/conda-forge/pytest,2022-08-23 15:03:04.154,15096591.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-08-31 16:46:04.000,2022-08-31 10:25:46,13285.0,292.0,2683.0,301.0,4971.0,5517.0,8222.0,2022-07-27 17:30:11.390,22.2.1,124.0,687.0,47,True,pip,conda-forge/pip,,1001.0,107412.0,96730.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,127001298.0,127670301.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,49506230.0,1.0,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-08-28 10:41:56.000,2022-08-26 01:08:55,13211.0,793.0,921.0,86.0,1268.0,1638.0,1791.0,2022-08-24 11:09:35.000,65.3.0,516.0,536.0,45,True,setuptools,conda-forge/setuptools,,507.0,229448.0,192877.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,293092058.0,293800745.0,https://anaconda.org/conda-forge/setuptools,2022-08-26 17:49:30.358,52442899.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2022-09-01 08:17:43.000,2022-09-01 04:25:13,1403.0,61.0,1845.0,220.0,1191.0,1708.0,29006.0,2022-08-31 22:49:55.134,22.8.0,41.0,335.0,44,True,black,conda-forge/black,,351.0,188405.0,180553.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,7852.0,14689905.0,14781730.0,https://anaconda.org/conda-forge/black,2022-08-06 13:34:19.041,4745064.0,1.0,24114.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-09-01 14:27:58.000,2022-09-01 00:17:07,7684.0,245.0,1762.0,364.0,1528.0,3407.0,23219.0,2022-09-01 00:19:10.273,2022.8.31,325.0,428.0,44,True,pipenv,conda-forge/pipenv,,359.0,34808.0,33566.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1242.0,6135070.0,6136877.0,https://anaconda.org/conda-forge/pipenv,2022-09-01 03:22:16.906,63254.0,1.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-09-01 13:45:27.000,2022-08-31 23:05:42,10567.0,274.0,2273.0,219.0,5480.0,5953.0,13692.0,,,94.0,603.0,44,True,mypy,conda-forge/mypy,,2262.0,95720.0,89435.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,12820718.0,12857347.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2124507.0,1.0,,,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-08-28 07:27:00.000,2022-08-27 14:25:06,5798.0,17.0,1255.0,233.0,572.0,1337.0,8661.0,2022-05-20 20:09:47.000,5.9.1,85.0,181.0,44,True,psutil,conda-forge/psutil,,257.0,213151.0,197194.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,57415400.0,57602697.0,https://anaconda.org/conda-forge/psutil,2022-05-20 23:41:36.748,14421924.0,1.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,Main repository for the Sphinx documentation builder.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2022-08-29 17:24:02.000,2022-08-28 20:17:14,19566.0,238.0,1737.0,138.0,4635.0,5140.0,4876.0,2022-07-26 21:26:02.000,5.1.1,167.0,749.0,44,True,sphinx,conda-forge/sphinx,['sphinx'],1069.0,277844.0,217883.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,59961.0,7418826.0,7499695.0,https://anaconda.org/conda-forge/sphinx,2022-08-02 16:24:50.107,5903448.0,1.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2022-09-01 11:00:48.000,2022-08-26 10:31:00,3374.0,160.0,1317.0,531.0,791.0,820.0,39376.0,2022-07-11 14:38:05.650,12.5.1,167.0,185.0,42,True,rich,conda-forge/rich,,89.0,30224.0,28099.0,https://pypi.org/project/rich,2022-05-24 06:40:55.000,2125.0,12338362.0,12398406.0,https://anaconda.org/conda-forge/rich,2022-07-11 20:48:09.934,1561166.0,1.0,,,,,,,,,,,,,,,,,,,,
13,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2022-08-26 18:22:04.000,2022-08-24 07:39:40,1708.0,61.0,2046.0,230.0,1051.0,1593.0,14838.0,2022-07-19 07:28:26.000,1.3.1,52.0,220.0,42,True,mkdocs,conda-forge/mkdocs,['mkdocs'],135.0,28354.0,24604.0,https://pypi.org/project/mkdocs,2022-03-26 19:53:18.000,3750.0,1038570.0,1041124.0,https://anaconda.org/conda-forge/mkdocs,2022-03-31 16:37:37.228,196704.0,1.0,,,,,,,,,,,,,,,,,,,,
14,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2022-09-01 06:23:21.000,2022-04-04 01:25:49,1924.0,,1123.0,205.0,484.0,555.0,22827.0,2022-04-04 17:56:45.000,4.64.0,129.0,112.0,41,True,tqdm,conda-forge/tqdm,,345.0,341254.0,319272.0,https://pypi.org/project/tqdm,2022-04-04 01:48:46.000,21982.0,42751539.0,42933077.0,https://anaconda.org/conda-forge/tqdm,2022-04-04 05:55:15.707,13602066.0,1.0,9774.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-08-06 01:49:57.520370,2.0,4044.0,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2022-09-01 12:27:51.000,2022-09-01 09:28:59,4460.0,166.0,2441.0,106.0,1986.0,1499.0,10906.0,2022-08-27 10:02:22.039,8.4.2,272.0,164.0,41,True,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],11.0,17553.0,16288.0,https://pypi.org/project/mkdocs-material,2022-07-04 11:30:27.000,1265.0,1191121.0,1194644.0,https://anaconda.org/conda-forge/mkdocs-material,2022-08-27 11:32:12.749,140929.0,1.0,,,,,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2022-08-28 20:18:34.000,2022-08-28 18:10:13,8460.0,70.0,1817.0,234.0,2010.0,4348.0,9482.0,2022-07-30 20:10:36.000,5.3,40.0,435.0,41,True,pyinstaller,conda-forge/pyinstaller,,283.0,30069.0,29880.0,https://pypi.org/project/pyinstaller,2022-05-17 18:32:22.000,189.0,870950.0,882363.0,https://anaconda.org/conda-forge/pyinstaller,2022-05-21 21:16:21.534,343870.0,1.0,730880.0,,,,,,,,,,,,,,,,,,,
