,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge,new_addition
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-29 11:28:36.000,2022-09-29 11:28:36,164.0,25.0,127.0,48.0,105.0,2.0,1675.0,2022-09-22 21:40:15.000,2022.09.22,57.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-09-26 08:42:16.000,2022-09-26 08:42:16,121.0,27.0,3.0,4.0,42.0,2.0,56.0,2022-09-22 18:22:19.000,2022.09.22,27.0,3.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-09-28 20:29:22.000,2022-09-21 19:03:59,14655.0,97.0,2149.0,192.0,4761.0,4279.0,9268.0,2022-09-02 11:15:53.605,7.1.3,155.0,818.0,47,True,797.0,pytest,conda-forge/pytest,['pytest'],666749.0,583158.0,https://pypi.org/project/pytest,2022-04-23 14:35:55.000,83591.0,47774688.0,47986628.0,https://anaconda.org/conda-forge/pytest,2022-09-02 18:18:41.232,15683611.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-09-29 12:58:46.000,2022-09-29 12:58:45,13308.0,266.0,2709.0,304.0,4983.0,5540.0,8263.0,2022-07-27 17:30:11.390,22.2.1,124.0,688.0,47,True,1017.0,pip,conda-forge/pip,,109947.0,99265.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,10682.0,112495044.0,113203982.0,https://anaconda.org/conda-forge/pip,2022-08-04 01:13:49.047,52461452.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-09-29 14:18:37.000,2022-09-27 00:49:49,13239.0,488.0,939.0,87.0,1280.0,1651.0,1806.0,2022-09-24 20:43:45.734,65.4.0,517.0,536.0,45,True,534.0,setuptools,conda-forge/setuptools,,240511.0,203940.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,36571.0,227430494.0,228178587.0,https://anaconda.org/conda-forge/setuptools,2022-09-26 12:51:48.825,55358931.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-09-26 02:17:56.000,2022-09-26 01:35:52,7821.0,347.0,1772.0,366.0,1561.0,3524.0,23316.0,2022-09-24 23:30:17.929,2022.9.24,331.0,435.0,44,True,261.0,pipenv,conda-forge/pipenv,,39111.0,37869.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,1242.0,6516093.0,6518073.0,https://anaconda.org/conda-forge/pipenv,2022-09-25 05:07:34.270,69309.0,1.0,,,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-09-29 13:56:57.000,2022-09-29 13:56:57,10647.0,335.0,2273.0,218.0,5561.0,6026.0,13849.0,,,95.0,605.0,44,True,2262.0,mypy,conda-forge/mypy,,100490.0,94205.0,https://pypi.org/project/mypy,2022-06-06 16:09:21.000,6285.0,12090780.0,12128932.0,https://anaconda.org/conda-forge/mypy,2022-07-29 23:31:12.535,2212837.0,1.0,,,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-09-29 01:31:16.000,2022-09-22 11:33:08,5818.0,30.0,1263.0,235.0,580.0,1354.0,8734.0,2022-09-04 20:17:41.866,5.9.2,86.0,185.0,44,True,241.0,psutil,conda-forge/psutil,,221592.0,205635.0,https://pypi.org/project/psutil,2022-05-20 20:09:47.000,15957.0,64888678.0,65086527.0,https://anaconda.org/conda-forge/psutil,2022-09-05 05:46:25.026,15234393.0,1.0,,,,,,,,,,,,,,,,,,,,,
