,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-01 22:35:35.000,2022-12-01 22:35:34,184.0,25.0,132.0,52.0,114.0,2.0,1746.0,2022-12-01 22:35:44.000,2022.12.01,67.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2022-12-01 18:12:39.000,2022-12-01 18:12:39,131.0,15.0,3.0,4.0,52.0,2.0,95.0,2022-12-01 18:13:01.000,2022.12.01,37.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2022-12-06 14:17:46.000,2022-12-06 14:17:45,14819.0,173.0,2201.0,194.0,4859.0,4351.0,9566.0,2022-10-25 07:58:53.000,7.2.0,156.0,841.0,47,True,797.0,pytest,conda-forge/pytest,['pytest'],637260.0,637260.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,49262777.0,49485705.0,https://anaconda.org/conda-forge/pytest,2022-10-31 11:43:04.693,17165457.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2022-12-08 04:41:31.000,2022-11-25 12:20:15,13437.0,144.0,2751.0,307.0,5047.0,5662.0,8396.0,2022-11-05 15:58:21.647,22.3.1,126.0,703.0,46,True,990.0,pip,conda-forge/pip,,117588.0,106906.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,134959314.0,135734969.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,59725440.0,1.0,10682.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2022-12-08 13:32:04.000,2022-12-08 13:32:02,8153.0,406.0,1807.0,364.0,1623.0,3631.0,23496.0,2022-11-30 16:09:02.507,2022.11.30,346.0,452.0,45,True,230.0,pipenv,conda-forge/pipenv,,51088.0,49847.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,6655685.0,6657812.0,https://anaconda.org/conda-forge/pipenv,2022-11-30 21:47:14.687,80841.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2022-11-28 21:49:37.000,2022-11-14 11:18:35,5859.0,55.0,1276.0,238.0,592.0,1370.0,8908.0,2022-11-07 18:47:02.742,5.9.4,88.0,190.0,45,True,234.0,psutil,conda-forge/psutil,,246634.0,230677.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,68580490.0,68797973.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,17398707.0,1.0,15957.0,,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2022-12-03 15:19:58.000,2022-11-24 04:57:16,13445.0,226.0,962.0,88.0,1320.0,1677.0,1877.0,2022-11-24 06:09:37.000,65.6.3,524.0,549.0,45,True,540.0,setuptools,conda-forge/setuptools,,271809.0,235250.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,218390764.0,219203018.0,https://anaconda.org/conda-forge/setuptools,2022-11-22 16:31:54.783,62543566.0,1.0,36559.0,,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2022-12-08 12:54:30.000,2022-12-07 23:16:30,10822.0,228.0,2351.0,223.0,5761.0,6247.0,14287.0,,,98.0,617.0,44,True,2312.0,mypy,conda-forge/mypy,,113236.0,106958.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,12312696.0,12353071.0,https://anaconda.org/conda-forge/mypy,2022-11-15 04:12:17.621,2462933.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
