,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-12 19:56:37.000,2023-01-12 19:56:36,194.0,22.0,134.0,52.0,121.0,2.0,1789.0,2023-01-12 19:56:48.000,2023.01.12,72.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-01-12 21:07:39.000,2023-01-12 21:07:39,137.0,12.0,3.0,5.0,58.0,2.0,123.0,2023-01-13 00:04:32.000,2023.01.12,43.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-01-19 13:07:26.000,2023-01-19 12:44:57,14839.0,89.0,2229.0,193.0,4895.0,4371.0,9700.0,2023-01-14 12:19:00.550,7.2.1,157.0,846.0,47,True,833.0,pytest,conda-forge/pytest,['pytest'],674057.0,674057.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,44887781.0,45116597.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,17847668.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-01-19 02:24:19.000,2023-01-18 03:50:26,13513.0,143.0,2817.0,306.0,5080.0,5732.0,8474.0,2022-11-05 15:58:21.647,22.3.1,126.0,710.0,46,True,987.0,pip,conda-forge/pip,,122898.0,112220.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,106372876.0,107185188.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,63360407.0,1.0,10678.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-01-12 20:28:24.000,2023-01-07 17:06:45,8208.0,252.0,1807.0,364.0,1637.0,3656.0,23550.0,2022-12-19 10:24:49.000,2022.12.19,348.0,455.0,45,True,230.0,pipenv,conda-forge/pipenv,,58568.0,57327.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,5296299.0,5298491.0,https://anaconda.org/conda-forge/pipenv,2022-12-19 20:02:53.055,85513.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-01-19 03:11:01.000,2023-01-19 02:38:27,1498.0,59.0,1949.0,227.0,1311.0,1826.0,30879.0,2022-12-09 15:59:15.665,22.12.0,44.0,356.0,44,True,371.0,black,conda-forge/black,,238273.0,230428.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,14963220.0,15070424.0,https://anaconda.org/conda-forge/black,2023-01-12 16:43:47.103,5971658.0,1.0,7845.0,26160.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-01-18 16:34:18.000,2023-01-18 10:19:42,10899.0,192.0,2407.0,223.0,5850.0,6307.0,14516.0,,,98.0,625.0,44,True,2382.0,mypy,conda-forge/mypy,,121120.0,114842.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,11538143.0,11579378.0,https://anaconda.org/conda-forge/mypy,2023-01-12 17:53:33.040,2556570.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-01-11 15:45:46.000,2023-01-09 14:30:38,5869.0,26.0,1289.0,240.0,596.0,1370.0,9003.0,2022-11-07 18:47:02.742,5.9.4,88.0,191.0,44,True,239.0,psutil,conda-forge/psutil,,261912.0,245964.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,60584397.0,60811226.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,18373154.0,1.0,15948.0,,-1.0,,,,,,,,,,,,,,,,,,
