,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_dependent_project_count,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-19 17:35:05.000,2023-01-19 17:35:03,196.0,22.0,135.0,52.0,122.0,2.0,1791.0,2023-01-19 17:35:11.000,2023.01.19,73.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-01-19 19:07:05.000,2023-01-19 19:07:05,138.0,12.0,3.0,5.0,59.0,2.0,126.0,2023-01-19 19:07:15.000,2023.01.19,44.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-01-24 10:30:55.000,2023-01-24 10:07:42,14856.0,87.0,2229.0,194.0,4899.0,4381.0,9723.0,2023-01-14 12:19:00.550,7.2.1,157.0,849.0,47,True,833.0,pytest,conda-forge/pytest,['pytest'],683138.0,683138.0,https://pypi.org/project/pytest,2022-10-25 07:58:10.000,46182206.0,46412715.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,17979745.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-01-26 06:32:41.000,2023-01-22 12:59:09,13517.0,130.0,2817.0,307.0,5086.0,5741.0,8491.0,2022-11-05 15:58:21.647,22.3.1,126.0,712.0,46,True,987.0,pip,conda-forge/pip,,124076.0,113398.0,https://pypi.org/project/pip,2022-05-31 11:19:58.000,105155923.0,105976522.0,https://anaconda.org/conda-forge/pip,2022-11-05 19:03:00.168,64006792.0,1.0,10678.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-01-26 08:29:37.000,2023-01-26 08:29:35,8211.0,225.0,1807.0,361.0,1638.0,3658.0,23576.0,2022-12-19 10:24:49.000,2022.12.19,348.0,455.0,45,True,230.0,pipenv,conda-forge/pipenv,,59898.0,58657.0,https://pypi.org/project/pipenv,2022-09-08 15:02:03.491,5299692.0,5301901.0,https://anaconda.org/conda-forge/pipenv,2022-12-19 20:02:53.055,86156.0,1.0,1241.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-01-25 19:53:35.000,2023-01-23 14:27:58,13572.0,220.0,987.0,90.0,1347.0,1702.0,1916.0,2023-01-20 19:59:38.000,66.1.1,531.0,555.0,45,True,549.0,setuptools,conda-forge/setuptools,,294485.0,257926.0,https://pypi.org/project/setuptools,2022-11-24 06:11:23.022,191157102.0,192013541.0,https://anaconda.org/conda-forge/setuptools,2023-01-21 11:38:02.812,66802276.0,1.0,36559.0,1.0,,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-01-25 16:04:35.000,2023-01-24 13:43:24,1505.0,58.0,1949.0,230.0,1320.0,1834.0,31081.0,2022-12-09 15:59:15.665,22.12.0,44.0,358.0,44,True,371.0,black,conda-forge/black,,242214.0,234369.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,15278945.0,15387358.0,https://anaconda.org/conda-forge/black,2023-01-12 16:43:47.103,6039175.0,1.0,7845.0,,26297.0,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-01-26 04:25:03.000,2023-01-24 17:46:17,10920.0,206.0,2407.0,225.0,5878.0,6329.0,14698.0,,,98.0,627.0,44,True,2382.0,mypy,conda-forge/mypy,,122740.0,116462.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,11797711.0,11839289.0,https://anaconda.org/conda-forge/mypy,2023-01-12 17:53:33.040,2577868.0,1.0,6278.0,,,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-01-24 13:55:12.000,2023-01-24 13:55:11,5871.0,28.0,1289.0,240.0,597.0,1372.0,9018.0,2022-11-07 18:47:02.742,5.9.4,88.0,191.0,44,True,239.0,psutil,conda-forge/psutil,,265392.0,249444.0,https://pypi.org/project/psutil,2022-09-04 20:17:41.866,60067750.0,60296898.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,18561039.0,1.0,15948.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-01-25 09:29:42.000,2023-01-24 13:45:46,19887.0,144.0,1840.0,142.0,4799.0,5253.0,5152.0,2023-01-10 18:23:33.461,6.1.3,181.0,769.0,43,True,1148.0,sphinx,conda-forge/sphinx,['sphinx'],307429.0,247480.0,https://pypi.org/project/sphinx,2022-06-02 18:12:32.000,10046168.0,10135311.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,6864040.0,1.0,59949.0,,,,,,,,,,,,,,,,,,,,
