,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-01-31 15:37:58.000,2023-01-31 15:37:56,198.0,22.0,135.0,52.0,123.0,2.0,1800.0,2023-01-31 15:38:03.000,2023.01.26,74.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-01-27 10:29:58.000,2023-01-27 10:29:57,139.0,12.0,4.0,5.0,60.0,2.0,127.0,2023-01-27 10:30:05.000,2023.01.26,45.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-02-01 14:54:20.000,2023-01-30 13:15:02,14859.0,82.0,2233.0,194.0,4905.0,4384.0,9738.0,2023-01-14 12:19:00.550,7.2.1,157.0,851.0,47,True,826.0,pytest,conda-forge/pytest,['pytest'],690198.0,689198.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,1000.0,51167770.0,51397089.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,18116260.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-01-31 17:40:09.000,2023-01-31 17:40:09,13557.0,162.0,2831.0,307.0,5098.0,5748.0,8511.0,2022-11-05 15:58:21.647,22.3.1,128.0,715.0,46,True,988.0,pip,conda-forge/pip,,124883.0,114180.0,https://pypi.org/project/pip,2023-01-30 23:12:06.885,10703.0,115582143.0,116401817.0,https://anaconda.org/conda-forge/pip,2023-01-31 05:02:58.130,64754296.0,1.0,,,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-02-01 00:40:22.000,2023-01-30 20:37:15,8216.0,192.0,1807.0,360.0,1640.0,3659.0,23603.0,2022-12-19 10:26:16.459,2022.12.19,348.0,455.0,45,True,230.0,pipenv,conda-forge/pipenv,,61267.0,60026.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1241.0,5654143.0,5656318.0,https://anaconda.org/conda-forge/pipenv,2022-12-19 20:02:53.055,87024.0,1.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-02-02 11:50:25.117,2023-02-01 13:06:15,13585.0,206.0,987.0,90.0,1348.0,1705.0,1917.0,2023-02-01 14:55:04.000,67.1.0,533.0,556.0,45,True,549.0,setuptools,conda-forge/setuptools,,298165.0,261458.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,36707.0,220566677.0,221421761.0,https://anaconda.org/conda-forge/setuptools,2023-02-02 11:50:25.117,67551639.0,1.0,,,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-02-02 00:17:39.000,2023-02-01 02:47:11,1511.0,61.0,1995.0,229.0,1326.0,1847.0,31144.0,2023-02-01 02:55:25.167,23.1.0,45.0,359.0,44,True,364.0,black,conda-forge/black,,245097.0,236938.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,8159.0,17158081.0,17265764.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6105953.0,1.0,26430.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-02-02 13:39:08.000,2023-02-02 13:39:08,10944.0,211.0,2407.0,227.0,5913.0,6358.0,14743.0,,,98.0,628.0,44,True,2382.0,mypy,conda-forge/mypy,,123866.0,117588.0,https://pypi.org/project/mypy,2022-10-03 14:22:39.864,6278.0,13462039.0,13503289.0,https://anaconda.org/conda-forge/mypy,2023-01-12 17:53:33.040,2598780.0,1.0,,,,,,,,,,,,,,,,,,,,
