,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-02 22:51:16.000,2023-02-02 22:51:15,200.0,22.0,136.0,51.0,124.0,2.0,1803.0,2023-02-02 22:51:26.000,2023.02.02,75.0,9.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-02-03 11:47:11.000,2023-02-03 11:47:10,140.0,12.0,4.0,5.0,61.0,2.0,132.0,2023-02-03 11:47:18.000,2023.02.02,46.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-02-09 13:01:47.000,2023-02-07 22:30:33,14863.0,78.0,2235.0,194.0,4911.0,4389.0,9773.0,2023-01-14 12:19:00.550,7.2.1,157.0,852.0,47,True,832.0,pytest,conda-forge/pytest,['pytest'],705301.0,696537.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,8764.0,53261800.0,53492827.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,18251161.0,1.0,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-02-09 12:47:41.000,2023-02-08 19:51:53,10977.0,231.0,2432.0,226.0,5945.0,6378.0,14801.0,2023-02-06 19:44:24.531,1.0.0,99.0,632.0,46,True,2398.0,mypy,conda-forge/mypy,,126650.0,119011.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,7639.0,13787814.0,13829410.0,https://anaconda.org/conda-forge/mypy,2023-02-07 04:45:35.287,2620595.0,1.0,2.0,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-02-09 12:21:12.000,2023-02-08 10:18:16,13574.0,148.0,2840.0,307.0,5107.0,5755.0,8527.0,2022-11-05 15:58:21.647,22.3.1,128.0,717.0,46,True,989.0,pip,conda-forge/pip,,125903.0,115033.0,https://pypi.org/project/pip,2023-01-30 23:12:06.885,10870.0,126744125.0,127576278.0,https://anaconda.org/conda-forge/pip,2023-01-31 05:02:58.130,65740087.0,1.0,,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-02-07 14:27:37.000,2023-02-07 14:27:29,13627.0,231.0,987.0,90.0,1349.0,1708.0,1929.0,2023-02-07 03:22:51.000,67.2.0,534.0,559.0,45,True,549.0,setuptools,conda-forge/setuptools,,302985.0,265226.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37759.0,244579296.0,245446455.0,https://anaconda.org/conda-forge/setuptools,2023-02-02 11:50:25.117,68505577.0,1.0,,,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-02-09 10:08:29.000,2023-02-07 22:48:09,1517.0,63.0,1995.0,229.0,1333.0,1849.0,31267.0,2023-02-01 02:55:25.167,23.1.0,45.0,359.0,44,True,364.0,black,conda-forge/black,,248119.0,239960.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,8159.0,17990165.0,18099026.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6172891.0,1.0,,26574.0,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-02-08 16:25:01.000,2023-02-06 12:11:36,8224.0,186.0,1807.0,360.0,1645.0,3664.0,23611.0,2023-02-04 11:25:53.000,2023.2.4,349.0,455.0,44,True,232.0,pipenv,conda-forge/pipenv,,62855.0,61604.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1251.0,5830045.0,5832243.0,https://anaconda.org/conda-forge/pipenv,2023-02-04 13:34:11.753,87942.0,1.0,-1.0,,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-02-06 11:03:07.000,2023-01-26 15:50:30,5872.0,14.0,1302.0,241.0,599.0,1373.0,9067.0,2022-11-07 18:47:02.742,5.9.4,88.0,192.0,44,True,246.0,psutil,conda-forge/psutil,,270621.0,254563.0,https://pypi.org/project/psutil,2022-11-07 18:47:02.742,16058.0,63154461.0,63385713.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,18962715.0,1.0,,,,,,,,,,,,,,,,,,,,
11,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-02-08 23:10:38.000,2023-01-31 22:10:48,19891.0,146.0,1840.0,142.0,4809.0,5256.0,5187.0,2023-01-10 18:23:33.461,6.1.3,183.0,769.0,43,True,1148.0,sphinx,conda-forge/sphinx,['sphinx'],311423.0,251225.0,https://pypi.org/project/sphinx,2023-01-10 18:23:33.461,60198.0,11973030.0,12062114.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,6948607.0,1.0,,,,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-02-07 13:08:11.000,2023-01-28 10:18:54,3667.0,98.0,1486.0,541.0,898.0,947.0,41944.0,2023-01-28 10:20:56.000,13.3.1,177.0,207.0,42,True,101.0,rich,conda-forge/rich,,54096.0,51699.0,https://pypi.org/project/rich,2023-01-28 10:19:14.092,2397.0,19930429.0,20024552.0,https://anaconda.org/conda-forge/rich,2023-01-28 15:47:15.799,2917828.0,1.0,,,,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-02-07 16:57:33.000,2022-09-03 10:56:22,1928.0,,1218.0,208.0,503.0,560.0,23953.0,2022-09-03 18:04:55.000,4.64.1,130.0,112.0,42,True,413.0,tqdm,conda-forge/tqdm,,411117.0,388321.0,https://pypi.org/project/tqdm,2022-09-03 11:12:53.661,22796.0,48673000.0,48888413.0,https://anaconda.org/conda-forge/tqdm,2022-09-03 14:17:41.115,17218867.0,1.0,,10607.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2022-11-12 01:50:51.768311,2.0,4068.0,,,,,,,,,,,,,
