,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-10 23:19:11.000,2023-02-10 23:19:10,203.0,23.0,137.0,51.0,126.0,2.0,1809.0,2023-02-10 23:19:24.000,2023.02.09,76.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-02-09 19:25:12.000,2023-02-09 19:25:12,141.0,12.0,5.0,5.0,62.0,2.0,134.0,2023-02-11 09:51:24.000,2023.02.09,47.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-02-16 09:50:40.000,2023-02-16 09:50:38,14873.0,74.0,2235.0,194.0,4925.0,4393.0,9809.0,2023-01-14 12:19:00.550,7.2.1,157.0,853.0,47,True,832.0,pytest,conda-forge/pytest,['pytest'],831331.0,822567.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,8764.0,53940108.0,54172925.0,https://anaconda.org/conda-forge/pytest,2023-01-14 20:10:41.940,18392561.0,1.0,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-02-16 14:04:29.000,2023-02-16 11:40:50,10990.0,216.0,2432.0,226.0,5965.0,6397.0,14856.0,2023-02-06 19:44:24.531,1.0.0,99.0,631.0,46,True,2398.0,mypy,conda-forge/mypy,,179353.0,171714.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,7639.0,13872327.0,13914315.0,https://anaconda.org/conda-forge/mypy,2023-02-07 04:45:35.287,2645257.0,1.0,,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-02-15 23:45:22.000,2023-02-11 14:14:30,13578.0,137.0,2841.0,307.0,5110.0,5772.0,8546.0,2022-11-05 15:58:21.647,22.3.1,128.0,717.0,46,True,986.0,pip,conda-forge/pip,,133741.0,122858.0,https://pypi.org/project/pip,2023-01-30 23:12:06.885,10883.0,134120148.0,134963455.0,https://anaconda.org/conda-forge/pip,2023-01-31 05:02:58.130,66621291.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-02-16 00:28:00.000,2023-02-14 01:24:28,1518.0,62.0,1995.0,229.0,1338.0,1851.0,31365.0,2023-02-01 02:55:25.167,23.1.0,45.0,360.0,45,True,364.0,black,conda-forge/black,,346496.0,338337.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,8159.0,18489890.0,18599917.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6239202.0,1.0,26698.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-02-16 08:52:57.761,2023-02-15 15:41:33,13673.0,261.0,987.0,90.0,1353.0,1713.0,1939.0,2023-02-15 17:02:36.000,67.3.2,536.0,559.0,45,True,549.0,setuptools,conda-forge/setuptools,,314926.0,277093.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37833.0,255090390.0,255968575.0,https://anaconda.org/conda-forge/setuptools,2023-02-16 08:52:57.761,69376626.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-02-14 22:07:44.000,2023-02-14 22:07:44,8227.0,158.0,1813.0,360.0,1649.0,3669.0,23629.0,2023-02-04 11:27:29.746,2023.2.4,349.0,457.0,44,True,242.0,pipenv,conda-forge/pipenv,,64281.0,63030.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1251.0,5963123.0,5965349.0,https://anaconda.org/conda-forge/pipenv,2023-02-04 13:34:11.753,89072.0,1.0,,,,,,,,,,,,,,,,,,,,
