,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-02 18:31:25.000,2023-03-02 18:31:24,209.0,24.0,141.0,52.0,129.0,2.0,1828.0,2023-03-02 18:31:48.000,2023.03.02,79.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-03-02 20:50:55.000,2023-03-02 20:50:55,144.0,12.0,6.0,5.0,65.0,2.0,153.0,2023-03-02 20:51:35.000,2023.03.02,50.0,4.0,0,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-03-07 22:12:02.000,2023-03-07 20:49:37,14897.0,78.0,2271.0,194.0,4953.0,4401.0,9881.0,2023-03-03 19:14:18.968,7.2.2,158.0,860.0,47,True,851.0,pytest,conda-forge/pytest,['pytest'],851604.0,840365.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,11239.0,59554009.0,59789334.0,https://anaconda.org/conda-forge/pytest,2023-03-03 23:28:20.131,18826021.0,1.0,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-03-09 13:59:55.000,2023-03-09 07:14:12,11037.0,215.0,2466.0,229.0,6022.0,6429.0,14966.0,2023-03-07 02:13:16.162,1.1.1,101.0,633.0,46,True,2482.0,mypy,conda-forge/mypy,,182779.0,174885.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,7894.0,14025282.0,14067780.0,https://anaconda.org/conda-forge/mypy,2023-03-07 05:13:39.411,2719894.0,1.0,,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-03-09 12:50:50.000,2023-03-05 09:05:41,13599.0,141.0,2869.0,308.0,5120.0,5793.0,8592.0,2023-02-17 18:32:12.376,23.0.1,129.0,717.0,46,True,1000.0,pip,conda-forge/pip,,136198.0,125293.0,https://pypi.org/project/pip,2023-02-17 18:32:12.376,10905.0,154664487.0,155527602.0,https://anaconda.org/conda-forge/pip,2023-02-17 21:52:31.556,69049256.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-03-08 09:36:58.000,2023-03-07 19:52:19,1520.0,59.0,2032.0,230.0,1345.0,1857.0,31580.0,2023-02-01 02:55:25.167,23.1.0,45.0,360.0,45,True,393.0,black,conda-forge/black,,355730.0,345311.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,10419.0,19712126.0,19824341.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6475697.0,1.0,27205.0,,,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-03-09 08:57:23.000,2023-03-07 18:10:43,19939.0,191.0,1840.0,142.0,4824.0,5261.0,5257.0,2023-01-10 18:23:33.461,6.1.3,183.0,770.0,45,True,1148.0,sphinx,conda-forge/sphinx,['sphinx'],346933.0,286735.0,https://pypi.org/project/sphinx,2023-01-10 18:23:33.461,60198.0,10550588.0,10640664.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,7116051.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-03-09 02:50:22.000,2023-03-08 10:15:07,13731.0,264.0,990.0,90.0,1366.0,1726.0,1957.0,2023-03-08 11:05:06.000,67.6.0,541.0,563.0,45,True,552.0,setuptools,conda-forge/setuptools,,325040.0,287064.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37976.0,267562379.0,268458980.0,https://anaconda.org/conda-forge/setuptools,2023-03-06 14:39:20.500,71728153.0,1.0,,,,,,,,,,,,,,,,,,,,
10,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-03-09 10:35:53.000,2023-03-01 09:26:36,8243.0,86.0,1813.0,360.0,1657.0,3725.0,23665.0,2023-02-18 22:13:37.000,2023.2.18,350.0,459.0,44,True,242.0,pipenv,conda-forge/pipenv,,67930.0,66679.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1251.0,6496608.0,6498824.0,https://anaconda.org/conda-forge/pipenv,2023-02-19 01:01:30.542,90876.0,1.0,,,,,,,,,,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-03-08 23:56:19.000,2023-03-07 17:39:21,5874.0,15.0,1315.0,242.0,599.0,1374.0,9143.0,2022-11-07 18:47:02.742,5.9.4,88.0,192.0,44,True,254.0,psutil,conda-forge/psutil,,294888.0,278177.0,https://pypi.org/project/psutil,2022-11-07 18:47:02.742,16711.0,65243776.0,65482503.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,19814398.0,1.0,,,,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-03-05 02:45:11.000,2023-03-03 21:07:28,1940.0,12.0,1223.0,207.0,506.0,563.0,24194.0,2023-03-03 21:28:29.000,4.65.0,131.0,112.0,43,True,419.0,tqdm,conda-forge/tqdm,,445952.0,421094.0,https://pypi.org/project/tqdm,2023-03-03 21:19:01.523,24858.0,54076301.0,54298794.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,18007479.0,1.0,10757.0,2.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-03-04 01:40:08.231144,2.0,4076.0,,,,,,,,,,,,,
13,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/PyCQA/pylint,https://github.com/PyCQA/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-03-09 12:24:47.000,2023-03-09 10:51:17,8439.0,313.0,982.0,75.0,3571.0,4151.0,4556.0,2023-03-08 11:42:17.439,2.17.0,169.0,514.0,43,True,726.0,pylint,conda-forge/pylint,,370348.0,348184.0,https://pypi.org/project/pylint,2023-01-22 14:41:49.833,22164.0,14104025.0,14151927.0,https://anaconda.org/conda-forge/pylint,2023-03-08 13:44:30.103,3784328.0,1.0,,,,,,,,,,,,,,,,,,,,
14,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-03-09 07:40:04.000,2023-03-04 16:28:38,3741.0,128.0,1504.0,543.0,925.0,971.0,42387.0,2023-03-04 16:31:05.649,13.3.2,178.0,220.0,42,True,94.0,rich,conda-forge/rich,,74985.0,71352.0,https://pypi.org/project/rich,2023-01-28 10:19:14.092,3633.0,23436150.0,23534336.0,https://anaconda.org/conda-forge/rich,2023-03-04 19:12:51.787,3141968.0,1.0,,,,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-03-07 18:53:37.000,2023-03-07 18:51:56,5098.0,369.0,2833.0,112.0,2232.0,1771.0,13025.0,2023-03-05 16:46:21.455,9.1.1,308.0,199.0,42,True,20.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],30034.0,29480.0,https://pypi.org/project/mkdocs-material,2022-11-08 14:44:39.000,554.0,2384051.0,2388650.0,https://anaconda.org/conda-forge/mkdocs-material,2023-03-05 20:36:09.718,211582.0,1.0,,,,,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-03-08 23:13:41.000,2023-03-08 23:13:40,8668.0,60.0,1860.0,232.0,2117.0,4527.0,10086.0,2023-02-11 15:24:26.000,5.8.0,48.0,446.0,42,True,276.0,pyinstaller,conda-forge/pyinstaller,,40601.0,40328.0,https://pypi.org/project/pyinstaller,2022-12-04 15:03:02.559,273.0,1125601.0,1137164.0,https://anaconda.org/conda-forge/pyinstaller,2023-02-11 21:19:21.817,408611.0,1.0,736071.0,,,,,,,,,,,,,,,,,,,
