,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-09 22:01:57.000,2023-03-09 22:01:55,211.0,24.0,141.0,52.0,130.0,1.0,2.0,1833.0,2023-03-09 22:02:03.000,2023.03.09,80.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-03-09 19:34:47.000,2023-03-09 19:34:47,145.0,12.0,6.0,6.0,66.0,1.0,2.0,159.0,2023-03-11 11:25:41.000,2023.03.09,51.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-03-15 11:42:53.000,2023-03-15 11:10:25,14904.0,80.0,2274.0,194.0,4962.0,850.0,4408.0,9915.0,2023-03-03 19:14:18.968,7.2.2,158.0,863.0,47,True,pytest,conda-forge/pytest,['pytest'],859756.0,846479.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,13277.0,59795792.0,60033114.0,https://anaconda.org/conda-forge/pytest,2023-03-03 23:28:20.131,18985837.0,1.0,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-03-16 13:55:44.000,2023-03-15 17:45:12,11062.0,233.0,2469.0,229.0,6051.0,2492.0,6443.0,15011.0,2023-03-07 02:13:16.162,1.1.1,101.0,633.0,46,True,mypy,conda-forge/mypy,,184037.0,175998.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,8039.0,13811559.0,13854529.0,https://anaconda.org/conda-forge/mypy,2023-03-07 05:13:39.411,2750095.0,1.0,,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-03-15 11:42:12.000,2023-03-15 10:07:07,13613.0,153.0,2871.0,308.0,5128.0,1002.0,5808.0,8605.0,2023-02-17 18:32:12.376,23.0.1,129.0,719.0,46,True,pip,conda-forge/pip,,137099.0,126176.0,https://pypi.org/project/pip,2023-02-17 18:32:12.376,10923.0,152125621.0,152999233.0,https://anaconda.org/conda-forge/pip,2023-02-17 21:52:31.556,69888999.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-03-15 07:30:11.000,2023-03-15 07:30:04,1523.0,50.0,2034.0,231.0,1348.0,392.0,1859.0,31664.0,2023-02-01 02:55:25.167,23.1.0,45.0,361.0,45,True,black,conda-forge/black,,358315.0,347669.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,10646.0,19639250.0,19753110.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6570923.0,1.0,27321.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-03-16 02:04:41.000,2023-03-08 10:15:07,13731.0,253.0,990.0,90.0,1368.0,552.0,1727.0,1962.0,2023-03-08 11:05:06.000,67.6.0,541.0,563.0,45,True,setuptools,conda-forge/setuptools,,328579.0,290603.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37976.0,270595100.0,271502339.0,https://anaconda.org/conda-forge/setuptools,2023-03-09 17:07:26.302,72579141.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-03-13 11:38:36.000,2023-03-13 07:43:14,8254.0,87.0,1824.0,360.0,1659.0,190.0,3727.0,23678.0,2023-02-18 22:16:00.425,2023.2.18,350.0,460.0,44,True,pipenv,conda-forge/pipenv,,69449.0,68193.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1256.0,6513439.0,6515669.0,https://anaconda.org/conda-forge/pipenv,2023-02-19 01:01:30.542,91438.0,1.0,,,,,,,,,,,,,,,,,,,,
