,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,updated_github_id,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,new_addition,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-03-20 23:10:25.000,2023-03-20 23:10:23,213.0,25.0,141.0,52.0,131.0,1.0,2.0,1842.0,2023-03-20 23:10:44.000,2023.03.16,81.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-03-16 18:08:58.000,2023-03-16 18:08:58,146.0,12.0,8.0,6.0,67.0,1.0,2.0,180.0,2023-03-16 18:09:07.000,2023.03.16,52.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-03-20 15:27:16.000,2023-03-18 21:06:46,14908.0,81.0,2274.0,193.0,4966.0,850.0,4409.0,9947.0,2023-03-03 19:14:18.968,7.2.2,158.0,863.0,47,True,pytest,conda-forge/pytest,['pytest'],865889.0,852612.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,13277.0,59836256.0,60075495.0,https://anaconda.org/conda-forge/pytest,2023-03-03 23:28:20.131,19139157.0,1.0,,,,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-03-23 12:21:50.000,2023-03-23 12:21:48,11071.0,221.0,2480.0,227.0,6060.0,2502.0,6458.0,15056.0,2023-03-07 02:13:16.162,1.1.1,101.0,633.0,46,True,mypy,conda-forge/mypy,,185192.0,177067.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,8125.0,13791439.0,13834885.0,https://anaconda.org/conda-forge/mypy,2023-03-07 05:13:39.411,2780602.0,1.0,,,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-03-22 20:40:12.000,2023-03-22 09:14:41,13628.0,164.0,2877.0,311.0,5141.0,991.0,5822.0,8627.0,2023-02-17 18:32:12.376,23.0.1,129.0,720.0,46,True,pip,conda-forge/pip,,137897.0,126968.0,https://pypi.org/project/pip,2023-02-17 18:32:12.376,10929.0,148395437.0,149279460.0,https://anaconda.org/conda-forge/pip,2023-02-17 21:52:31.556,70721852.0,1.0,,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-03-19 23:09:58.000,2023-03-19 23:09:57,1534.0,49.0,2028.0,232.0,1353.0,397.0,1866.0,31753.0,2023-02-01 02:55:25.167,23.1.0,45.0,365.0,45,True,black,conda-forge/black,,360828.0,350093.0,https://pypi.org/project/black,2022-06-28 00:39:54.000,10735.0,19735488.0,19850960.0,https://anaconda.org/conda-forge/black,2023-02-01 12:21:42.940,6664272.0,1.0,27443.0,,,,,,,,,,,,,,,,,,,,
8,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-03-23 07:33:16.000,2023-03-23 07:33:16,19995.0,239.0,1879.0,145.0,4835.0,1206.0,5269.0,5285.0,2023-01-10 18:23:33.461,6.1.3,183.0,770.0,45,True,sphinx,conda-forge/sphinx,['sphinx'],352396.0,290164.0,https://pypi.org/project/sphinx,2023-01-10 18:23:33.461,62232.0,9732774.0,9823956.0,https://anaconda.org/conda-forge/sphinx,2023-01-12 15:29:33.921,7203449.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-03-20 19:58:26.000,2023-03-08 10:15:07,13731.0,250.0,990.0,90.0,1369.0,552.0,1731.0,1967.0,2023-03-08 11:05:06.000,67.6.0,541.0,563.0,45,True,setuptools,conda-forge/setuptools,,332024.0,294048.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,37976.0,270354168.0,271271658.0,https://anaconda.org/conda-forge/setuptools,2023-03-09 17:07:26.302,73399250.0,1.0,,,,,,,,,,,,,,,,,,,,,
