,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-08 18:42:47.000,2023-04-08 18:42:46,219.0,25.0,142.0,52.0,134.0,1.0,2.0,1858.0,2023-04-08 18:42:53.000,2023.04.06,84.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-04-06 20:00:00.000,2023-04-06 20:00:00,149.0,12.0,8.0,6.0,70.0,1.0,2.0,195.0,2023-04-06 20:00:07.000,2023.04.06,55.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-04-13 13:45:03.000,2023-04-13 13:04:48,14936.0,100.0,2305.0,191.0,4994.0,869.0,4430.0,10030.0,2023-04-08 21:47:36.721,7.3.0,159.0,863.0,47,True,pytest,conda-forge/pytest,['pytest'],886805.0,871578.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,15227.0,58052668.0,58294341.0,https://anaconda.org/conda-forge/pytest,2023-04-09 13:51:03.595,19575518.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-04-13 07:34:40.000,2023-04-12 12:16:55,13751.0,231.0,2903.0,310.0,5173.0,998.0,5844.0,8662.0,2023-02-17 18:32:12.376,23.0.1,129.0,729.0,47,True,pip,conda-forge/pip,,140745.0,129790.0,https://pypi.org/project/pip,2023-02-17 18:32:12.376,10955.0,130109024.0,131011554.0,https://anaconda.org/conda-forge/pip,2023-02-17 21:52:31.556,73104955.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
6,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-04-13 01:44:24.000,2023-04-12 17:59:01,11110.0,218.0,2490.0,228.0,6099.0,2531.0,6484.0,15158.0,2023-04-06 15:28:40.092,1.2.0,102.0,637.0,46,True,mypy,conda-forge/mypy,,188318.0,180061.0,https://pypi.org/project/mypy,2022-11-14 16:58:14.966,8257.0,13460917.0,13505081.0,https://anaconda.org/conda-forge/mypy,2023-04-06 20:15:11.302,2870706.0,1.0,,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-04-12 13:02:17.000,2023-04-03 13:56:59,1541.0,49.0,2051.0,227.0,1363.0,392.0,1875.0,31976.0,2023-03-29 01:06:04.625,23.3.0,46.0,367.0,45,True,black,conda-forge/black,,368377.0,357266.0,https://pypi.org/project/black,2023-03-29 01:06:04.625,11111.0,19630361.0,19747494.0,https://anaconda.org/conda-forge/black,2023-03-30 13:39:57.146,6877430.0,1.0,,27801.0,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-04-06 20:11:09.000,2023-03-28 12:50:20,13742.0,225.0,990.0,90.0,1372.0,552.0,1741.0,1988.0,2023-03-28 13:45:51.000,67.6.1,542.0,564.0,45,True,setuptools,conda-forge/setuptools,,342667.0,304641.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,38026.0,252309865.0,253246773.0,https://anaconda.org/conda-forge/setuptools,2023-03-28 20:51:13.951,75889608.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-04-13 13:58:49.000,2023-04-13 13:58:49,8272.0,64.0,1824.0,361.0,1666.0,190.0,3727.0,23759.0,2023-03-19 18:59:04.000,2023.3.20,352.0,462.0,44,True,pipenv,conda-forge/pipenv,,75158.0,73901.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1257.0,6498413.0,6500716.0,https://anaconda.org/conda-forge/pipenv,2023-03-20 04:44:40.512,96760.0,1.0,,,,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-04-13 14:09:08.000,2023-04-13 13:14:30,5899.0,30.0,1320.0,239.0,613.0,258.0,1381.0,9230.0,2022-11-07 18:47:02.742,5.9.4,88.0,194.0,44,True,psutil,conda-forge/psutil,,308732.0,291894.0,https://pypi.org/project/psutil,2022-11-07 18:47:02.742,16838.0,63387215.0,63636472.0,https://anaconda.org/conda-forge/psutil,2022-11-08 06:03:33.939,20937627.0,1.0,,,,,,,,,,,,,,,,,,,,
