,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-20 22:47:18.000,2023-04-20 22:47:17,223.0,26.0,143.0,51.0,137.0,1.0,2.0,1871.0,2023-04-20 22:47:23.000,2023.04.20,86.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/pawamoy/best-of-mkdocs,https://github.com/pawamoy/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-04-20 21:23:23.000,2023-04-20 21:23:23,151.0,12.0,8.0,7.0,72.0,1.0,2.0,207.0,2023-04-13 22:20:28.000,2023.04.13,56.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-04-26 07:00:08.000,2023-04-26 06:13:06,14957.0,99.0,2310.0,192.0,5021.0,865.0,4436.0,10083.0,2023-04-14 18:13:32.583,7.3.1,160.0,865.0,47,True,pytest,conda-forge/pytest,['pytest'],901191.0,885318.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,15873.0,59528366.0,59773517.0,https://anaconda.org/conda-forge/pytest,2023-04-14 23:00:04.667,19857243.0,1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-04-27 13:50:08.000,2023-04-26 13:45:03,13800.0,192.0,1006.0,90.0,1383.0,561.0,1746.0,2016.0,2023-04-24 11:37:12.000,67.7.2,545.0,566.0,46,True,setuptools,conda-forge/setuptools,,350767.0,312512.0,https://pypi.org/project/setuptools,2023-01-28 19:02:44.046,38255.0,248652490.0,249611519.0,https://anaconda.org/conda-forge/setuptools,2023-04-24 18:49:33.341,77681365.0,1.0,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-04-27 14:06:10.000,2023-04-27 02:45:21,8294.0,83.0,1824.0,361.0,1677.0,190.0,3734.0,23802.0,2023-04-20 04:03:43.000,2023.4.20,353.0,463.0,45,True,pipenv,conda-forge/pipenv,,78114.0,76856.0,https://pypi.org/project/pipenv,2022-12-19 10:26:16.459,1258.0,6511387.0,6513760.0,https://anaconda.org/conda-forge/pipenv,2023-04-20 05:47:06.231,99707.0,1.0,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-04-26 20:28:52.000,2023-04-26 18:52:14,13801.0,262.0,2719.0,309.0,5189.0,888.0,5869.0,8714.0,,,63.0,731.0,45,True,pip,conda-forge/pip,,132071.0,132071.0,https://pypi.org/project/pip,,,139503907.0,140429680.0,https://anaconda.org/conda-forge/pip,2023-04-26 11:16:14.578,74987642.0,1.0,,,,,,,,,,,,,,,,,,
8,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-04-26 22:22:22.000,2023-04-24 11:46:34,1546.0,41.0,1962.0,228.0,1371.0,372.0,1881.0,32144.0,2023-03-29 01:00:11.000,23.3.0,29.0,368.0,44,True,black,conda-forge/black,,362744.0,362744.0,https://pypi.org/project/black,,,19985050.0,20104181.0,https://anaconda.org/conda-forge/black,2023-04-26 07:05:32.069,6995096.0,1.0,28025.0,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-04-27 14:16:10.000,2023-04-27 14:16:08,3759.0,85.0,1506.0,542.0,952.0,90.0,978.0,43031.0,2023-04-12 16:50:35.000,13.3.4,100.0,221.0,43,True,rich,conda-forge/rich,,82719.0,82719.0,https://pypi.org/project/rich,,,23264540.0,23372847.0,https://anaconda.org/conda-forge/rich,2023-04-12 18:42:29.329,3574133.0,1.0,,,,,,,,,,,,,,,,,,
