,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-28 20:05:15.000,2023-04-28 20:05:14,225.0,25.0,143.0,51.0,138.0,1.0,2.0,1880.0,2023-04-28 20:05:23.000,2023.04.27,87.0,10.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/best-of-mkdocs,https://github.com/mkdocs/best-of-mkdocs,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-05-04 10:50:18.000,2023-05-04 10:50:15,160.0,20.0,9.0,7.0,78.0,1.0,2.0,216.0,2023-04-27 19:15:26.000,2023.04.27,58.0,5.0,0,True,mkdocs/best-of-mkdocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-05-03 15:25:40.000,2023-05-02 14:02:58,14961.0,102.0,2310.0,194.0,5026.0,865.0,4449.0,10116.0,2023-04-14 18:13:32.583,7.3.1,160.0,866.0,47,True,,pytest,conda-forge/pytest,['pytest'],908515.0,892642.0,https://pypi.org/project/pytest,2023-01-14 12:19:00.550,15873.0,58923523.0,59167289.0,https://anaconda.org/conda-forge/pytest,2023-04-14 23:00:04.667,19988825.0,1.0,,,,,,,,,,,,,,,,,,,
5,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-05-01 05:24:24.000,2023-04-29 21:03:42,8302.0,86.0,1747.0,361.0,1681.0,189.0,3735.0,23817.0,2023-04-29 21:02:44.000,2023.4.29,69.0,465.0,45,True,,pipenv,conda-forge/pipenv,,78440.0,78440.0,https://pypi.org/project/pipenv,,,6522372.0,6524722.0,https://anaconda.org/conda-forge/pipenv,2023-04-29 22:34:06.026,101075.0,1.0,,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-05-03 22:56:51.000,2023-04-26 18:52:14,13801.0,223.0,2723.0,309.0,5192.0,894.0,5871.0,8722.0,,,63.0,731.0,45,True,,pip,conda-forge/pip,,133158.0,133158.0,https://pypi.org/project/pip,,,148473220.0,149397858.0,https://anaconda.org/conda-forge/pip,2023-04-26 11:16:14.578,75820356.0,1.0,,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-05-03 17:26:57.000,2023-05-03 17:26:57,1549.0,38.0,1968.0,228.0,1377.0,355.0,1905.0,32226.0,2023-03-29 01:00:11.000,23.3.0,29.0,368.0,44,True,,black,conda-forge/black,,365609.0,365609.0,https://pypi.org/project/black,,,19631440.0,19749575.0,https://anaconda.org/conda-forge/black,2023-04-26 07:05:32.069,7054349.0,1.0,28154.0,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-05-03 13:19:37.000,2023-05-03 12:52:30,13804.0,188.0,930.0,89.0,1386.0,543.0,1746.0,2023.0,2023-04-24 11:37:12.000,67.7.2,196.0,566.0,44,True,,setuptools,conda-forge/setuptools,,316509.0,316509.0,https://pypi.org/project/setuptools,,,244462943.0,245419856.0,https://anaconda.org/conda-forge/setuptools,2023-04-24 18:49:33.341,78466921.0,1.0,,,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-05-04 13:33:59.000,2023-04-27 14:16:08,3759.0,77.0,1511.0,541.0,957.0,95.0,978.0,43129.0,2023-04-27 16:00:07.000,13.3.5,100.0,221.0,43,True,,rich,conda-forge/rich,,84549.0,84549.0,https://pypi.org/project/rich,,,23021783.0,23128666.0,https://anaconda.org/conda-forge/rich,2023-04-27 19:38:00.684,3634055.0,1.0,,,,,,,,,,,,,,,,,,,
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-04-30 02:31:41.000,2023-03-03 21:07:28,1940.0,12.0,1230.0,210.0,512.0,426.0,569.0,24675.0,2023-03-03 21:28:29.000,4.65.0,131.0,112.0,43,True,,tqdm,conda-forge/tqdm,,480484.0,454954.0,https://pypi.org/project/tqdm,2023-03-03 21:19:01.523,25530.0,54387174.0,54623713.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,19617989.0,1.0,11007.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-03-18 01:39:51.172447,2.0,4089.0,,,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-05-02 11:01:23.000,2023-05-02 11:01:20,5935.0,63.0,1283.0,238.0,625.0,228.0,1388.0,9274.0,,,37.0,195.0,43,True,,psutil,conda-forge/psutil,,302055.0,302055.0,https://pypi.org/project/psutil,,,65234020.0,65487915.0,https://anaconda.org/conda-forge/psutil,2023-04-17 23:58:50.059,21581083.0,1.0,,,,,,,,,,,,,,,,,,,
12,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-05-04 12:04:58.000,2023-05-04 12:04:58,16306.0,118.0,1367.0,201.0,3585.0,766.0,8300.0,5411.0,2023-03-30 03:29:50.000,23.3.1,100.0,426.0,43,True,,conda,conda-forge/conda,,40778.0,39684.0,https://pypi.org/project/conda,2016-09-16 15:07:21.000,1094.0,244112.0,762352.0,https://anaconda.org/conda-forge/conda,2023-03-30 15:12:14.391,41977511.0,1.0,,,,,,,,,,,,,,,,,,,
13,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-05-03 20:59:35.000,2023-05-03 20:01:26,8617.0,332.0,971.0,75.0,3722.0,715.0,4211.0,4656.0,2023-04-24 18:25:38.000,2.17.3,73.0,524.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,358067.0,358067.0,https://pypi.org/project/pylint,,,13180936.0,13230747.0,https://anaconda.org/conda-forge/pylint,2023-04-24 23:11:58.211,4034691.0,1.0,,,,,,,,,,,,,,,,,,,
14,mypy,python/mypy,linters,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-05-04 13:20:53.000,2023-05-04 11:46:11,11167.0,208.0,2422.0,231.0,6158.0,2387.0,6560.0,15285.0,,,48.0,648.0,42,False,,mypy,conda-forge/mypy,,183538.0,183538.0,https://pypi.org/project/mypy,,,13196872.0,13241463.0,https://anaconda.org/conda-forge/mypy,2023-04-06 20:15:11.302,2943025.0,1.0,,,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-05-03 08:04:09.000,2023-05-02 13:10:13,5230.0,245.0,2844.0,113.0,2336.0,19.0,1834.0,13672.0,2023-05-02 09:31:05.000,9.1.9,153.0,210.0,42,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],31651.0,31651.0,https://pypi.org/project/mkdocs-material,,,2220501.0,2225478.0,https://anaconda.org/conda-forge/mkdocs-material,2023-05-02 11:59:12.865,238926.0,1.0,,,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-05-03 14:44:47.341,2023-05-02 14:07:25,2519.0,89.0,719.0,89.0,1078.0,21.0,1741.0,10298.0,2023-05-02 14:09:12.000,3.3.1,183.0,149.0,42,True,,pre-commit,conda-forge/pre-commit,,131141.0,125832.0,https://pypi.org/project/pre-commit,2023-01-29 23:39:18.572,5309.0,10104756.0,10176448.0,https://anaconda.org/conda-forge/pre-commit,2023-05-03 14:44:47.341,2952943.0,1.0,412908.0,,,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-05-02 09:18:53.000,2023-05-02 09:18:52,8720.0,70.0,1750.0,233.0,2144.0,270.0,4581.0,10241.0,2023-04-14 22:23:12.000,5.10.1,51.0,449.0,42,True,,pyinstaller,conda-forge/pyinstaller,,42674.0,42674.0,https://pypi.org/project/pyinstaller,,,1086768.0,1098396.0,https://anaconda.org/conda-forge/pyinstaller,2023-04-15 00:11:39.283,432048.0,1.0,737793.0,,,,,,,,,,,,,,,,,,
