,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-09 00:31:34.000,2023-06-09 00:31:33,239.0,27.0,146.0,53.0,145.0,1.0,2.0,1931.0,2023-06-09 00:31:41.000,2023.06.08,93.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-06-08 18:58:26.000,2023-06-08 18:58:25,176.0,30.0,11.0,10.0,93.0,2.0,4.0,287.0,2023-06-08 18:58:39.000,2023.06.08,65.0,6.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-06-15 12:45:50.000,2023-06-15 12:17:14,15051.0,144.0,2349.0,195.0,5099.0,856.0,4508.0,10305.0,2023-06-10 19:30:41.969,7.3.2,161.0,876.0,47,True,,pytest,conda-forge/pytest,['pytest'],948235.0,937977.0,https://pypi.org/project/pytest,2017-12-06 00:19:53.000,10258.0,61997825.0,62248050.0,https://anaconda.org/conda-forge/pytest,2023-06-12 16:21:58.015,20768730.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-06-12 19:20:32.000,2023-06-12 19:20:31,1567.0,43.0,2100.0,229.0,1399.0,407.0,1916.0,32635.0,2023-03-29 01:06:04.625,23.3.0,46.0,374.0,45,True,,black,conda-forge/black,,393444.0,383158.0,https://pypi.org/project/black,2018-09-26 20:08:48.000,10286.0,20539590.0,20661094.0,https://anaconda.org/conda-forge/black,2023-04-26 07:05:32.069,7369040.0,1.0,35786.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-06-12 07:42:43.000,2023-06-12 07:42:41,8344.0,90.0,1845.0,364.0,1712.0,201.0,3769.0,23901.0,2023-06-12 01:18:36.409,2023.6.12,358.0,467.0,45,True,,pipenv,conda-forge/pipenv,,88966.0,87715.0,https://pypi.org/project/pipenv,2022-07-04 21:30:18.000,1251.0,6718112.0,6720597.0,https://anaconda.org/conda-forge/pipenv,2023-06-12 04:20:22.120,109382.0,1.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-06-09 13:37:15.000,2023-06-09 13:37:14,5941.0,67.0,1334.0,239.0,631.0,273.0,1391.0,9357.0,2023-04-17 18:27:02.245,5.9.5,89.0,195.0,45,True,,psutil,conda-forge/psutil,,341218.0,324472.0,https://pypi.org/project/psutil,2017-10-12 07:26:59.000,16746.0,65551486.0,65816738.0,https://anaconda.org/conda-forge/psutil,2023-04-17 23:58:50.059,22811722.0,1.0,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-06-15 11:30:56.000,2023-06-12 08:17:52,13842.0,214.0,2754.0,312.0,5221.0,908.0,5905.0,8795.0,,,63.0,734.0,45,True,,pip,conda-forge/pip,,140698.0,140698.0,https://pypi.org/project/pip,,,147992915.0,148959674.0,https://anaconda.org/conda-forge/pip,2023-04-26 11:16:14.578,80241044.0,1.0,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-06-14 13:38:13.000,2023-06-14 13:38:06,13874.0,100.0,1006.0,91.0,1399.0,561.0,1759.0,2052.0,2023-05-19 19:41:05.692,67.8.0,546.0,572.0,45,True,,setuptools,conda-forge/setuptools,,378235.0,340698.0,https://pypi.org/project/setuptools,2022-07-04 02:25:55.000,37537.0,251157738.0,252155759.0,https://anaconda.org/conda-forge/setuptools,2023-04-24 18:49:33.341,82835790.0,1.0,,,,,,,,,,,,,,,,,
10,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-06-15 13:19:13.000,2023-06-15 09:37:59,16369.0,115.0,1373.0,199.0,3661.0,773.0,8375.0,5511.0,2023-05-22 19:00:30.000,23.5.0,100.0,432.0,43,True,,conda,conda-forge/conda,,42134.0,41043.0,https://pypi.org/project/conda,2016-09-16 15:07:21.000,1091.0,78260.0,609847.0,https://anaconda.org/conda-forge/conda,2023-05-25 17:37:50.770,43590196.0,1.0,,,,,,,,,,,,,,,,,
11,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-06-15 11:41:39.000,2023-06-14 11:36:26,8677.0,215.0,1014.0,75.0,3785.0,721.0,4266.0,4712.0,2023-05-06 16:36:23.720,2.17.4,174.0,528.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,388977.0,366980.0,https://pypi.org/project/pylint,2022-06-29 13:48:28.000,21997.0,13294715.0,13345807.0,https://anaconda.org/conda-forge/pylint,2023-05-06 18:27:40.178,4189609.0,1.0,,,,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-06-12 17:36:05.280,2023-06-12 13:57:04,3783.0,40.0,1521.0,542.0,975.0,109.0,987.0,43605.0,2023-06-12 13:57:22.000,13.4.2,102.0,221.0,42,True,,rich,conda-forge/rich,,96463.0,96463.0,https://pypi.org/project/rich,,,23301810.0,23417511.0,https://anaconda.org/conda-forge/rich,2023-06-12 17:36:05.280,4049552.0,1.0,,,,,,,,,,,,,,,,,
13,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-06-13 00:19:50.000,2023-03-03 21:07:28,1940.0,,1278.0,213.0,514.0,446.0,569.0,25023.0,2023-03-03 21:28:29.000,4.65.0,131.0,112.0,42,True,,tqdm,conda-forge/tqdm,,513184.0,487677.0,https://pypi.org/project/tqdm,2019-01-11 22:13:30.000,25507.0,54108239.0,54354696.0,https://anaconda.org/conda-forge/tqdm,2023-03-04 16:57:20.216,20687372.0,1.0,11310.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-06-10 01:47:30.999281,2.0,4100.0,,,,,,,,,,,
14,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-06-12 12:17:18.000,2023-06-12 11:45:11,1882.0,61.0,2181.0,231.0,1144.0,112.0,1700.0,16578.0,2023-05-02 21:19:16.000,1.4.3,25.0,238.0,42,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],45239.0,45239.0,https://pypi.org/project/mkdocs,,,1728315.0,1731348.0,https://anaconda.org/conda-forge/mkdocs,2023-05-03 16:41:13.115,260904.0,1.0,,,,,,,,,,,,,,,,,
15,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2023-06-15 14:03:14.000,2023-06-15 14:03:14,11254.0,191.0,2454.0,233.0,6277.0,2433.0,6648.0,15525.0,,,49.0,657.0,42,False,,mypy,conda-forge/mypy,,191213.0,191213.0,https://pypi.org/project/mypy,,,14009541.0,14055647.0,https://anaconda.org/conda-forge/mypy,2023-05-12 19:54:15.023,3089119.0,1.0,,,,,,,,,,,,,,,,,
16,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-06-14 13:24:44.334,2023-06-13 23:11:02,2547.0,52.0,727.0,89.0,1093.0,23.0,1758.0,10502.0,2023-06-13 23:12:35.000,3.3.3,185.0,150.0,42,True,,pre-commit,conda-forge/pre-commit,,139362.0,134823.0,https://pypi.org/project/pre-commit,2023-01-29 23:39:18.572,4539.0,10311563.0,10425090.0,https://anaconda.org/conda-forge/pre-commit,2023-06-14 13:24:44.334,3201474.0,1.0,470041.0,,,,,,,,,,,,,,,,
17,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-06-15 13:22:27.000,2023-06-12 17:13:03,8779.0,105.0,1753.0,233.0,2173.0,267.0,4624.0,10366.0,2023-06-08 11:54:03.000,5.12.0,53.0,453.0,42,True,,pyinstaller,conda-forge/pyinstaller,,44670.0,44670.0,https://pypi.org/project/pyinstaller,,,1196330.0,1208066.0,https://anaconda.org/conda-forge/pyinstaller,2023-06-12 22:52:08.948,449939.0,1.0,738988.0,,,,,,,,,,,,,,,,
18,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2023-06-15 09:51:08.000,2023-06-13 10:41:13,13066.0,260.0,551.0,71.0,2268.0,59.0,1359.0,6745.0,2023-06-12 01:05:52.991,6.78.1,1055.0,314.0,42,True,,hypothesis,conda-forge/hypothesis,,23262.0,21133.0,https://pypi.org/project/hypothesis,2022-07-05 05:13:25.000,2129.0,5218830.0,5312063.0,https://anaconda.org/conda-forge/hypothesis,2023-06-13 15:26:35.345,7738377.0,1.0,,,,,,,,,,,,,,,,,
19,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-06-15 14:12:03.000,2023-06-15 11:24:14,3708.0,862.0,473.0,67.0,3096.0,295.0,1659.0,15611.0,2023-06-08 03:23:01.010,0.0.272,246.0,214.0,41,True,astral-sh/ruff,ruff,conda-forge/ruff,,8877.0,8381.0,https://pypi.org/project/ruff,2023-06-08 03:23:01.010,496.0,2448245.0,2483007.0,https://anaconda.org/conda-forge/ruff,2023-06-12 05:26:26.421,217233.0,1.0,22378.0,,,,,,,,,,,,,,,,
20,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-06-13 08:20:56.000,2023-06-13 08:19:14,5308.0,189.0,2879.0,116.0,2379.0,20.0,1881.0,14200.0,2023-05-29 15:43:18.000,9.1.15,158.0,215.0,41,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],33357.0,33357.0,https://pypi.org/project/mkdocs-material,,,2550068.0,2555432.0,https://anaconda.org/conda-forge/mkdocs-material,2023-05-29 21:43:39.255,262884.0,1.0,,,,,,,,,,,,,,,,,
21,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2023-06-15 12:50:22.000,2023-06-14 13:02:46,1283.0,59.0,901.0,216.0,313.0,367.0,435.0,13273.0,2023-06-13 07:40:05.909,0.40.0,72.0,147.0,41,True,,yapf,conda-forge/yapf,,80529.0,78308.0,https://pypi.org/project/yapf,2023-02-21 19:25:03.574,2221.0,3521119.0,3538563.0,https://anaconda.org/conda-forge/yapf,2023-05-01 01:43:30.917,1465374.0,2.0,,,,,,,,,,,,,,,,,
22,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-06-13 22:23:39.000,2023-06-13 22:23:17,14111.0,188.0,2134.0,478.0,663.0,279.0,3879.0,8108.0,2023-06-12 09:41:48.000,6.1,101.0,185.0,41,True,,robotframework,conda-forge/robotframework,,8965.0,7866.0,https://pypi.org/project/robotframework,2023-01-09 21:14:31.299,1099.0,1745816.0,1747848.0,https://anaconda.org/conda-forge/robotframework,2023-06-12 12:29:42.201,131780.0,1.0,548.0,,,,,,,,,,,,,,,,
23,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2023-06-07 18:12:14.000,2023-05-25 18:47:00,4086.0,13.0,531.0,48.0,929.0,163.0,1062.0,5852.0,2023-01-31 16:31:31.154,5.8.0,143.0,283.0,41,True,,isort,conda-forge/isort,,409584.0,393018.0,https://pypi.org/project/isort,2019-03-10 06:01:35.000,16566.0,25809017.0,25867732.0,https://anaconda.org/conda-forge/isort,2023-02-01 23:25:16.111,4873375.0,2.0,,,,,,,,,,,,,,,,,
24,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2023-06-11 22:40:04.000,2023-05-15 09:43:55,20121.0,144.0,1819.0,148.0,4935.0,1161.0,5323.0,5467.0,2023-05-12 21:51:49.000,7.0.1,99.0,783.0,41,False,,sphinx,conda-forge/sphinx,['sphinx'],310318.0,310318.0,https://pypi.org/project/sphinx,,,9341925.0,9436085.0,https://anaconda.org/conda-forge/sphinx,2023-05-12 22:37:46.449,7721181.0,1.0,,,,,,,,,,,,,,,,,
25,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-06-14 01:44:46.000,2023-06-10 17:09:55,683.0,25.0,1003.0,167.0,1267.0,80.0,1208.0,4480.0,2023-04-27 23:39:08.031,20.23.0,204.0,253.0,41,True,,virtualenv,conda-forge/virtualenv,,292939.0,275051.0,https://pypi.org/project/virtualenv,2020-08-17 15:24:34.000,17888.0,56272896.0,56334013.0,https://anaconda.org/conda-forge/virtualenv,2023-04-28 09:34:05.273,4583821.0,2.0,,,,,,,,,,,,,,,,,
26,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-06-15 13:04:24.000,2023-06-14 15:44:56,2897.0,132.0,1975.0,187.0,2437.0,609.0,4502.0,25408.0,2023-05-29 16:05:44.352,1.5.1,162.0,462.0,40,True,,poetry,conda-forge/poetry,,260.0,,https://pypi.org/project/poetry,2022-06-06 21:41:00.000,260.0,12633140.0,12897757.0,https://anaconda.org/conda-forge/poetry,2023-05-30 03:31:23.776,898842.0,2.0,15144799.0,,,,,,,,,,,,,,,,
27,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,MIT,2012-02-19 23:12:30.000,2023-05-28 11:08:17.000,2023-05-28 11:08:09,8362.0,18.0,498.0,114.0,581.0,55.0,1303.0,5441.0,2022-11-21 22:34:01.796,0.18.2,32.0,163.0,40,True,,jedi,conda-forge/jedi,,322700.0,314300.0,https://pypi.org/project/jedi,2021-11-17 00:47:47.000,8400.0,19014290.0,19223115.0,https://anaconda.org/conda-forge/jedi,2022-11-22 16:27:48.875,16706055.0,1.0,,,,,,,,,,,,,,,,,
