,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-06-29 17:12:03.000,2023-06-29 17:12:02,245.0,27.0,149.0,53.0,148.0,1.0,2.0,1943.0,2023-06-29 17:12:08.000,2023.06.29,96.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-06-30 13:16:12.000,2023-06-30 13:16:12,181.0,32.0,14.0,10.0,98.0,2.0,6.0,318.0,2023-06-29 18:48:34.000,2023.06.29,68.0,8.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-07-06 08:51:45.000,2023-07-06 08:51:44,15157.0,214.0,2299.0,194.0,5133.0,777.0,4549.0,10381.0,2023-06-23 11:18:06.000,7.4.0,108.0,885.0,48,True,,pytest,conda-forge/pytest,['pytest'],957369.0,957369.0,https://pypi.org/project/pytest,58923030.0,59564962.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,21183787.0,1.0,,,,,,,,,,,,,,,,,,,
5,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-07-05 05:44:00.000,2023-07-05 05:43:40,8400.0,129.0,1851.0,363.0,1731.0,197.0,3781.0,23920.0,2023-07-05 02:17:20.000,2023.7.4,363.0,470.0,45,True,,pipenv,conda-forge/pipenv,,94294.0,93043.0,https://pypi.org/project/pipenv,6864108.0,6867118.0,https://anaconda.org/conda-forge/pipenv,2023-07-05 04:49:49.090,114405.0,1.0,2022-07-04 21:30:18.000,1251.0,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-07-05 16:22:34.000,2023-07-05 16:22:28,13952.0,161.0,1006.0,91.0,1405.0,561.0,1773.0,2066.0,2023-06-19 15:56:05.830,68.0.0,547.0,574.0,45,True,,setuptools,conda-forge/setuptools,,390298.0,352582.0,https://pypi.org/project/setuptools,249203035.0,251435523.0,https://anaconda.org/conda-forge/setuptools,2023-06-23 13:47:19.359,84834546.0,1.0,2022-07-04 02:25:55.000,37716.0,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-07-05 21:25:13.000,2023-07-05 17:08:04,1582.0,41.0,2116.0,227.0,1417.0,399.0,1958.0,32838.0,2023-03-29 01:06:04.625,23.3.0,46.0,377.0,44,True,,black,conda-forge/black,,401190.0,390526.0,https://pypi.org/project/black,21049563.0,21171531.0,https://anaconda.org/conda-forge/black,2023-06-16 16:08:49.401,7507689.0,1.0,2018-09-26 20:08:48.000,10664.0,45635.0,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-07-05 09:44:52.000,2023-07-05 09:44:51,13907.0,189.0,2755.0,312.0,5236.0,915.0,5925.0,8822.0,,,63.0,736.0,44,True,,pip,conda-forge/pip,,143492.0,143492.0,https://pypi.org/project/pip,138617361.0,139596866.0,https://anaconda.org/conda-forge/pip,2023-06-16 13:25:27.518,82278459.0,1.0,,,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-07-05 23:48:17.000,2023-07-03 10:41:29,3787.0,35.0,1588.0,542.0,984.0,168.0,987.0,43813.0,2023-06-12 13:57:22.000,13.4.2,184.0,223.0,43,True,,rich,conda-forge/rich,,106219.0,101897.0,https://pypi.org/project/rich,24532992.0,24651169.0,https://anaconda.org/conda-forge/rich,2023-06-12 17:36:05.280,4254373.0,1.0,2022-05-24 06:40:55.000,4322.0,,,,,,,,,,,,,,,,,
