,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-07-13 17:15:25.000,2023-07-13 17:15:24,249.0,26.0,149.0,53.0,150.0,1.0,2.0,1951.0,2023-07-13 17:15:30.000,2023.07.13,98.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-07-18 17:57:28.000,2023-07-18 17:56:20,185.0,34.0,14.0,10.0,101.0,2.0,6.0,351.0,2023-06-29 18:48:34.000,2023.06.29,68.0,9.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-07-20 13:42:32.000,2023-07-20 13:42:32,15204.0,227.0,2308.0,193.0,5158.0,784.0,4560.0,10416.0,2023-06-23 11:18:06.000,7.4.0,108.0,887.0,48,True,,pytest,conda-forge/pytest,['pytest'],970530.0,970530.0,https://pypi.org/project/pytest,59397572.0,60047466.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,21446534.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-07-19 01:36:09.000,2023-07-18 21:11:24,1606.0,61.0,2124.0,227.0,1439.0,367.0,1981.0,32968.0,2023-07-11 00:23:56.321,23.7.0,47.0,383.0,45,True,,black,conda-forge/black,,405834.0,394945.0,https://pypi.org/project/black,21983644.0,22196073.0,https://anaconda.org/conda-forge/black,2023-07-11 16:38:59.698,7615249.0,1.0,46547.0,2018-09-26 20:08:48.000,10889.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-07-20 12:15:33.000,2023-07-19 03:05:59,8419.0,129.0,1851.0,361.0,1738.0,197.0,3792.0,23953.0,2023-07-11 19:01:01.978,2023.7.11,365.0,471.0,45,True,,pipenv,conda-forge/pipenv,,98585.0,97334.0,https://pypi.org/project/pipenv,7330911.0,7334007.0,https://anaconda.org/conda-forge/pipenv,2023-07-11 20:20:30.698,117664.0,1.0,,2022-07-04 21:30:18.000,1251.0,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-07-15 08:33:59.000,2023-06-09 13:37:14,5941.0,13.0,1334.0,238.0,634.0,273.0,1391.0,9410.0,2023-04-17 18:27:02.245,5.9.5,89.0,195.0,45,True,,psutil,conda-forge/psutil,,355902.0,338963.0,https://pypi.org/project/psutil,64834113.0,65107410.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,23776869.0,1.0,,2017-10-12 07:26:59.000,16939.0,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-07-20 10:13:11.000,2023-07-20 10:13:05,13962.0,148.0,948.0,91.0,1411.0,546.0,1774.0,2077.0,2023-06-19 15:53:10.000,68.0.0,197.0,574.0,45,True,,setuptools,conda-forge/setuptools,,360700.0,360700.0,https://pypi.org/project/setuptools,258860108.0,261126094.0,https://anaconda.org/conda-forge/setuptools,2023-06-23 13:47:19.359,86107484.0,1.0,,,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-07-20 06:03:07.000,2023-07-17 09:40:25,13937.0,145.0,2762.0,313.0,5244.0,926.0,5944.0,8846.0,,,64.0,738.0,44,True,,pip,conda-forge/pip,,145168.0,145168.0,https://pypi.org/project/pip,145560312.0,147762530.0,https://anaconda.org/conda-forge/pip,2023-07-15 11:29:01.649,83684305.0,1.0,,,,,,,,,,,,,,,,,,,
