,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-03 17:01:54.000,2023-08-03 17:01:53,255.0,26.0,151.0,51.0,153.0,1.0,2.0,1978.0,2023-08-03 17:02:00.000,2023.08.03,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-08-03 18:42:59.000,2023-08-03 18:42:58,192.0,30.0,17.0,11.0,107.0,4.0,6.0,390.0,2023-06-29 18:48:34.000,2023.06.29,68.0,11.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-08-10 09:27:32.000,2023-08-10 06:05:58,15236.0,228.0,2315.0,194.0,5184.0,792.0,4580.0,10463.0,2023-06-23 11:18:06.000,7.4.0,108.0,892.0,48,True,,pytest,conda-forge/pytest,['pytest'],988066.0,988066.0,https://pypi.org/project/pytest,69163805.0,69805388.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,21813824.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-08-08 18:12:05.000,2023-08-08 18:12:05,1618.0,68.0,2012.0,228.0,1452.0,337.0,2002.0,33184.0,2023-07-11 00:20:37.000,23.7.0,30.0,388.0,46,True,,black,conda-forge/black,,401804.0,401804.0,https://pypi.org/project/black,25601839.0,25812922.0,https://anaconda.org/conda-forge/black,2023-07-11 16:38:59.698,7777012.0,1.0,47406.0,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-08-10 12:55:51.000,2023-08-07 01:14:15,8467.0,163.0,1775.0,362.0,1754.0,191.0,3802.0,24026.0,2023-07-23 20:59:18.000,2023.7.23,81.0,473.0,45,True,,pipenv,conda-forge/pipenv,,101455.0,101455.0,https://pypi.org/project/pipenv,9620960.0,9624062.0,https://anaconda.org/conda-forge/pipenv,2023-07-23 22:35:22.279,121008.0,1.0,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-08-09 18:41:37.000,2023-08-08 12:37:38,13981.0,174.0,2779.0,310.0,5265.0,928.0,5971.0,8889.0,,,65.0,741.0,45,True,,pip,conda-forge/pip,,147555.0,147555.0,https://pypi.org/project/pip,180694390.0,182897110.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,85906081.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-08-10 09:28:58.000,2023-08-08 18:43:22,13979.0,150.0,957.0,91.0,1419.0,551.0,1779.0,2097.0,2023-06-19 15:53:10.000,68.0.0,197.0,578.0,45,True,,setuptools,conda-forge/setuptools,,370505.0,370505.0,https://pypi.org/project/setuptools,284660896.0,286916187.0,https://anaconda.org/conda-forge/setuptools,2023-06-23 13:47:19.359,87956376.0,1.0,,,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-08-09 22:42:34.000,2023-08-01 15:44:57,3833.0,71.0,1605.0,539.0,1011.0,172.0,1012.0,44234.0,2023-08-01 15:47:37.000,13.5.2,187.0,227.0,44,True,,rich,conda-forge/rich,,115494.0,110896.0,https://pypi.org/project/rich,29905381.0,30029047.0,https://anaconda.org/conda-forge/rich,2023-07-31 12:52:42.810,4575651.0,1.0,,2023-08-01 15:46:49.000,4598.0,,,,,,,,,,,,,,,,
