,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-24 16:49:11.000,2023-08-24 16:49:10,261.0,24.0,148.0,51.0,156.0,1.0,2.0,1996.0,2023-08-24 16:49:17.000,2023.08.24,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-08-24 18:28:21.000,2023-08-24 18:28:20,198.0,30.0,19.0,11.0,113.0,2.0,8.0,413.0,2023-06-29 18:48:34.000,2023.06.29,68.0,13.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-08-30 13:47:03.000,2023-08-30 11:52:14,15277.0,227.0,2323.0,193.0,5213.0,791.0,4609.0,10549.0,2023-06-23 11:18:06.000,7.4.0,108.0,901.0,48,True,,pytest,conda-forge/pytest,['pytest'],1007478.0,1007478.0,https://pypi.org/project/pytest,71757423.0,72410056.0,https://anaconda.org/conda-forge/pytest,2023-06-25 11:25:20.181,22189551.0,1.0,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-08-31 13:26:52.000,2023-08-31 08:28:31,14008.0,178.0,2976.0,309.0,5274.0,1043.0,5984.0,8917.0,2023-07-22 09:17:31.000,23.2.1,134.0,744.0,47,True,,pip,conda-forge/pip,,161056.0,149982.0,https://pypi.org/project/pip,179481126.0,181737079.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,87982200.0,1.0,2023-07-22 09:17:31.000,11074.0,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-08-31 01:43:21.000,2023-08-26 13:44:17,1627.0,64.0,2137.0,230.0,1464.0,372.0,2011.0,33405.0,2023-07-11 00:23:56.321,23.7.0,47.0,390.0,46,True,,black,conda-forge/black,,420417.0,408613.0,https://pypi.org/project/black,25730648.0,25946781.0,https://anaconda.org/conda-forge/black,2023-07-11 16:38:59.698,7963172.0,1.0,2023-07-11 00:23:56.321,11804.0,48390.0,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-08-31 11:00:28.000,2023-08-30 23:42:12,8529.0,197.0,1851.0,362.0,1787.0,197.0,3847.0,24089.0,2023-08-29 01:08:05.000,2023.8.28,374.0,477.0,46,True,,pipenv,conda-forge/pipenv,,106945.0,105689.0,https://pypi.org/project/pipenv,10428704.0,10431896.0,https://anaconda.org/conda-forge/pipenv,2023-08-29 03:32:00.778,124503.0,1.0,2023-08-29 01:08:05.000,1256.0,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-08-29 19:20:29.000,2023-08-29 17:43:06,14103.0,230.0,1044.0,91.0,1430.0,570.0,1792.0,2128.0,2023-08-18 12:08:32.000,68.1.2,549.0,581.0,46,True,,setuptools,conda-forge/setuptools,,420204.0,381877.0,https://pypi.org/project/setuptools,314265128.0,316569125.0,https://anaconda.org/conda-forge/setuptools,2023-08-18 18:33:06.882,89855917.0,1.0,2023-08-18 12:08:13.000,38327.0,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-08-25 12:47:47.000,2023-08-07 06:49:18,5962.0,25.0,1346.0,237.0,644.0,281.0,1404.0,9505.0,2023-07-20 15:38:39.940,0.1.0,90.0,198.0,45,True,,psutil,conda-forge/psutil,,375178.0,357931.0,https://pypi.org/project/psutil,70111851.0,70395104.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,24926293.0,1.0,2023-04-17 18:27:02.245,17247.0,,,,,,,,,,,,,,,
10,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-08-30 22:30:27.970,2023-08-30 21:55:02,20393.0,272.0,1975.0,146.0,5017.0,1205.0,5468.0,5584.0,2023-08-30 22:10:05.000,7.2.5,197.0,784.0,45,True,,sphinx,conda-forge/sphinx,['sphinx'],388257.0,325640.0,https://pypi.org/project/sphinx,10942133.0,11150841.0,https://anaconda.org/conda-forge/sphinx,2023-08-30 22:30:27.970,8139639.0,1.0,2023-08-30 22:10:05.000,62617.0,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-08-31 13:11:13.000,2023-08-01 15:44:57,3833.0,53.0,1605.0,538.0,1020.0,172.0,1026.0,44523.0,2023-08-01 15:47:37.000,13.5.2,187.0,227.0,44,True,,rich,conda-forge/rich,,122496.0,117898.0,https://pypi.org/project/rich,31632985.0,31762331.0,https://anaconda.org/conda-forge/rich,2023-07-31 12:52:42.810,4785820.0,1.0,2023-08-01 15:46:49.000,4598.0,,,,,,,,,,,,,,,
