,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-07 17:04:15.000,2023-09-07 17:04:10,265.0,24.0,149.0,51.0,158.0,1.0,2.0,2006.0,2023-09-07 17:04:18.000,2023.09.07,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-09-10 10:41:24.000,2023-09-10 10:41:24,202.0,25.0,22.0,11.0,117.0,3.0,8.0,429.0,2023-06-29 18:48:34.000,2023.06.29,68.0,15.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-09-12 22:17:20.000,2023-09-12 22:17:20,15329.0,249.0,2333.0,194.0,5256.0,788.0,4626.0,10589.0,2023-09-07 18:56:03.000,7.4.2,110.0,909.0,48,True,,pytest,conda-forge/pytest,['pytest'],1019962.0,1019962.0,https://pypi.org/project/pytest,73040498.0,73681883.0,https://anaconda.org/conda-forge/pytest,2023-09-07 23:17:51.935,22448491.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-09-13 07:40:42.000,2023-09-13 07:40:41,1650.0,82.0,2137.0,229.0,1483.0,372.0,2019.0,33539.0,2023-09-11 00:38:59.000,23.9.1,49.0,396.0,46,True,,black,conda-forge/black,,425835.0,413372.0,https://pypi.org/project/black,26609398.0,26823978.0,https://anaconda.org/conda-forge/black,2023-09-11 17:19:01.299,8119720.0,1.0,48840.0,2023-09-11 00:38:59.000,12463.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-09-12 11:39:23.000,2023-09-11 09:13:27,8575.0,230.0,1782.0,363.0,1802.0,163.0,3881.0,24109.0,2023-09-08 12:42:44.000,2023.9.8,92.0,480.0,46,True,,pipenv,conda-forge/pipenv,,108461.0,108461.0,https://pypi.org/project/pipenv,10977423.0,10980587.0,https://anaconda.org/conda-forge/pipenv,2023-09-08 15:05:25.309,126577.0,1.0,,,,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-09-12 19:55:09.802,2023-09-12 16:37:58,14141.0,247.0,970.0,90.0,1437.0,547.0,1800.0,2131.0,2023-09-12 17:22:21.000,68.2.2,199.0,582.0,46,True,,setuptools,conda-forge/setuptools,,388688.0,388688.0,https://pypi.org/project/setuptools,333825253.0,336105454.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,91208064.0,1.0,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-09-13 09:17:59.000,2023-08-07 06:49:18,5962.0,21.0,1346.0,237.0,647.0,281.0,1405.0,9533.0,2023-07-20 15:38:39.940,0.1.0,90.0,198.0,45,True,,psutil,conda-forge/psutil,,381404.0,364067.0,https://pypi.org/project/psutil,71210788.0,71495568.0,https://anaconda.org/conda-forge/psutil,2023-06-16 13:17:58.536,25345447.0,1.0,,2023-04-17 18:27:02.245,17337.0,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-09-13 19:46:20.751,2023-08-01 15:44:57,3833.0,50.0,1579.0,538.0,1022.0,126.0,1032.0,44704.0,2023-08-01 15:47:37.000,13.5.2,105.0,227.0,44,True,,rich,conda-forge/rich,,121788.0,121788.0,https://pypi.org/project/rich,30835999.0,30965454.0,https://anaconda.org/conda-forge/rich,2023-09-13 19:46:20.751,4919327.0,1.0,,,,,,,,,,,,,,,,,,,
