,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-14 16:33:16.000,2023-09-14 16:33:14,267.0,25.0,148.0,51.0,159.0,1.0,2.0,2014.0,2023-09-14 16:33:20.000,2023.09.14,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-09-14 21:38:15.000,2023-09-14 21:38:13,203.0,25.0,23.0,11.0,118.0,3.0,9.0,436.0,2023-06-29 18:48:34.000,2023.06.29,68.0,15.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-09-20 12:41:03.000,2023-09-20 12:08:07,15341.0,238.0,2394.0,192.0,5265.0,832.0,4635.0,10609.0,2023-09-07 18:56:03.000,7.4.2,164.0,913.0,48,True,,pytest,conda-forge/pytest,['pytest'],1043019.0,1025945.0,https://pypi.org/project/pytest,2023-09-07 18:45:52.000,17074.0,75736403.0,76381457.0,https://anaconda.org/conda-forge/pytest,2023-09-07 23:17:51.935,22576892.0,1.0,,,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-09-21 09:20:32.000,2023-09-18 17:35:07,1657.0,85.0,2137.0,228.0,1492.0,372.0,2020.0,33606.0,2023-09-11 00:38:59.000,23.9.1,49.0,397.0,46,True,,black,conda-forge/black,,428380.0,415917.0,https://pypi.org/project/black,2023-09-11 00:38:59.000,12463.0,27498343.0,27715626.0,https://anaconda.org/conda-forge/black,2023-09-11 17:19:01.299,8222293.0,1.0,48993.0,,,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-09-21 03:24:06.000,2023-09-17 09:59:15,8576.0,220.0,1890.0,362.0,1806.0,190.0,3881.0,24125.0,2023-09-08 12:43:57.000,2023.9.8,378.0,480.0,46,True,,pipenv,conda-forge/pipenv,,110835.0,109578.0,https://pypi.org/project/pipenv,2023-09-08 12:43:57.000,1257.0,11271094.0,11274281.0,https://anaconda.org/conda-forge/pipenv,2023-09-08 15:05:25.309,127490.0,1.0,,,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-09-21 13:33:20.000,2023-09-20 10:50:48,11517.0,226.0,2663.0,234.0,6579.0,2444.0,7229.0,16312.0,2023-08-16 16:53:18.000,1.5.1,108.0,671.0,46,True,,mypy,conda-forge/mypy,,214628.0,205489.0,https://pypi.org/project/mypy,2023-08-16 16:53:18.000,9139.0,18639016.0,18726641.0,https://anaconda.org/conda-forge/mypy,2023-08-16 20:06:43.683,3417376.0,1.0,,,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-09-21 10:21:55.000,2023-09-21 10:21:54,14051.0,167.0,2976.0,310.0,5288.0,1043.0,6003.0,8940.0,2023-07-22 09:17:31.000,23.2.1,134.0,746.0,46,True,,pip,conda-forge/pip,,163435.0,152338.0,https://pypi.org/project/pip,2023-07-22 09:17:31.000,11097.0,170361300.0,172615241.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,90157677.0,1.0,,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-09-19 19:28:30.000,2023-09-12 16:37:58,14141.0,206.0,971.0,90.0,1437.0,547.0,1800.0,2137.0,2023-09-12 17:22:21.000,68.2.2,199.0,582.0,46,True,,setuptools,conda-forge/setuptools,,391792.0,391792.0,https://pypi.org/project/setuptools,,,342855873.0,345155114.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,91969670.0,1.0,,,,,,,,,,,,,,,,,,,
