,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-21 16:50:06.000,2023-09-14 16:33:14,267.0,22.0,148.0,51.0,160.0,1.0,2.0,2016.0,2023-09-14 16:33:20.000,2023.09.14,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-09-28 12:11:08.000,2023-09-28 12:11:08,208.0,27.0,24.0,11.0,122.0,3.0,10.0,443.0,2023-06-29 18:48:34.000,2023.06.29,68.0,16.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-09-27 19:21:57.000,2023-09-26 09:31:39,15348.0,231.0,2394.0,192.0,5268.0,832.0,4639.0,10627.0,2023-09-07 18:56:03.000,7.4.2,164.0,913.0,48,True,,pytest,conda-forge/pytest,['pytest'],1049204.0,1032130.0,https://pypi.org/project/pytest,2023-09-07 18:45:52.000,17074.0,80617116.0,81266077.0,https://anaconda.org/conda-forge/pytest,2023-09-07 23:17:51.935,22713667.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-09-28 14:08:12.000,2023-09-28 14:03:24,1661.0,82.0,2137.0,238.0,1495.0,372.0,2021.0,33714.0,2023-09-11 00:38:59.000,23.9.1,49.0,399.0,46,True,,black,conda-forge/black,,430862.0,418399.0,https://pypi.org/project/black,2023-09-11 00:38:59.000,12463.0,28224247.0,28444090.0,https://anaconda.org/conda-forge/black,2023-09-11 17:19:01.299,8319471.0,1.0,49187.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-09-28 07:40:37.000,2023-09-25 00:33:31,8580.0,214.0,1784.0,362.0,1808.0,177.0,3884.0,24151.0,2023-09-08 12:42:44.000,2023.9.8,92.0,482.0,46,True,,pipenv,conda-forge/pipenv,,110801.0,110801.0,https://pypi.org/project/pipenv,,,11395426.0,11398638.0,https://anaconda.org/conda-forge/pipenv,2023-09-08 15:05:25.309,128495.0,1.0,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-09-27 23:27:13.000,2023-09-27 23:27:13,11522.0,210.0,2663.0,234.0,6584.0,2444.0,7253.0,16509.0,2023-08-16 16:53:18.000,1.5.1,108.0,671.0,46,True,,mypy,conda-forge/mypy,,215509.0,206353.0,https://pypi.org/project/mypy,2023-08-16 16:53:18.000,9156.0,19029859.0,19118066.0,https://anaconda.org/conda-forge/mypy,2023-09-23 04:32:23.867,3440109.0,1.0,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-09-28 13:22:47.000,2023-09-25 15:11:42,14143.0,197.0,971.0,90.0,1442.0,552.0,1801.0,2148.0,2023-09-12 17:22:21.000,68.2.2,199.0,582.0,46,True,,setuptools,conda-forge/setuptools,,395153.0,395153.0,https://pypi.org/project/setuptools,,,346433333.0,348751950.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,92744682.0,1.0,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-09-26 12:39:41.000,2023-09-17 15:50:57,3844.0,58.0,1634.0,546.0,1024.0,185.0,1037.0,44892.0,2023-09-17 15:51:58.000,13.5.3,188.0,227.0,44,True,,rich,conda-forge/rich,,130626.0,125546.0,https://pypi.org/project/rich,2023-09-17 15:51:16.000,5080.0,31675798.0,31809550.0,https://anaconda.org/conda-forge/rich,2023-09-17 18:20:20.272,5082590.0,1.0,,,,,,,,,,,,,,,,,
