,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-28 17:01:42.000,2023-09-28 17:01:41,269.0,22.0,150.0,51.0,161.0,1.0,2.0,2021.0,2023-09-28 17:01:59.000,2023.09.28,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-09-30 11:51:07.000,2023-09-30 11:51:06,211.0,29.0,25.0,11.0,125.0,4.0,11.0,454.0,2023-06-29 18:48:34.000,2023.06.29,68.0,17.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-10-03 11:47:20.000,2023-10-03 11:47:19,15351.0,187.0,2394.0,192.0,5271.0,832.0,4643.0,10655.0,2023-09-07 18:56:03.000,7.4.2,164.0,913.0,47,True,,pytest,conda-forge/pytest,['pytest'],1054990.0,1037916.0,https://pypi.org/project/pytest,2023-09-07 18:45:52.000,17074.0,85552925.0,86187540.0,https://anaconda.org/conda-forge/pytest,2023-09-07 23:17:51.935,22846152.0,1.0,-1.0,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-10-05 07:29:26.000,2023-10-05 07:29:25,14155.0,209.0,2976.0,311.0,5306.0,1043.0,6018.0,8963.0,2023-07-22 09:17:31.000,23.2.1,134.0,750.0,47,True,,pip,conda-forge/pip,,165082.0,153967.0,https://pypi.org/project/pip,2023-07-22 09:17:31.000,11115.0,168177082.0,170412839.0,https://anaconda.org/conda-forge/pip,2023-07-22 11:20:31.783,91666062.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-10-05 08:32:39.000,2023-10-04 23:42:35,1668.0,86.0,2137.0,228.0,1508.0,372.0,2027.0,33790.0,2023-09-11 00:38:59.000,23.9.1,49.0,401.0,46,True,,black,conda-forge/black,,433012.0,420549.0,https://pypi.org/project/black,2023-09-11 00:38:59.000,12463.0,28885867.0,29102484.0,https://anaconda.org/conda-forge/black,2023-09-11 17:19:01.299,8413044.0,1.0,,49412.0,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-10-05 03:55:52.000,2023-10-03 13:24:09,8596.0,196.0,1890.0,361.0,1814.0,190.0,3891.0,24167.0,2023-10-03 13:23:00.000,2023.10.3,379.0,484.0,46,True,,pipenv,conda-forge/pipenv,,113411.0,112154.0,https://pypi.org/project/pipenv,2023-10-03 13:24:03.000,1257.0,11482619.0,11485776.0,https://anaconda.org/conda-forge/pipenv,2023-10-03 17:41:12.347,129465.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-10-03 15:21:33.000,2023-09-29 10:09:30,14146.0,191.0,1044.0,90.0,1445.0,570.0,1803.0,2150.0,2023-09-12 17:22:21.000,68.2.2,552.0,582.0,46,True,,setuptools,conda-forge/setuptools,,437201.0,398588.0,https://pypi.org/project/setuptools,2023-09-12 17:22:04.000,38613.0,352277636.0,354558784.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,93527088.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-10-04 22:54:54.000,2023-10-04 17:58:28,11535.0,184.0,2663.0,235.0,6598.0,2444.0,7263.0,16541.0,2023-08-16 16:53:18.000,1.5.1,108.0,672.0,45,True,,mypy,conda-forge/mypy,,216393.0,207187.0,https://pypi.org/project/mypy,2023-08-16 16:53:18.000,9206.0,19459258.0,19545825.0,https://anaconda.org/conda-forge/mypy,2023-09-23 04:32:23.867,3462711.0,1.0,,,,,,,,,,,,,,,,,,,
