,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-19 17:34:28.000,2023-10-19 17:34:27,275.0,22.0,151.0,52.0,164.0,1.0,2.0,2042.0,2023-10-19 17:34:34.000,2023.10.19,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-10-19 21:22:27.000,2023-10-19 21:22:26,217.0,30.0,30.0,11.0,131.0,4.0,11.0,502.0,2023-06-29 18:48:34.000,2023.06.29,68.0,18.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-10-25 16:28:23.000,2023-10-25 16:19:47,15374.0,154.0,2394.0,192.0,5305.0,832.0,4662.0,10714.0,2023-10-24 19:37:45.000,7.4.3,165.0,916.0,47,True,,pytest,conda-forge/pytest,['pytest'],1075766.0,1056830.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,18936.0,93905968.0,94551836.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23251277.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-10-25 13:31:30.000,2023-10-21 11:05:39,14192.0,171.0,3042.0,314.0,5328.0,1072.0,6041.0,8991.0,2023-10-21 11:10:25.000,23.3.1,136.0,753.0,47,True,,pip,conda-forge/pip,,167734.0,156603.0,https://pypi.org/project/pip,2023-10-21 11:10:25.000,11131.0,190668358.0,192967575.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,94267919.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-10-26 10:24:09.000,2023-10-25 16:47:21,1699.0,87.0,2137.0,230.0,1542.0,372.0,2044.0,34229.0,2023-10-23 19:24:27.000,23.10.1,51.0,411.0,46,True,,black,conda-forge/black,,440896.0,427843.0,https://pypi.org/project/black,2023-10-23 19:24:27.000,13053.0,30007696.0,30230302.0,https://anaconda.org/conda-forge/black,2023-10-18 18:05:13.915,8645948.0,1.0,50396.0,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-10-25 01:45:44.451,2023-10-24 22:27:05,8668.0,213.0,1890.0,362.0,1829.0,190.0,3898.0,24220.0,2023-10-24 22:26:58.000,2023.10.24,381.0,489.0,46,True,,pipenv,conda-forge/pipenv,,117873.0,116616.0,https://pypi.org/project/pipenv,2023-10-24 22:26:58.000,1257.0,11354327.0,11357558.0,https://anaconda.org/conda-forge/pipenv,2023-10-25 01:45:44.451,132503.0,1.0,,,,,,,,,,,,,,,,,,,
8,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-10-26 12:56:37.000,2023-10-16 11:18:01,14175.0,210.0,978.0,92.0,1451.0,558.0,1808.0,2167.0,2023-09-12 17:22:21.000,68.2.2,199.0,583.0,46,True,,setuptools,conda-forge/setuptools,,409928.0,409928.0,https://pypi.org/project/setuptools,,,331862165.0,334197473.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,95747655.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-10-26 14:04:36.000,2023-10-25 14:03:26,11568.0,177.0,2703.0,236.0,6638.0,2466.0,7308.0,16657.0,2023-10-18 05:24:50.000,1.6.1,110.0,674.0,45,True,,mypy,conda-forge/mypy,,219463.0,210057.0,https://pypi.org/project/mypy,2023-10-18 05:24:50.000,9406.0,20424076.0,20512485.0,https://anaconda.org/conda-forge/mypy,2023-10-18 13:50:24.302,3536380.0,1.0,,,,,,,,,,,,,,,,,,,
