,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-26 16:36:29.000,2023-10-26 16:36:28,277.0,22.0,152.0,52.0,165.0,1.0,2.0,2043.0,2023-10-26 16:36:35.000,2023.10.26,100.0,12.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-10-26 19:04:12.000,2023-10-26 19:04:11,218.0,26.0,30.0,11.0,132.0,4.0,11.0,517.0,2023-06-29 18:48:34.000,2023.06.29,68.0,18.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-11-01 15:03:34.000,2023-10-30 07:01:54,15383.0,159.0,2358.0,192.0,5319.0,803.0,4666.0,10743.0,2023-10-24 19:37:45.000,7.4.3,111.0,917.0,47,True,,pytest,conda-forge/pytest,['pytest'],1063913.0,1063913.0,https://pypi.org/project/pytest,96030877.0,96662852.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23383099.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-10-27 12:59:57.000,2023-10-27 12:59:56,14194.0,165.0,3042.0,314.0,5328.0,1072.0,6045.0,8995.0,2023-10-21 11:10:25.000,23.3.1,136.0,755.0,47,True,,pip,conda-forge/pip,,168643.0,157490.0,https://pypi.org/project/pip,204709421.0,206975175.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,95161693.0,1.0,2023-10-21 11:10:25.000,11153.0,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-11-02 06:05:38.000,2023-11-01 13:20:14,1715.0,99.0,2137.0,235.0,1566.0,372.0,2060.0,35291.0,2023-10-23 19:24:27.000,23.10.1,51.0,419.0,46,True,,black,conda-forge/black,,443366.0,430313.0,https://pypi.org/project/black,30690119.0,30909290.0,https://anaconda.org/conda-forge/black,2023-10-26 18:11:19.703,8730650.0,1.0,2023-10-23 19:24:27.000,13053.0,50720.0,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-10-31 22:07:04.000,2023-10-24 22:27:05,8668.0,205.0,1790.0,362.0,1829.0,189.0,3899.0,24232.0,2023-10-24 22:25:45.000,2023.10.24,95.0,489.0,46,True,,pipenv,conda-forge/pipenv,,118413.0,118413.0,https://pypi.org/project/pipenv,11426317.0,11429495.0,https://anaconda.org/conda-forge/pipenv,2023-10-25 01:45:44.451,133494.0,1.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-11-02 10:32:50.000,2023-11-01 15:33:45,11595.0,192.0,2703.0,234.0,6668.0,2466.0,7340.0,16696.0,2023-10-18 05:24:50.000,1.6.1,110.0,676.0,46,True,,mypy,conda-forge/mypy,,220524.0,211056.0,https://pypi.org/project/mypy,20730143.0,20816914.0,https://anaconda.org/conda-forge/mypy,2023-10-18 13:50:24.302,3557646.0,1.0,2023-10-18 05:24:50.000,9468.0,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2023-10-30 17:32:49.000,2023-10-05 14:03:32,20447.0,226.0,1977.0,149.0,5047.0,1207.0,5507.0,5744.0,2023-09-13 23:13:23.000,7.2.6,198.0,790.0,46,True,,sphinx,conda-forge/sphinx,['sphinx'],401198.0,338027.0,https://pypi.org/project/sphinx,11704524.0,11906136.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8467707.0,1.0,2023-09-13 23:13:23.000,63171.0,,,,,,,,,,,,,,,,,
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-11-01 19:41:40.000,2023-10-16 11:18:01,14175.0,193.0,1044.0,93.0,1455.0,570.0,1810.0,2169.0,2023-09-12 17:22:21.000,68.2.2,552.0,583.0,46,True,,setuptools,conda-forge/setuptools,,453008.0,414085.0,https://pypi.org/project/setuptools,323971794.0,326268581.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,96465073.0,1.0,2023-09-12 17:22:04.000,38923.0,,,,,,,,,,,,,,,,,
11,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2023-11-02 12:02:11.000,2023-11-01 17:04:37,3853.0,20.0,1659.0,549.0,1037.0,190.0,1043.0,45272.0,2023-09-30 14:13:00.000,13.6.0,189.0,229.0,43,True,,rich,conda-forge/rich,,140422.0,135230.0,https://pypi.org/project/rich,34507960.0,34646391.0,https://anaconda.org/conda-forge/rich,2023-09-30 19:12:41.298,5537240.0,1.0,2023-09-30 14:10:36.000,5192.0,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-10-31 16:45:10.000,2023-08-10 10:52:15,1964.0,22.0,1319.0,210.0,532.0,464.0,577.0,26146.0,2023-08-10 11:59:02.000,4.66.1,135.0,112.0,43,True,,tqdm,conda-forge/tqdm,,603388.0,575366.0,https://pypi.org/project/tqdm,77241928.0,77823070.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,23819536.0,1.0,2023-08-10 11:38:57.000,28022.0,11376.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4123.0,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2023-11-02 13:53:35.000,2023-11-02 13:53:33,5533.0,1074.0,619.0,68.0,5080.0,563.0,2641.0,19524.0,2023-10-26 19:31:27.000,0.1.3,100.0,297.0,43,True,astral-sh/ruff,ruff,conda-forge/ruff,,21176.0,21176.0,https://pypi.org/project/ruff,6680764.0,6721600.0,https://anaconda.org/conda-forge/ruff,2023-10-27 04:37:37.514,401407.0,1.0,,,81251.0,,,,,,,,,,,,,,,,
14,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2023-11-02 10:52:33.000,2023-11-02 10:52:33,5811.0,383.0,3026.0,122.0,2618.0,28.0,2050.0,16011.0,2023-10-27 17:18:23.000,9.4.7,181.0,235.0,43,True,,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],38770.0,38770.0,https://pypi.org/project/mkdocs-material,3319616.0,3327405.0,https://anaconda.org/conda-forge/mkdocs-material,2023-10-28 06:00:20.254,327158.0,1.0,,,,,,,,,,,,,,,,,,,
15,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-01 05:08:45.000,2023-10-26 22:00:32,5982.0,22.0,1310.0,236.0,657.0,249.0,1408.0,9629.0,,,37.0,198.0,43,True,,psutil,conda-forge/psutil,,385777.0,385777.0,https://pypi.org/project/psutil,85014361.0,85688000.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,26945583.0,1.0,,,,,,,,,,,,,,,,,,,
16,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2023-11-02 11:42:13.000,2023-11-01 03:18:46,16572.0,128.0,1414.0,195.0,3916.0,722.0,8625.0,5780.0,2023-10-30 16:37:48.000,23.10.0,100.0,443.0,43,True,,conda,conda-forge/conda,,44888.0,43792.0,https://pypi.org/project/conda,85681.0,1222788.0,https://anaconda.org/conda-forge/conda,2023-10-28 00:12:53.442,47758507.0,1.0,2017-04-22 23:43:59.218,1096.0,,,,,,,,,,,,,,,,,
17,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2023-10-31 17:08:59.000,2023-10-30 21:35:29,8981.0,195.0,1008.0,76.0,4005.0,807.0,4393.0,4908.0,2023-10-22 13:54:42.000,3.0.2,82.0,547.0,43,True,pylint-dev/pylint,pylint,conda-forge/pylint,,389868.0,389868.0,https://pypi.org/project/pylint,20062369.0,20175557.0,https://anaconda.org/conda-forge/pylint,2023-10-22 20:06:43.450,4640714.0,1.0,,,,,,,,,,,,,,,,,,,
18,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2023-10-29 11:15:46.000,2023-10-28 18:50:43,2611.0,44.0,755.0,86.0,1137.0,23.0,1860.0,11131.0,2023-10-13 16:06:55.000,3.5.0,187.0,154.0,42,True,,pre-commit,conda-forge/pre-commit,,162204.0,156094.0,https://pypi.org/project/pre-commit,15029882.0,15150335.0,https://anaconda.org/conda-forge/pre-commit,2023-10-13 18:39:42.607,3870775.0,1.0,2023-10-13 15:57:46.000,6110.0,729703.0,,,,,,,,,,,,,,,,
19,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2023-11-02 13:21:58.000,2023-11-02 13:21:57,9032.0,135.0,1936.0,232.0,2278.0,268.0,4799.0,10726.0,2023-10-13 21:22:54.000,6.1.0,58.0,461.0,42,True,,pyinstaller,conda-forge/pyinstaller,,50319.0,49947.0,https://pypi.org/project/pyinstaller,1800956.0,1821799.0,https://anaconda.org/conda-forge/pyinstaller,2023-10-27 11:11:40.972,501831.0,1.0,2023-10-13 21:20:38.000,372.0,742275.0,,,,,,,,,,,,,,,,
20,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2023-11-02 09:28:26.000,2023-11-02 05:29:58,14299.0,167.0,2137.0,480.0,682.0,272.0,3963.0,8454.0,2023-07-28 19:29:00.000,6.1.1,72.0,188.0,42,True,,robotframework,conda-forge/robotframework,,8984.0,8984.0,https://pypi.org/project/robotframework,1697030.0,1702069.0,https://anaconda.org/conda-forge/robotframework,2023-10-10 22:35:13.903,161094.0,1.0,,,553.0,,,,,,,,,,,,,,,,
21,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2023-11-01 20:06:10.000,2023-11-01 05:44:03,2993.0,70.0,2042.0,195.0,2539.0,630.0,4740.0,27216.0,2023-08-21 17:53:20.000,1.6.1,164.0,493.0,41,True,,poetry,conda-forge/poetry,,289.0,,https://pypi.org/project/poetry,25101920.0,25362963.0,https://anaconda.org/conda-forge/poetry,2023-08-21 20:30:34.699,1048017.0,2.0,2023-08-21 17:53:20.000,289.0,15306373.0,,,,,,,,,,,,,,,,
22,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-11-01 23:02:33.000,2023-11-01 16:20:14,1989.0,42.0,2245.0,228.0,1207.0,110.0,1771.0,17294.0,2023-09-18 21:27:59.000,1.5.3,29.0,245.0,41,True,,mkdocs,conda-forge/mkdocs,['mkdocs'],51457.0,51457.0,https://pypi.org/project/mkdocs,2465260.0,2475694.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,302602.0,1.0,,,,,,,,,,,,,,,,,,,
