,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-10 20:22:49.000,2023-11-10 20:22:49,282.0,23.0,154.0,52.0,169.0,1.0,2.0,2056.0,2023-11-09 18:04:11.000,2023.11.09,100.0,13.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-11-12 21:51:11.000,2023-11-12 21:51:11,229.0,35.0,30.0,11.0,143.0,4.0,11.0,536.0,2023-06-29 18:48:34.000,2023.06.29,68.0,19.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-11-14 15:45:06.000,2023-11-14 14:41:35,15401.0,153.0,2442.0,190.0,5338.0,859.0,4677.0,10772.0,2023-10-24 19:37:45.000,7.4.3,165.0,919.0,47,True,,pytest,conda-forge/pytest,['pytest'],1100115.0,1080176.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,19939.0,95525009.0,96162147.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23574124.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-11-14 15:25:32.000,2023-11-08 06:10:35,1729.0,108.0,2136.0,230.0,1583.0,346.0,2075.0,35436.0,2023-11-08 05:40:50.000,23.11.0,33.0,421.0,46,True,,black,conda-forge/black,,435944.0,435944.0,https://pypi.org/project/black,,,31611701.0,31834018.0,https://anaconda.org/conda-forge/black,2023-10-26 18:11:19.703,8856042.0,1.0,51335.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-11-16 13:48:37.531,2023-11-15 23:33:07,8684.0,212.0,1928.0,360.0,1836.0,198.0,3904.0,24268.0,2023-11-15 23:32:56.000,2023.11.15,383.0,490.0,46,True,,pipenv,conda-forge/pipenv,,123223.0,121966.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1257.0,11538279.0,11541505.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,135495.0,1.0,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-09 22:34:22.000,2023-11-09 22:34:11,5983.0,21.0,1384.0,235.0,657.0,279.0,1410.0,9644.0,2023-10-15 09:08:50.000,5.9.6,91.0,198.0,45,True,,psutil,conda-forge/psutil,,411029.0,393422.0,https://pypi.org/project/psutil,2023-10-15 09:08:50.000,17607.0,93572323.0,94253599.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,27251041.0,1.0,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-11-14 15:27:48.000,2023-11-07 09:39:01,14197.0,141.0,2809.0,314.0,5337.0,952.0,6050.0,9010.0,,,67.0,755.0,45,True,,pip,conda-forge/pip,,159726.0,159726.0,https://pypi.org/project/pip,,,224054441.0,226352419.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,96515110.0,1.0,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2023-11-16 13:41:59.000,2023-10-16 11:18:01,14175.0,106.0,983.0,92.0,1459.0,559.0,1812.0,2176.0,2023-09-12 17:22:21.000,68.2.2,199.0,583.0,45,True,,setuptools,conda-forge/setuptools,,423574.0,423574.0,https://pypi.org/project/setuptools,,,318147764.0,320470641.0,https://anaconda.org/conda-forge/setuptools,2023-09-12 19:55:09.802,97560852.0,1.0,,,,,,,,,,,,,,,,,
