,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-11-23 18:07:37.000,2023-11-23 18:07:36,286.0,23.0,152.0,51.0,171.0,1.0,2.0,2068.0,2023-11-23 18:07:42.000,2023.11.23,100.0,13.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-11-23 18:42:24.000,2023-11-23 18:42:23,232.0,33.0,31.0,11.0,146.0,5.0,11.0,551.0,2023-06-29 18:48:34.000,2023.06.29,68.0,19.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2023-11-30 13:25:08.000,2023-11-28 18:14:20,15433.0,152.0,2449.0,191.0,5355.0,856.0,4690.0,10819.0,2023-10-24 19:37:45.000,7.4.3,165.0,924.0,47,True,,pytest,conda-forge/pytest,['pytest'],1113386.0,1093096.0,https://pypi.org/project/pytest,2023-10-24 19:23:14.000,20290.0,91705159.0,92344756.0,https://anaconda.org/conda-forge/pytest,2023-10-25 11:38:48.696,23665119.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2023-11-28 13:29:10.000,2023-11-28 07:08:29,14202.0,131.0,3042.0,314.0,5341.0,1072.0,6054.0,9031.0,2023-10-21 11:10:25.000,23.3.1,136.0,756.0,47,True,,pip,conda-forge/pip,,172883.0,161686.0,https://pypi.org/project/pip,2023-10-21 11:10:25.000,11197.0,202529906.0,204844582.0,https://anaconda.org/conda-forge/pip,2023-10-21 14:02:44.666,97216393.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2023-11-30 09:26:46.278,2023-11-24 18:05:59,1746.0,119.0,2143.0,230.0,1602.0,372.0,2088.0,35552.0,2023-11-08 05:41:28.000,23.11.0,52.0,423.0,46,True,,black,conda-forge/black,,453948.0,440684.0,https://pypi.org/project/black,2023-11-08 05:41:28.000,13264.0,30355067.0,30578804.0,https://anaconda.org/conda-forge/black,2023-11-30 09:26:46.278,8912434.0,1.0,51952.0,,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2023-11-22 17:19:32.000,2023-11-15 23:33:07,8684.0,139.0,1928.0,359.0,1840.0,198.0,3906.0,24282.0,2023-11-15 23:32:56.000,2023.11.15,383.0,490.0,45,True,,pipenv,conda-forge/pipenv,,125574.0,124317.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1257.0,11273255.0,11276505.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,136501.0,1.0,,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2023-11-29 21:19:18.000,2023-11-29 05:14:38,11645.0,181.0,2732.0,234.0,6733.0,2520.0,7421.0,16822.0,2023-11-23 17:58:45.000,1.7.1,112.0,679.0,45,True,,mypy,conda-forge/mypy,,225292.0,215604.0,https://pypi.org/project/mypy,2023-11-23 17:58:45.000,9688.0,19996745.0,20084807.0,https://anaconda.org/conda-forge/mypy,2023-11-23 21:26:49.740,3610563.0,1.0,,-1.0,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2023-11-29 08:06:41.000,2023-11-29 08:06:41,5984.0,22.0,1402.0,235.0,658.0,287.0,1410.0,9668.0,2023-10-15 09:08:50.000,5.9.6,91.0,199.0,45,True,,psutil,conda-forge/psutil,,417697.0,399997.0,https://pypi.org/project/psutil,2023-10-15 09:08:50.000,17700.0,88966066.0,89651627.0,https://anaconda.org/conda-forge/psutil,2023-09-22 07:35:14.305,27422479.0,1.0,,,,,,,,,,,,,,,,,,,
