,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-28 17:09:02.000,2023-12-28 17:09:01,295.0,24.0,156.0,51.0,176.0,3.0,2094.0,2023-12-28 17:09:09.000,2023.12.28,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2023-12-28 18:22:04.000,2023-12-21 18:41:23,242.0,29.0,35.0,12.0,161.0,13.0,617.0,2023-06-29 18:48:34.000,2023.06.29,68.0,22.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-01-04 12:27:50.000,2024-01-04 12:27:49,15514.0,163.0,2469.0,192.0,5420.0,4725.0,10964.0,2023-12-31 12:09:47.000,7.4.4,167.0,930.0,47,True,,882.0,pytest,conda-forge/pytest,['pytest'],1140335.0,1118803.0,https://pypi.org/project/pytest,2024-01-02 08:46:20.000,21532.0,78130680.0,78742512.0,https://anaconda.org/conda-forge/pytest,2023-12-31 15:09:15.693,23861456.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-01-04 11:42:25.000,2024-01-02 04:14:57,1777.0,104.0,2357.0,226.0,1634.0,2117.0,35751.0,2023-12-22 23:06:14.000,23.12.1,55.0,429.0,46,True,,386.0,black,conda-forge/black,,465304.0,451470.0,https://pypi.org/project/black,2023-12-22 23:06:14.000,13834.0,25935141.0,26151540.0,https://anaconda.org/conda-forge/black,2023-12-23 07:58:09.823,9050430.0,1.0,52964.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-01-04 14:07:00.000,2023-12-15 23:43:03,8699.0,99.0,1928.0,358.0,1848.0,3919.0,24355.0,2023-11-15 23:32:56.000,2023.11.15,383.0,494.0,45,True,,200.0,pipenv,conda-forge/pipenv,,127610.0,126349.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1261.0,10044118.0,10047273.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,138824.0,1.0,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-01-04 09:31:44.000,2024-01-04 07:40:24,11680.0,145.0,2756.0,236.0,6779.0,7468.0,16977.0,2023-12-21 16:28:31.000,1.8.0,113.0,687.0,45,True,,2595.0,mypy,conda-forge/mypy,,230182.0,220165.0,https://pypi.org/project/mypy,2023-12-21 16:28:31.000,10017.0,17085673.0,17170536.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3649132.0,1.0,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-01-03 23:31:09.000,2023-12-20 15:59:07,14226.0,68.0,2828.0,317.0,5357.0,6077.0,9081.0,,,68.0,758.0,45,True,,961.0,pip,conda-forge/pip,,166511.0,166511.0,https://pypi.org/project/pip,,,194517559.0,196766149.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,98937962.0,1.0,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-01-04 10:57:48.000,2023-12-26 15:01:38,14320.0,159.0,1044.0,93.0,1482.0,1826.0,2213.0,2023-12-23 15:09:27.000,69.0.3,556.0,586.0,45,True,,573.0,setuptools,conda-forge/setuptools,,484942.0,445427.0,https://pypi.org/project/setuptools,2023-12-23 15:09:09.000,39515.0,301747558.0,304007185.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,99423599.0,1.0,,,,,,,,,,,,,,,,,
10,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-01-01 14:00:16.000,2023-11-15 16:31:56,3870.0,21.0,1675.0,542.0,1059.0,1059.0,45963.0,2023-11-15 16:33:44.000,13.7.0,190.0,235.0,43,True,,197.0,rich,conda-forge/rich,,160416.0,154690.0,https://pypi.org/project/rich,2023-11-15 16:32:11.000,5726.0,34165358.0,34305758.0,https://anaconda.org/conda-forge/rich,2023-11-16 18:47:06.251,5896832.0,1.0,,,,,,,,,,,,,,,,,
11,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-01-04 13:51:33.000,2024-01-04 10:35:57,6012.0,42.0,1317.0,236.0,665.0,1415.0,9719.0,,,38.0,201.0,43,True,,256.0,psutil,conda-forge/psutil,,416779.0,416779.0,https://pypi.org/project/psutil,,,75640441.0,76302074.0,https://anaconda.org/conda-forge/psutil,2023-12-17 17:25:17.736,27788613.0,1.0,,,,,,,,,,,,,,,,,
12,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2023-12-28 20:38:16.000,2023-08-10 10:52:15,1964.0,,1276.0,206.0,540.0,577.0,26754.0,2023-08-10 11:59:02.000,4.66.1,108.0,112.0,42,True,,377.0,tqdm,conda-forge/tqdm,,620998.0,620998.0,https://pypi.org/project/tqdm,,,77066799.0,77633300.0,https://anaconda.org/conda-forge/tqdm,2023-08-10 12:44:00.709,24351881.0,1.0,11717.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2023-08-26 01:32:37.879259,2.0,4131.0,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-01-04 14:02:24.000,2024-01-04 14:02:23,6014.0,777.0,699.0,69.0,5600.0,2985.0,21840.0,2024-01-02 23:05:09.000,0.1.11,100.0,336.0,42,True,astral-sh/ruff,612.0,ruff,conda-forge/ruff,,27852.0,27852.0,https://pypi.org/project/ruff,,,7382785.0,7425966.0,https://anaconda.org/conda-forge/ruff,2024-01-03 18:24:00.054,462817.0,1.0,131601.0,,,,,,,,,,,,,,,,
14,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2023-12-30 15:26:15.000,2023-12-23 12:59:57,2032.0,69.0,2268.0,231.0,1239.0,1791.0,17670.0,2023-09-18 21:27:59.000,1.5.3,29.0,246.0,42,True,,112.0,mkdocs,conda-forge/mkdocs,['mkdocs'],54506.0,54506.0,https://pypi.org/project/mkdocs,,,2222402.0,2232456.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,311704.0,1.0,,,,,,,,,,,,,,,,,
15,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-01-03 20:51:29.000,2023-12-29 12:45:06,5970.0,206.0,3086.0,122.0,2718.0,2133.0,16830.0,2023-12-23 20:33:13.000,9.5.3,191.0,245.0,42,True,,33.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],41418.0,41418.0,https://pypi.org/project/mkdocs-material,,,3012443.0,3020227.0,https://anaconda.org/conda-forge/mkdocs-material,2023-12-24 02:12:37.374,342503.0,1.0,,,,,,,,,,,,,,,,,
16,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-01-02 11:18:48.000,2024-01-01 23:52:11,9095.0,92.0,1965.0,232.0,2310.0,4869.0,10933.0,2023-12-10 23:44:46.000,6.3.0,60.0,461.0,42,True,,279.0,pyinstaller,conda-forge/pyinstaller,,53028.0,52631.0,https://pypi.org/project/pyinstaller,2023-12-10 23:42:31.000,397.0,1650891.0,1671190.0,https://anaconda.org/conda-forge/pyinstaller,2023-12-11 12:02:08.120,515013.0,1.0,743264.0,,,,,,,,,,,,,,,,
17,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-01-03 11:33:57.000,2024-01-03 11:33:48,14503.0,275.0,2159.0,476.0,697.0,4079.0,8617.0,2023-07-28 19:29:00.000,6.1.1,76.0,192.0,42,True,,219.0,robotframework,conda-forge/robotframework,,9611.0,9611.0,https://pypi.org/project/robotframework,,,1743202.0,1748131.0,https://anaconda.org/conda-forge/robotframework,2023-10-10 22:35:13.903,167460.0,1.0,554.0,,,,,,,,,,,,,,,,
18,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-01-04 09:11:29.000,2023-12-13 20:34:58,4158.0,45.0,598.0,48.0,967.0,1074.0,6181.0,2023-12-13 20:37:31.000,5.13.2,146.0,294.0,42,True,,188.0,isort,conda-forge/isort,,456858.0,438363.0,https://pypi.org/project/isort,2023-12-13 20:37:23.000,18495.0,27448372.0,27580851.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5564137.0,2.0,,,,,,,,,,,,,,,,,
19,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-01-04 09:57:41.000,2024-01-04 04:27:03,20534.0,87.0,1898.0,148.0,5115.0,5539.0,5842.0,2023-09-13 23:13:00.000,7.2.6,108.0,794.0,42,False,,1157.0,sphinx,conda-forge/sphinx,['sphinx'],350565.0,350565.0,https://pypi.org/project/sphinx,,,11804123.0,12000071.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8621748.0,1.0,,,,,,,,,,,,,,,,,
20,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-01-04 00:35:54.000,2024-01-01 21:10:24,9044.0,87.0,1057.0,77.0,4059.0,4427.0,4980.0,2023-12-11 13:20:16.000,3.0.3,183.0,553.0,42,True,pylint-dev/pylint,851.0,pylint,conda-forge/pylint,,422958.0,399776.0,https://pypi.org/project/pylint,2023-12-11 13:20:16.000,23182.0,15739225.0,15849228.0,https://anaconda.org/conda-forge/pylint,2023-12-11 15:36:48.979,4730151.0,1.0,,,,,,,,,,,,,,,,,
21,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2023-12-25 18:33:07.000,2023-12-18 22:30:12,756.0,22.0,1086.0,170.0,1336.0,1287.0,4611.0,2023-12-01 16:24:36.000,20.25.0,214.0,267.0,42,True,,21.0,virtualenv,conda-forge/virtualenv,,367349.0,349306.0,https://pypi.org/project/virtualenv,2023-12-01 16:24:36.000,18043.0,93259571.0,93409638.0,https://anaconda.org/conda-forge/virtualenv,2023-12-01 19:29:52.700,5852640.0,2.0,,,,,,,,,,,,,,,,,
