,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-04 16:59:33.000,2024-01-04 16:59:32,297.0,24.0,157.0,51.0,177.0,3.0,2098.0,2024-01-04 16:59:39.000,2024.01.04,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-01-05 23:20:37.000,2024-01-05 23:20:36,247.0,32.0,35.0,12.0,163.0,13.0,630.0,2023-06-29 18:48:34.000,2023.06.29,68.0,23.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-01-11 11:13:30.000,2024-01-11 11:13:30,15539.0,180.0,2472.0,192.0,5434.0,4742.0,10981.0,2023-12-31 12:09:47.000,7.4.4,167.0,932.0,47,True,,865.0,pytest,conda-forge/pytest,['pytest'],1145722.0,1123855.0,https://pypi.org/project/pytest,2024-01-02 08:46:20.000,21867.0,77215679.0,77828730.0,https://anaconda.org/conda-forge/pytest,2023-12-31 15:09:15.693,23909015.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-01-11 13:13:09.000,2024-01-09 17:10:21,14229.0,58.0,3078.0,317.0,5360.0,6078.0,9097.0,2023-12-17 13:05:02.000,23.3.2,137.0,758.0,47,True,,1102.0,pip,conda-forge/pip,,178612.0,167370.0,https://pypi.org/project/pip,2023-12-17 13:05:02.000,11242.0,213044254.0,215300936.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,99294049.0,1.0,,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-01-08 17:27:43.000,2024-01-02 04:14:57,1777.0,97.0,2357.0,226.0,1636.0,2122.0,35806.0,2023-12-22 23:06:14.000,23.12.1,55.0,429.0,46,True,,386.0,black,conda-forge/black,,467675.0,453680.0,https://pypi.org/project/black,2023-12-22 23:06:14.000,13995.0,25651667.0,25868784.0,https://anaconda.org/conda-forge/black,2023-12-23 07:58:09.823,9080505.0,1.0,53115.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-01-07 14:06:28.000,2024-01-07 11:19:40,6018.0,47.0,1408.0,236.0,665.0,1416.0,9740.0,2023-12-17 11:25:25.000,5.9.7,92.0,202.0,46,True,,290.0,psutil,conda-forge/psutil,,437948.0,420077.0,https://pypi.org/project/psutil,2023-12-17 11:25:25.000,17871.0,76019670.0,76683293.0,https://anaconda.org/conda-forge/psutil,2023-12-17 17:25:17.736,27872171.0,1.0,,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-01-08 12:08:32.000,2023-12-15 23:43:03,8699.0,81.0,1928.0,358.0,1849.0,3921.0,24365.0,2023-11-15 23:32:56.000,2023.11.15,383.0,494.0,45,True,,200.0,pipenv,conda-forge/pipenv,,128003.0,126742.0,https://pypi.org/project/pipenv,2023-11-15 23:32:56.000,1261.0,9794084.0,9797251.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,139376.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-01-11 13:30:27.000,2024-01-08 09:08:32,11681.0,137.0,2756.0,235.0,6786.0,7471.0,17017.0,2023-12-21 16:28:31.000,1.8.0,113.0,688.0,45,True,,2595.0,mypy,conda-forge/mypy,,231263.0,221184.0,https://pypi.org/project/mypy,2023-12-21 16:28:31.000,10079.0,16970198.0,17055247.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3657130.0,1.0,,,,,,,,,,,,,,,,,,,
