,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-11 18:27:24.000,2024-01-11 18:27:24,299.0,24.0,157.0,51.0,178.0,3.0,2101.0,2024-01-11 18:27:30.000,2024.01.11,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-01-18 11:03:39.000,2024-01-18 11:03:39,249.0,32.0,36.0,12.0,165.0,13.0,641.0,2023-06-29 18:48:34.000,2023.06.29,68.0,24.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-01-18 10:35:35.000,2024-01-18 10:21:49,15572.0,211.0,2474.0,193.0,5464.0,4749.0,10999.0,2023-12-31 12:09:47.000,7.4.4,168.0,936.0,48,True,,864.0,pytest,conda-forge/pytest,['pytest'],1150865.0,1128727.0,https://pypi.org/project/pytest,2024-01-17 21:40:39.000,22138.0,77201066.0,77815302.0,https://anaconda.org/conda-forge/pytest,2023-12-31 15:09:15.693,23955226.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-01-17 19:04:15.000,2024-01-17 19:04:15,1779.0,91.0,2156.0,227.0,1640.0,2126.0,35863.0,2023-12-22 23:05:40.000,23.12.1,36.0,430.0,46,True,,347.0,black,conda-forge/black,,455592.0,455592.0,https://pypi.org/project/black,,,25332937.0,25550789.0,https://anaconda.org/conda-forge/black,2023-12-23 07:58:09.823,9111201.0,1.0,53334.0,,,,,,,,,,,,,,,,
6,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-01-17 10:44:00.000,2024-01-17 10:43:58,8702.0,50.0,1795.0,358.0,1850.0,3921.0,24377.0,2023-11-15 23:32:06.000,2023.11.15,97.0,496.0,45,True,,201.0,pipenv,conda-forge/pipenv,,127158.0,127158.0,https://pypi.org/project/pipenv,,,9889681.0,9892859.0,https://anaconda.org/conda-forge/pipenv,2023-11-16 13:48:37.531,139845.0,1.0,,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-01-15 15:40:56.000,2024-01-14 17:19:12,11690.0,132.0,2756.0,235.0,6791.0,7482.0,17042.0,2023-12-21 16:28:31.000,1.8.0,113.0,690.0,45,True,,2595.0,mypy,conda-forge/mypy,,232186.0,222059.0,https://pypi.org/project/mypy,2023-12-21 16:28:31.000,10127.0,16827891.0,16913150.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3666139.0,1.0,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-01-18 09:22:49.000,2024-01-15 11:45:22,14238.0,47.0,2832.0,318.0,5364.0,6079.0,9105.0,,,68.0,760.0,45,True,,971.0,pip,conda-forge/pip,,168207.0,168207.0,https://pypi.org/project/pip,,,229280626.0,231545582.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,99658086.0,1.0,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-01-14 17:49:34.000,2024-01-14 17:49:31,14371.0,188.0,1044.0,93.0,1488.0,1834.0,2232.0,2023-12-23 15:09:27.000,69.0.3,556.0,588.0,45,True,,572.0,setuptools,conda-forge/setuptools,,490487.0,450897.0,https://pypi.org/project/setuptools,2023-12-23 15:09:09.000,39590.0,294094745.0,296368285.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,100035786.0,1.0,,,,,,,,,,,,,,,,,
10,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-01-13 14:09:49.000,2024-01-13 14:09:26,6021.0,43.0,1319.0,236.0,665.0,1417.0,9751.0,,,38.0,202.0,44,True,,257.0,psutil,conda-forge/psutil,,423326.0,423326.0,https://pypi.org/project/psutil,,,75532114.0,76197719.0,https://anaconda.org/conda-forge/psutil,2023-12-17 17:25:17.736,27955424.0,1.0,,,,,,,,,,,,,,,,,
