,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-01-18 23:23:42.000,2024-01-18 23:23:41,301.0,24.0,158.0,52.0,179.0,3.0,2110.0,2024-01-18 23:23:48.000,2024.01.18,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-01-22 23:27:40.000,2024-01-22 23:27:39,251.0,33.0,37.0,12.0,167.0,13.0,657.0,2023-06-29 18:48:34.000,2023.06.29,68.0,24.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-01-25 08:42:14.000,2024-01-25 08:42:13,15588.0,210.0,2474.0,193.0,5474.0,4751.0,11018.0,2023-12-31 12:09:47.000,7.4.4,168.0,938.0,48,True,,864.0,pytest,conda-forge/pytest,['pytest'],1155622.0,1133484.0,https://pypi.org/project/pytest,2024-01-17 21:40:39.000,22138.0,81740721.0,82356287.0,https://anaconda.org/conda-forge/pytest,2023-12-31 15:09:15.693,24007111.0,1.0,,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-01-25 14:06:53.000,2024-01-25 09:31:49,1785.0,79.0,2357.0,229.0,1647.0,2133.0,35917.0,2023-12-22 23:06:14.000,23.12.1,55.0,432.0,46,True,,386.0,black,conda-forge/black,,471613.0,457526.0,https://pypi.org/project/black,2023-12-22 23:06:14.000,14087.0,26984067.0,27202641.0,https://anaconda.org/conda-forge/black,2023-12-23 07:58:09.823,9141327.0,1.0,53631.0,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-01-25 05:22:22.000,2024-01-24 17:22:28,14401.0,216.0,1044.0,93.0,1492.0,1834.0,2234.0,2023-12-23 15:09:27.000,69.0.3,556.0,588.0,46,True,,573.0,setuptools,conda-forge/setuptools,,493317.0,453623.0,https://pypi.org/project/setuptools,2023-12-23 15:09:09.000,39694.0,305758541.0,308039954.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,100382181.0,1.0,,,,,,,,,,,,,,,,,
7,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-01-24 02:40:47.000,2024-01-22 03:13:02,8716.0,47.0,1797.0,358.0,1852.0,3920.0,24402.0,2024-01-22 03:04:17.000,2023.11.17,98.0,498.0,45,True,,206.0,pipenv,conda-forge/pipenv,,127589.0,127589.0,https://pypi.org/project/pipenv,,,10401157.0,10404350.0,https://anaconda.org/conda-forge/pipenv,2024-01-22 05:08:29.539,140494.0,1.0,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-01-25 07:59:16.000,2024-01-19 20:12:44,6022.0,40.0,1410.0,236.0,666.0,1418.0,9758.0,2024-01-19 20:47:14.000,5.9.8,93.0,202.0,45,True,,297.0,psutil,conda-forge/psutil,,444418.0,426468.0,https://pypi.org/project/psutil,2024-01-19 20:47:14.000,17950.0,78437500.0,79105392.0,https://anaconda.org/conda-forge/psutil,2024-01-20 03:59:05.167,28051487.0,1.0,,,,,,,,,,,,,,,,,
9,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-01-25 11:06:41.000,2024-01-15 11:45:22,14238.0,42.0,2835.0,318.0,5365.0,6082.0,9121.0,,,68.0,760.0,44,True,,975.0,pip,conda-forge/pip,,169003.0,169003.0,https://pypi.org/project/pip,,,246957633.0,249232015.0,https://anaconda.org/conda-forge/pip,2023-12-17 14:07:53.848,100072808.0,1.0,,,,,,,,,,,,,,,,,
