,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-05 15:44:45.000000,2024-02-05 15:44:44,306.0,24.0,160.0,54.0,182.0,3.0,2125.0,2024-02-01 16:56:08.000,2024.02.01,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-02-05 13:45:35.000000,2024-02-01 21:04:01,253.0,26.0,37.0,13.0,170.0,13.0,678.0,2023-06-29 18:48:34.000,2023.06.29,68.0,24.0,0,True,mkdocs/catalog,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-02-08 12:18:30.000000,2024-02-08 00:47:56,15662.0,269.0,2417.0,192.0,5531.0,4766.0,11100.0,2024-01-27 21:58:13.000,8.0.0,113.0,941.0,48,True,,806.0,pytest,conda-forge/pytest,['pytest'],1144783.0,1144783.0,https://pypi.org/project/pytest,96816805.0,97420003.0,https://anaconda.org/conda-forge/pytest,2024-01-28 13:22:11.555,24127942.0,1.0,,,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-02-05 20:52:19.000000,2024-02-05 19:17:04,14283.0,80.0,3105.0,317.0,5382.0,6111.0,9148.0,2023-12-17 13:05:02.000,23.3.2,138.0,763.0,47,True,,1098.0,pip,conda-forge/pip,,181955.0,170687.0,https://pypi.org/project/pip,295836405.0,298078877.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,100911251.0,1.0,2024-02-03 09:53:09.000,11268.0,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-02-08 11:49:56.000000,2024-02-07 14:55:02,1813.0,84.0,2164.0,230.0,1672.0,2162.0,36138.0,2024-01-28 05:28:09.000,24.1.1,38.0,436.0,46,True,,340.0,black,conda-forge/black,,461952.0,461952.0,https://pypi.org/project/black,32426937.0,32642032.0,https://anaconda.org/conda-forge/black,2024-01-29 06:52:12.735,9209435.0,1.0,,,54468.0,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-02-08 13:06:33.000000,2024-02-07 19:11:07,14441.0,217.0,1044.0,93.0,1500.0,1837.0,2250.0,2023-12-23 15:09:27.000,69.0.3,556.0,591.0,46,True,,577.0,setuptools,conda-forge/setuptools,,499892.0,460035.0,https://pypi.org/project/setuptools,328096056.0,330342567.0,https://anaconda.org/conda-forge/setuptools,2024-01-02 19:48:28.599,101093017.0,1.0,2023-12-23 15:09:09.000,39857.0,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-05 11:48:26.000000,2024-02-05 11:48:25,8727.0,55.0,1801.0,358.0,1856.0,3926.0,24441.0,2024-02-05 01:03:12.000,2023.12.1,100.0,499.0,45,True,,217.0,pipenv,conda-forge/pipenv,,128645.0,128645.0,https://pypi.org/project/pipenv,11403352.0,11406506.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,141967.0,1.0,,,,,,,,,,,,,,,,,,,
9,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-02-07 14:28:03.000000,2024-02-07 14:28:03,11723.0,109.0,2765.0,233.0,6829.0,7507.0,17129.0,2023-12-21 16:28:31.000,1.8.0,113.0,693.0,45,True,,2659.0,mypy,conda-forge/mypy,,235176.0,224892.0,https://pypi.org/project/mypy,21989243.0,22073259.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3696737.0,1.0,2023-12-21 16:28:31.000,10284.0,,,,,,,,,,,,,,,,,
