,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-18 09:06:22.000000,2024-02-18 09:06:21,311.0,25.0,158.0,54.0,183.0,3.0,2127.0,2024-02-15 16:50:12.000,2024.02.15,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-02-18 15:32:57.000000,2024-02-18 15:32:56,259.0,27.0,40.0,12.0,174.0,14.0,701.0,2023-06-29 18:48:34.000,2023.06.29,68.0,26.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-02-22 08:00:36.000000,2024-02-21 12:02:19,15705.0,290.0,2497.0,190.0,5567.0,4817.0,11142.0,2024-02-16 22:09:12.000,8.0.1,170.0,944.0,48,True,,876.0,pytest,conda-forge/pytest,['pytest'],12.0,102403387.0,1178892.0,1156754.0,https://pypi.org/project/pytest,2024-02-16 22:08:26.000,22138.0,101797361.0,https://anaconda.org/conda-forge/pytest,2024-02-20 12:44:27.771,24241069.0,1.0,,,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-02-20 10:40:14.000000,2024-02-12 20:46:16,1819.0,73.0,2279.0,233.0,1683.0,2175.0,36803.0,2024-02-12 20:20:40.000,24.2.0,39.0,436.0,46,True,,345.0,black,conda-forge/black,,55937.0,33964006.0,466310.0,466310.0,https://pypi.org/project/black,,,33746999.0,https://anaconda.org/conda-forge/black,2024-02-18 10:27:18.547,9290542.0,1.0,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-02-21 02:30:10.000000,2024-02-20 23:26:31,14306.0,101.0,2854.0,318.0,5387.0,6119.0,9167.0,,,69.0,763.0,45,True,,962.0,pip,conda-forge/pip,,,342344940.0,172327.0,172327.0,https://pypi.org/project/pip,,,340083770.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,101752678.0,1.0,,,,,,,,,,,,,,,,
7,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-02-22 12:10:18.000000,2024-02-22 12:10:15,14481.0,175.0,1001.0,94.0,1509.0,1844.0,2251.0,2024-02-12 01:15:30.000,69.1.0,201.0,591.0,45,True,,578.0,setuptools,conda-forge/setuptools,,,341530188.0,466923.0,466923.0,https://pypi.org/project/setuptools,,,339269276.0,https://anaconda.org/conda-forge/setuptools,2024-02-19 19:55:38.106,101741072.0,1.0,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-05 11:48:26.000000,2024-02-05 11:48:25,8727.0,40.0,1801.0,358.0,1856.0,3925.0,24462.0,2024-02-05 01:03:12.000,2023.12.1,100.0,499.0,44,True,,227.0,pipenv,conda-forge/pipenv,,,10757912.0,130081.0,130081.0,https://pypi.org/project/pipenv,,,10754745.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,142536.0,1.0,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-02-21 06:38:16.000000,2024-02-20 17:38:19,6032.0,49.0,1324.0,236.0,670.0,1420.0,9820.0,,,40.0,203.0,44,True,,271.0,psutil,conda-forge/psutil,,,92740369.0,440314.0,440314.0,https://pypi.org/project/psutil,,,92078319.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,28468168.0,1.0,,,,,,,,,,,,,,,,
