,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-14 17:35:21.000000,2024-03-14 17:35:21,319.0,26.0,158.0,54.0,189.0,3.0,2142.0,2024-03-14 17:35:28.000,2024.03.14,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-03-18 20:24:57.000000,2024-03-18 20:24:56,264.0,22.0,41.0,15.0,179.0,14.0,761.0,2023-06-29 18:48:34.000,2023.06.29,68.0,27.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-03-21 13:24:50.000000,2024-03-20 09:21:40,15811.0,335.0,2438.0,191.0,5633.0,4867.0,11232.0,2024-03-09 11:51:50.000,8.1.1,117.0,950.0,48,True,,782.0,pytest,conda-forge/pytest,['pytest'],73.0,113512837.0,1179195.0,1179195.0,https://pypi.org/project/pytest,112915678.0,https://anaconda.org/conda-forge/pytest,2024-03-09 13:59:25.744,24483506.0,1.0,,,,,,,,,,,,,,,,,,
5,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-03-20 21:57:21.000000,2024-03-13 10:54:30,14566.0,245.0,1100.0,94.0,1548.0,1851.0,2283.0,2024-03-13 11:21:05.000,69.2.0,203.0,593.0,47,True,,583.0,setuptools,conda-forge/setuptools,,,382463638.0,481152.0,481152.0,https://pypi.org/project/setuptools,380222027.0,https://anaconda.org/conda-forge/setuptools,2024-03-13 15:44:29.594,103114123.0,1.0,,,,,,,,,,,,,,,,,,
6,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-03-21 01:15:42.000000,2024-03-21 01:15:42,1837.0,74.0,2354.0,234.0,1699.0,2194.0,37144.0,2024-03-15 19:35:41.000,24.3.0,59.0,440.0,46,True,,380.0,black,conda-forge/black,,64087.0,36184951.0,489872.0,474965.0,https://pypi.org/project/black,35968880.0,https://anaconda.org/conda-forge/black,2024-03-18 18:08:22.525,9460136.0,1.0,2024-03-15 19:35:41.000,14907.0,,,,,,,,,,,,,,,,
7,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-03-21 09:24:59.000000,2024-03-21 02:08:56,11777.0,107.0,2657.0,234.0,6883.0,7547.0,17380.0,2024-03-08 16:08:36.000,1.9.0,114.0,704.0,46,True,,2723.0,mypy,conda-forge/mypy,,,25086239.0,241590.0,230933.0,https://pypi.org/project/mypy,25002659.0,https://anaconda.org/conda-forge/mypy,2024-03-11 14:09:17.474,3761108.0,1.0,2024-03-08 16:08:36.000,10657.0,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-03-20 11:23:27.000000,2024-03-16 22:06:07,14379.0,145.0,2866.0,318.0,5410.0,6145.0,9212.0,,,69.0,772.0,45,True,,965.0,pip,conda-forge/pip,,,354704305.0,176212.0,176212.0,https://pypi.org/project/pip,352457119.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,103370601.0,1.0,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-03-20 17:55:25.000000,2024-02-05 11:48:25,8727.0,27.0,1808.0,358.0,1859.0,3926.0,24522.0,2024-02-05 01:03:12.000,2023.12.1,100.0,499.0,44,True,,238.0,pipenv,conda-forge/pipenv,,,10931709.0,132211.0,132211.0,https://pypi.org/project/pipenv,10928585.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,143742.0,1.0,,,,,,,,,,,,,,,,,,
