,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-30 19:17:41.000,2024-05-30 19:17:40,344.0,27.0,162.0,56.0,203.0,3.0,2212.0,2024-05-30 19:17:46.000,2024.05.30,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-05-30 19:07:16.000,2024-05-30 19:07:16,293.0,31.0,49.0,15.0,203.0,19.0,871.0,2023-06-29 18:48:34.000,2023.06.29,68.0,32.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-06-06 12:34:18.000,2024-06-06 10:24:31,15964.0,184.0,2554.0,191.0,5789.0,4941.0,11523.0,2024-06-04 13:39:01.000,8.2.2,177.0,968.0,47,True,,872.0,pytest,conda-forge/pytest,['pytest'],1124.0,129283192.0,1282396.0,1237816.0,https://pypi.org/project/pytest,2024-06-04 13:38:05.000,44580.0,128685272.0,https://anaconda.org/conda-forge/pytest,2024-06-04 20:45:55.331,26307670.0,1.0,-1.0,,,,,,,,,,,,,,,,,
5,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-06-06 11:12:01.000,2024-06-03 02:20:04,14615.0,240.0,2957.0,321.0,5490.0,6273.0,9326.0,2023-12-17 13:05:02.000,23.3.2,139.0,789.0,47,True,,1055.0,pip,conda-forge/pip,,,369964065.0,191507.0,187425.0,https://pypi.org/project/pip,2024-05-06 20:49:04.000,4082.0,367692622.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,111300734.0,1.0,-1.0,,,,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-06-05 16:51:10.000,2024-05-31 19:24:47,14957.0,314.0,1145.0,96.0,1619.0,1887.0,2350.0,2024-05-21 10:28:25.000,70.0.0,567.0,601.0,47,True,,623.0,setuptools,conda-forge/setuptools,,,378105157.0,541699.0,521630.0,https://pypi.org/project/setuptools,2024-05-21 10:28:12.000,20069.0,375856939.0,https://anaconda.org/conda-forge/setuptools,2024-05-22 08:56:28.732,110162688.0,1.0,,,,,,,,,,,,,,,,,,
7,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-06-01 20:01:36.000,2024-06-01 20:01:36,1878.0,53.0,2383.0,231.0,1744.0,2234.0,37614.0,2024-04-26 00:32:12.000,24.4.2,62.0,446.0,46,True,,381.0,black,conda-forge/black,,89351.0,39877591.0,518305.0,497430.0,https://pypi.org/project/black,2024-04-26 00:32:12.000,20875.0,39655274.0,https://anaconda.org/conda-forge/black,2024-04-26 08:33:17.672,10382264.0,1.0,,,,,,,,,,,,,,,,,,
8,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2024-06-06 12:05:22.000,2024-06-06 10:43:11,11855.0,98.0,2709.0,236.0,6981.0,7631.0,17702.0,2024-04-24 13:52:35.000,1.10.0,115.0,717.0,46,True,,2821.0,mypy,conda-forge/mypy,,,26738251.0,256279.0,242472.0,https://pypi.org/project/mypy,2024-04-24 13:52:35.000,13807.0,26654575.0,https://anaconda.org/conda-forge/mypy,2024-04-25 00:02:59.037,4016464.0,1.0,,,,,,,,,,,,,,,,,,
9,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000,2024-06-06 12:07:10.000,2024-06-06 10:52:31,20868.0,229.0,2006.0,149.0,5430.0,5769.0,6123.0,2024-04-19 04:44:43.000,7.3.7,206.0,826.0,46,True,,1223.0,sphinx,conda-forge/sphinx,['sphinx'],,15252460.0,403843.0,381399.0,https://pypi.org/project/sphinx,2024-04-19 04:44:43.000,22444.0,15064040.0,https://anaconda.org/conda-forge/sphinx,2024-04-19 19:30:59.768,9232592.0,1.0,,,,,,,,,,,,,,,,,,
