,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-07-24 17:17:04.000,2025-07-24 17:17:02,351.0,5.0,186.0,57.0,207.0,3.0,2557.0,2025-07-24 17:17:08.000,2025.07.24,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-07-30 15:20:29.000,2025-07-30 15:20:29,400.0,20.0,94.0,16.0,306.0,33.0,1438.0,2023-06-29 18:48:34.000,2023.06.29,68.0,59.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-07-30 14:16:46.000,2025-07-28 20:55:54,16725.0,118.0,2833.0,192.0,6444.0,5270.0,12928.0,2025-06-18 05:48:45.000,8.4.1,185.0,1045.0,49,True,,923.0,pytest,conda-forge/pytest,['pytest'],21376.0,228495182.0,1722680.0,1646853.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,227823179.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,38287017.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-07-31 07:57:41.000,2025-07-31 07:57:41,12730.0,224.0,2977.0,238.0,8108.0,8699.0,19591.0,2025-07-31 07:53:03.000,1.17.1,129.0,807.0,48,True,,2962.0,mypy,conda-forge/mypy,,,59581595.0,343390.0,317340.0,https://pypi.org/project/mypy,2025-07-31 07:53:03.000,26050.0,59487917.0,https://anaconda.org/conda-forge/mypy,2025-07-22 13:10:05.836,5714381.0,1.0,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-07-31 01:24:05.568,2025-07-30 21:20:19,15361.0,146.0,3116.0,319.0,5863.0,6620.0,9879.0,2025-05-02 15:13:59.000,25.1.1,151.0,838.0,47,True,,1062.0,pip,conda-forge/pip,,,352922618.0,247477.0,242272.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5205.0,350305921.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,162235258.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-07-25 09:53:40.750,2025-07-25 07:27:47,4283.0,74.0,1859.0,536.0,1277.0,1220.0,53077.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,46,True,,280.0,rich,conda-forge/rich,,,161022813.0,491782.0,469672.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,160790443.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,13942200.0,1.0,,,,,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,58.0,1875.0,360.0,2013.0,4088.0,25078.0,2025-07-07 21:45:44.000,2025.0.4,401.0,529.0,46,True,,233.0,pipenv,conda-forge/pipenv,,,24580617.0,174172.0,173928.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,244.0,24576123.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,278644.0,1.0,,,,,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-07-15 14:12:20.000,2025-07-15 14:12:20,6237.0,21.0,1416.0,232.0,774.0,1503.0,10756.0,2025-02-13 21:54:12.000,7.0.0,97.0,220.0,46,True,,357.0,psutil,conda-forge/psutil,,,183623580.0,762663.0,746968.0,https://pypi.org/project/psutil,2025-02-13 21:54:12.000,15695.0,182816492.0,https://anaconda.org/conda-forge/psutil,2025-04-22 14:56:22.590,48425280.0,1.0,,,,,,,,,,,,,,,,,,
10,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-07-20 17:03:05.000,2025-07-20 17:02:56,16478.0,150.0,1291.0,100.0,1938.0,2135.0,2728.0,2025-05-27 00:56:55.000,80.9.0,624.0,631.0,46,True,,643.0,setuptools,conda-forge/setuptools,,,711826266.0,841293.0,812721.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,28572.0,709339322.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,154190581.0,1.0,,,,,,,,,,,,,,,,,,
11,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2025-07-29 14:31:26.000,2025-07-29 14:31:26,2009.0,27.0,2610.0,233.0,1943.0,2390.0,40731.0,2025-01-29 04:15:38.000,25.1.0,65.0,469.0,44,True,,366.0,black,conda-forge/black,,125410.0,72369076.0,667421.0,634902.0,https://pypi.org/project/black,2025-01-29 04:15:38.000,32519.0,72095197.0,https://anaconda.org/conda-forge/black,2025-04-22 14:56:50.293,16333749.0,1.0,,,,,,,,,,,,,,,,,,
12,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2025-07-27 21:10:33.000,2025-07-27 21:10:32,9762.0,47.0,1992.0,230.0,2587.0,5261.0,12529.0,2025-07-04 21:50:42.000,6.14.2,74.0,480.0,44,True,,285.0,pyinstaller,conda-forge/pyinstaller,,751228.0,3865838.0,85136.0,83914.0,https://pypi.org/project/pyinstaller,2025-07-04 21:48:00.000,1222.0,3837044.0,https://anaconda.org/conda-forge/pyinstaller,2025-07-05 10:21:24.916,1269230.0,1.0,,,,,,,,,,,,,,,,,,
13,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2025-07-31 09:08:58.000,2025-07-31 09:08:56,22148.0,168.0,2217.0,165.0,6288.0,6096.0,7266.0,2025-03-02 22:31:56.000,8.2.3,229.0,880.0,44,False,,1238.0,sphinx,conda-forge/sphinx,['sphinx'],,59660245.0,485764.0,458408.0,https://pypi.org/project/sphinx,2025-03-02 22:31:56.000,27356.0,59471145.0,https://anaconda.org/conda-forge/sphinx,2025-04-22 14:56:26.059,11724258.0,1.0,,,,,,,,,,,,,,,,,,
14,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2025-07-28 21:03:01.000,2025-07-28 21:03:00,9660.0,73.0,1176.0,77.0,4662.0,4783.0,5523.0,2025-05-04 17:07:48.000,3.3.7,203.0,611.0,44,True,pylint-dev/pylint,1009.0,pylint,conda-forge/pylint,,211.0,29859319.0,489736.0,479583.0,https://pypi.org/project/pylint,2025-05-04 17:07:48.000,10153.0,29753354.0,https://anaconda.org/conda-forge/pylint,2025-05-04 19:46:25.805,6463671.0,1.0,,,,,,,,,,,,,,,,,,
