,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,trending,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-07-31 21:05:17.000,2025-07-31 21:05:15,353.0,7.0,188.0,57.0,208.0,1.0,3.0,2566.0,2025-07-31 21:05:22.000,2025.07.31,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-07-31 19:55:28.000,2025-07-31 19:55:26,401.0,19.0,96.0,16.0,307.0,2.0,33.0,1451.0,2023-06-29 18:48:34.000,2023.06.29,68.0,59.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-08-05 04:36:21.000,2025-08-05 04:36:19,16727.0,119.0,2843.0,192.0,6446.0,922.0,5270.0,12952.0,2025-06-18 05:48:45.000,8.4.1,185.0,1045.0,46,True,,pytest,conda-forge/pytest,['pytest'],21813.0,664997.0,1724708.0,1648881.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,38552313.0,1.0,,,,,,,,,,,,,,,,,,
5,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-08-05 16:05:55.000,2025-08-05 16:05:54,12759.0,244.0,2977.0,238.0,8137.0,2962.0,8725.0,19624.0,2025-07-31 07:53:03.000,1.17.1,129.0,807.0,45,True,,mypy,conda-forge/mypy,,,92652.0,344226.0,318176.0,https://pypi.org/project/mypy,2025-07-31 07:53:03.000,26050.0,https://anaconda.org/conda-forge/mypy,2025-07-31 23:08:39.649,5744473.0,1.0,,,,,,,,,,,,,,,,,,
6,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-08-06 12:32:41.000,2025-08-06 12:32:40,15369.0,120.0,3125.0,321.0,5873.0,1064.0,6624.0,9892.0,2025-05-02 15:13:59.000,25.1.1,151.0,838.0,44,True,,pip,conda-forge/pip,,,2594798.0,247652.0,242426.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5226.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,163472333.0,1.0,,,,,,,,,,,,,,,,,,
7,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-07-25 09:53:40.750,2025-07-25 07:27:47,4283.0,71.0,1859.0,535.0,1280.0,280.0,1222.0,53195.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,43,True,,rich,conda-forge/rich,,,230613.0,492598.0,470488.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,14067428.0,1.0,,,,,,,,,,,,,,,,,,
8,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,BSD-3-Clause,2012-10-15 22:08:03.000,2025-08-07 13:44:21.000,2025-08-07 13:44:21,17374.0,124.0,1881.0,186.0,4887.0,626.0,9552.0,7020.0,2025-08-04 14:05:01.000,25.7.0,104.0,465.0,43,True,,conda,conda-forge/conda,,27279.0,1009081.0,51789.0,51706.0,https://pypi.org/project/conda,2017-04-22 23:43:59.218,83.0,https://anaconda.org/conda-forge/conda,2025-08-05 15:01:02.471,63552876.0,1.0,,,,,,,,,,,,,,,,,,
9,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2025-07-20 17:03:05.000,2025-07-20 17:02:56,16478.0,114.0,1296.0,100.0,1938.0,650.0,2135.0,2732.0,2025-05-27 00:56:55.000,80.9.0,624.0,631.0,43,True,,setuptools,conda-forge/setuptools,,,2464499.0,842243.0,813467.0,https://pypi.org/project/setuptools,2025-05-27 00:56:49.000,28776.0,https://anaconda.org/conda-forge/setuptools,2025-06-01 19:09:46.361,155263464.0,1.0,,,,,,,,,,,,,,,,,,
