,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,trending,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-08-21 18:40:57.000,2025-08-21 18:40:55,359.0,13.0,187.0,57.0,211.0,1.0,3.0,2582.0,2025-08-21 18:41:02.000,2025.08.21,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-08-21 19:51:44.000,2025-08-21 19:51:42,406.0,17.0,100.0,16.0,312.0,2.0,33.0,1483.0,2023-06-29 18:48:34.000,2023.06.29,68.0,61.0,0,True,mkdocs/catalog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-08-28 13:59:24.000,2025-08-28 13:59:24,12819.0,262.0,2977.0,240.0,8228.0,2962.0,8761.0,19701.0,2025-07-31 07:53:03.000,1.17.1,129.0,809.0,49,True,,mypy,conda-forge/mypy,346630.0,320580.0,https://pypi.org/project/mypy,2025-07-31 07:53:03.000,26050.0,67939733.0,68033749.0,https://anaconda.org/conda-forge/mypy,2025-08-27 19:57:07.838,5829035.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-08-27 10:19:40.000,2025-08-27 10:19:40,16743.0,110.0,2845.0,191.0,6469.0,928.0,5282.0,13015.0,2025-06-18 05:48:45.000,8.4.1,185.0,1048.0,49,True,,pytest,conda-forge/pytest,1730624.0,1654797.0,https://pypi.org/project/pytest,2025-06-18 05:48:03.000,75827.0,258806983.0,259484234.0,https://anaconda.org/conda-forge/pytest,2025-06-18 09:43:54.192,39262010.0,1.0,['pytest'],23069.0,,,,,,,,,,,,,,,,,,
6,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,66.0,1859.0,535.0,1284.0,280.0,1223.0,53488.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,47,True,,rich,conda-forge/rich,495002.0,472892.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,191915579.0,192152745.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,14467156.0,1.0,,,,,,,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-08-25 20:22:49.000,2025-08-25 20:22:49,15392.0,121.0,3129.0,321.0,5888.0,1080.0,6628.0,9916.0,2025-05-02 15:13:59.000,25.1.1,151.0,839.0,47,True,,pip,conda-forge/pip,248156.0,242873.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5283.0,451386246.0,454038649.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,167101416.0,1.0,,,,,,,,,,,,,,,,,,,,
8,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-08-24 13:54:51.000,2025-08-24 13:54:50,6309.0,79.0,1421.0,230.0,788.0,356.0,1510.0,10790.0,2025-02-13 21:54:12.000,7.0.0,97.0,223.0,46,True,,psutil,conda-forge/psutil,766120.0,750044.0,https://pypi.org/project/psutil,2025-02-13 21:54:12.000,16076.0,199966136.0,200780176.0,https://anaconda.org/conda-forge/psutil,2025-08-22 08:38:32.463,49656472.0,1.0,,,,,,,,,,,,,,,,,,,,
9,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2025-07-08 19:36:14.983,2025-07-07 21:44:30,9196.0,34.0,1875.0,360.0,2014.0,232.0,4088.0,25089.0,2025-07-07 21:45:44.000,2025.0.4,401.0,529.0,45,True,,pipenv,conda-forge/pipenv,174222.0,173975.0,https://pypi.org/project/pipenv,2025-07-07 21:45:44.000,247.0,25579506.0,25583990.0,https://anaconda.org/conda-forge/pipenv,2025-07-08 19:36:14.983,282515.0,1.0,,,,,,,,,,,,,,,,,,,,
