,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,labels,github_release_downloads,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-18 17:26:52.000,2025-09-18 17:26:50,367.0,21.0,187.0,57.0,215.0,4.0,2607.0,2025-09-18 17:26:55.000,2025.09.18,100.0,16.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2025-09-18 19:59:28.000,2025-09-18 19:59:27,412.0,18.0,107.0,16.0,322.0,34.0,1526.0,2023-06-29 18:48:34.000,2023.06.29,68.0,62.0,0,True,mkdocs/catalog,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000,2025-09-23 13:15:10.000,2025-09-23 13:15:08,12883.0,240.0,3009.0,239.0,8322.0,8811.0,19821.0,2025-09-19 00:09:39.000,1.18.2,131.0,811.0,49,True,,3013.0,mypy,conda-forge/mypy,354020.0,323732.0,https://pypi.org/project/mypy,2025-09-19 00:09:39.000,30288.0,70744465.0,70839301.0,https://anaconda.org/conda-forge/mypy,2025-09-19 11:11:52.790,5974701.0,1.0,,,,,,,,,,,,,,,,,,,,
5,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2025-09-23 17:33:29.000,2025-09-23 17:33:28,16791.0,86.0,2871.0,191.0,6514.0,5291.0,13106.0,2025-09-04 14:35:52.000,8.4.2,186.0,1053.0,49,True,,947.0,pytest,conda-forge/pytest,1751080.0,1662470.0,https://pypi.org/project/pytest,2025-09-04 14:34:20.000,88610.0,245510214.0,246192085.0,https://anaconda.org/conda-forge/pytest,2025-09-04 18:51:59.658,40210648.0,1.0,['pytest'],24459.0,,,,,,,,,,,,,,,,,,
6,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2025-09-25 14:18:15.000,2025-09-25 14:11:21,12278.0,1059.0,1538.0,93.0,12688.0,5719.0,42636.0,2025-09-18 20:00:24.000,0.13.1,375.0,724.0,47,True,astral-sh/ruff,1526.0,ruff,conda-forge/ruff,145002.0,125341.0,https://pypi.org/project/ruff,2025-09-18 19:51:56.000,19661.0,88152435.0,88477199.0,https://anaconda.org/conda-forge/ruff,2025-09-19 05:33:52.426,4692589.0,1.0,,3921699.0,,,,,,,,,,,,,,,,,,
7,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2025-09-20 20:07:22.000,2025-09-20 20:07:20,6324.0,87.0,1422.0,231.0,795.0,1519.0,10829.0,2025-09-17 20:14:56.000,7.1.0,98.0,223.0,47,True,,346.0,psutil,conda-forge/psutil,769697.0,752893.0,https://pypi.org/project/psutil,2025-09-17 20:14:56.000,16804.0,209928969.0,210751865.0,https://anaconda.org/conda-forge/psutil,2025-09-18 04:31:25.649,51019602.0,1.0,,,,,,,,,,,,,,,,,,,,
8,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2025-09-25 12:56:00.000,2025-09-25 12:56:00,15436.0,125.0,3136.0,321.0,5910.0,6644.0,9946.0,2025-05-02 15:13:59.000,25.1.1,151.0,844.0,47,True,,1083.0,pip,conda-forge/pip,248718.0,243435.0,https://pypi.org/project/pip,2025-07-30 21:50:13.000,5283.0,390261788.0,392955976.0,https://anaconda.org/conda-forge/pip,2025-07-31 01:24:05.568,172428066.0,1.0,,,,,,,,,,,,,,,,,,,,
9,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2025-08-13 10:52:09.000,2025-08-13 10:52:09,4284.0,5.0,1878.0,535.0,1291.0,1226.0,53858.0,2025-07-25 07:35:18.000,14.1.0,200.0,276.0,45,True,,280.0,rich,conda-forge/rich,498201.0,476091.0,https://pypi.org/project/rich,2025-07-25 07:32:56.000,22110.0,202925737.0,203169345.0,https://anaconda.org/conda-forge/rich,2025-07-25 09:53:40.750,15103706.0,1.0,,,-1.0,,,,,,,,,,,,,,,,,
